period,operations,ticket_nominal,stores,sales_area_m2,real_index,nominal_index,ticket_real_proxy,ticket_real_index_2017dec_100,operations_index_2017dec_100
2017-12,77321338,527,2975,3277409,123.9541,133.0895,491.0427,100.0000,100.0000
2018-12,79283350,722,2973,3268872,113.2318,186.7533,437.4658,89.0892,102.5375
2019-12,80571561,1037,2953,3248090,106.0011,272.6823,402.9825,82.0667,104.2035
2020-12,63835153,1814,2947,3274249,108.8495,378.0714,522.3051,106.3665,82.5583
2021-12,72147569,2550,2947,3287740,114.9065,600.6485,487.8435,99.3485,93.3087
2022-12,78662252,4572,3050,3286547,112.6428,1174.2042,438.6265,89.3255,101.7342
2023-12,88904340,12902,3156,3353877,105.2028,3744.7911,362.4617,73.8147,114.9803
2024-12,77292710,28828,3182,3401971,101.7790,7274.4299,403.3454,82.1406,99.9630
2025-12,75074970,37244,3150,3384899,102.3137,9128.4412,417.4422,85.0114,97.0948
2026-06,65548779,37910,3128,3336976,78.6796,8112.6814,367.6676,74.8749,84.7745
