period,Bebidas,Almacen,Panaderia,Lacteos,Carnes,Verduleria,Preparados,Limpieza,Indumentaria,Electronicos,Otros
2017-12,16.3,23.7,3.3,9.0,9.0,3.4,1.2,12.9,3.1,7.0,11.0
2018-12,16.8,25.0,3.5,9.1,9.5,3.1,1.1,13.5,3.0,5.0,10.5
2019-12,15.9,24.9,3.6,9.6,10.6,3.4,1.1,13.5,2.6,5.6,9.3
2020-12,16.4,25.1,3.1,9.0,11.7,3.7,0.8,12.3,2.6,6.7,8.8
2021-12,17.4,24.6,3.2,8.8,11.6,3.2,0.9,11.8,2.6,6.9,9.1
2022-12,18.8,25.2,3.4,8.8,9.9,4.0,1.0,11.8,2.2,6.7,8.2
2023-12,17.5,26.8,3.7,8.7,12.2,3.9,1.0,12.3,2.0,4.3,7.7
2024-12,16.6,25.7,4.0,9.8,11.0,4.1,1.1,12.7,2.3,4.4,8.2
2025-12,15.7,24.9,4.0,9.2,13.0,4.4,1.2,12.1,2.4,4.6,8.5
2026-06,9.9,27.7,4.2,11.4,14.5,4.2,1.1,12.7,2.6,5.3,6.4
