object_id,owner_or_system,requested_record,minimum_usable_fields,success_test,negative_response_rule,status
RO147_01,SIGADE,"Ficha, Estado de Cuenta y Tabla de Amortización de 83106000",id;instrumento;contraparte;moneda;fechas;saldos;eventos,"Objeto individualizable, reproducible y enlazable por identificador, fecha, cuenta e importe.","Informar repositorios, períodos, parámetros, inventarios, transferencias y expurgos consultados.",DRAFT_NOT_SENT
RO147_02,e-SIDIF/SIDIF Central,Reporte mayorizado por SIGADE 83106000,cuenta;asiento;fecha;debe;haber;formulario;referencia,"Objeto individualizable, reproducible y enlazable por identificador, fecha, cuenta e importe.","Informar repositorios, períodos, parámetros, inventarios, transferencias y expurgos consultados.",DRAFT_NOT_SENT
RO147_03,e-SIDIF/SIDIF Central,Formulario 71597 completo,cabecera;renglones;beneficiario;CUIT;importe;moneda;estado;orden,"Objeto individualizable, reproducible y enlazable por identificador, fecha, cuenta e importe.","Informar repositorios, períodos, parámetros, inventarios, transferencias y expurgos consultados.",DRAFT_NOT_SENT
RO147_04,e-SIDIF/SIDIF Central,Formulario 152677 completo,cabecera;renglones;beneficiario;CUIT;importe;moneda;estado;orden,"Objeto individualizable, reproducible y enlazable por identificador, fecha, cuenta e importe.","Informar repositorios, períodos, parámetros, inventarios, transferencias y expurgos consultados.",DRAFT_NOT_SENT
RO147_05,e-SIDIF/SIDIF Central,Formulario 2876 completo,cabecera;renglones;beneficiario;CUIT;importe;moneda;estado;orden,"Objeto individualizable, reproducible y enlazable por identificador, fecha, cuenta e importe.","Informar repositorios, períodos, parámetros, inventarios, transferencias y expurgos consultados.",DRAFT_NOT_SENT
RO147_06,CGN/SAF 355,Mayor y submayor de cuentas vinculadas,cuenta;asiento;fecha;debe;haber;saldo;documento,"Objeto individualizable, reproducible y enlazable por identificador, fecha, cuenta e importe.","Informar repositorios, períodos, parámetros, inventarios, transferencias y expurgos consultados.",DRAFT_NOT_SENT
RO147_07,SAF 355,"Expediente, orden y acto de aprobación",expediente;acto;fecha;beneficiario;concepto;importe,"Objeto individualizable, reproducible y enlazable por identificador, fecha, cuenta e importe.","Informar repositorios, períodos, parámetros, inventarios, transferencias y expurgos consultados.",DRAFT_NOT_SENT
RO147_08,SAF 355,Papeles de trabajo de Anexo K 2008,fila fuente;criterio;responsable;fecha;conciliación,"Objeto individualizable, reproducible y enlazable por identificador, fecha, cuenta e importe.","Informar repositorios, períodos, parámetros, inventarios, transferencias y expurgos consultados.",DRAFT_NOT_SENT
RO147_09,TGN,Movimiento bancario asociado a los tres formularios,cuenta;fecha valor;fecha proceso;signo;importe;referencia,"Objeto individualizable, reproducible y enlazable por identificador, fecha, cuenta e importe.","Informar repositorios, períodos, parámetros, inventarios, transferencias y expurgos consultados.",DRAFT_NOT_SENT
RO147_10,CUT-SIDIF Central,Extracto y conciliación 2008,cuenta;movimiento;estado;contrapartida;importe;fecha,"Objeto individualizable, reproducible y enlazable por identificador, fecha, cuenta e importe.","Informar repositorios, períodos, parámetros, inventarios, transferencias y expurgos consultados.",DRAFT_NOT_SENT
RO147_11,BNA,Extracto/aviso de débito o crédito de la comisión,cuenta;fecha valor;referencia;importe;moneda;contraparte,"Objeto individualizable, reproducible y enlazable por identificador, fecha, cuenta e importe.","Informar repositorios, períodos, parámetros, inventarios, transferencias y expurgos consultados.",DRAFT_NOT_SENT
RO147_12,BCRA/CRyL,Movimiento o custodia sólo si hay instrumento de valores,especie;cuenta;fecha;nominal;movimiento;referencia,"Objeto individualizable, reproducible y enlazable por identificador, fecha, cuenta e importe.","Informar repositorios, períodos, parámetros, inventarios, transferencias y expurgos consultados.",DRAFT_NOT_SENT
RO147_13,DADP/SAF 355,Planillas compartidas de control y conciliación,archivo;versión;autor;fecha;celdas/fórmulas;identificador,"Objeto individualizable, reproducible y enlazable por identificador, fecha, cuenta e importe.","Informar repositorios, períodos, parámetros, inventarios, transferencias y expurgos consultados.",DRAFT_NOT_SENT
RO147_14,DADP/DTI,Tickets de intervención manual en base,ticket;fecha;usuario;antes;después;autorización;motivo,"Objeto individualizable, reproducible y enlazable por identificador, fecha, cuenta e importe.","Informar repositorios, períodos, parámetros, inventarios, transferencias y expurgos consultados.",DRAFT_NOT_SENT
RO147_15,DADP/SAF 355,Documentos externos/sidecar no adjuntados a SIGADE,inventario;ruta;nombre;fecha;hash;relación con instrumento,"Objeto individualizable, reproducible y enlazable por identificador, fecha, cuenta e importe.","Informar repositorios, períodos, parámetros, inventarios, transferencias y expurgos consultados.",DRAFT_NOT_SENT
RO147_16,UAI/SAF 355,Componentes no redondeados de OTROS 2018/2019,importe fuente;unidad;precisión;cuenta;asiento;cálculo,"Objeto individualizable, reproducible y enlazable por identificador, fecha, cuenta e importe.","Informar repositorios, períodos, parámetros, inventarios, transferencias y expurgos consultados.",DRAFT_NOT_SENT
RO147_17,SICHE/DGSIAF,Catálogo y export de consultas nombradas,consulta;fuente;campos;filtros;corte;filas;archivo;hash,"Objeto individualizable, reproducible y enlazable por identificador, fecha, cuenta e importe.","Informar repositorios, períodos, parámetros, inventarios, transferencias y expurgos consultados.",DRAFT_NOT_SENT
RO147_18,CGN/SAF 355,Acta o constancia de último formulario/corte equivalente,acto;fecha;universo;último formulario;firmas;anexos,"Objeto individualizable, reproducible y enlazable por identificador, fecha, cuenta e importe.","Informar repositorios, períodos, parámetros, inventarios, transferencias y expurgos consultados.",DRAFT_NOT_SENT
