id,tema,institucion,titulo,url_original,archivo_local,fecha_descarga,fecha_publicacion,codigo_serie,periodo_utilizado,tipo,sha256,nota
indec_supermercados_tema,supermercados,INDEC,Encuesta de supermercados,https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-1-34,,2026-08-25,,,2017-2026,URL oficial referenciada,,"Página temática y acceso a informes, metodología y cuadros"
indec_supermercados_serie,supermercados,INDEC,Serie de supermercados desde 2017,https://www.indec.gob.ar/ftp/cuadros/economia/serie_supermercados.xlsx,,2026-08-25,,,2017-2026,XLSX oficial referenciado,,Archivo dinámico oficial; URL preservada en el backup
indec_supermercados_archivo,supermercados,INDEC,Archivo histórico y discontinuidades,https://www.indec.gob.ar/indec/web/Institucional-Indec-InformacionDeArchivo-1,,2026-08-25,,,1996-2016,URL oficial referenciada,,Usado para no fabricar empalmes metodológicamente incompatibles
bcra_imm_dic2024_mora,mora_causal,BCRA,Informe Monetario Mensual diciembre 2024,https://www.bcra.gob.ar/publicaciones/informe-monetario-mensual-diciembre-2024/,,2026-08-25,2025-01-01,,2024,URL oficial referenciada,,Expansión real del crédito al consumo y personales
bcra_iif_1s2025_mora,mora_causal,BCRA,Informe de Inclusión Financiera primer semestre 2025,https://www.bcra.gob.ar/publicaciones/informe-de-inclusion-financiera-primer-semestre-2025/,,2026-08-25,2025-10-27,,2025-06,URL oficial referenciada,,"Deudores, saldos y regularidad"
bcra_isb_dic2024_mora,mora_causal,BCRA,Informe sobre Bancos diciembre 2024,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-diciembre-2024/,,2026-08-25,2025-02-19,,2024-12,URL oficial referenciada,,"Mora hogares 2,5%"
bcra_isb_nov2025_mora,mora_causal,BCRA,Informe sobre Bancos noviembre 2025,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-noviembre-2025/,,2026-08-25,2026-01-23,,2025-11,URL oficial referenciada,,"Mora hogares 8,8%"
bcra_isb_jun2026_mora,mora_causal,BCRA,Informe sobre Bancos junio 2026,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-junio-de-2026/,,2026-08-25,2026-08-21,,2026-06,URL oficial referenciada,,"Mora hogares 12,8%"
bcra_ecc_1t2024,originacion,BCRA,ECC primer trimestre 2024,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/0124-ECC_%20Resultados.pdf,,2026-08-25,2024-04-25,,2024-Q1,PDF oficial referenciado,,Condiciones crediticias cualitativas
bcra_ecc_2t2024,originacion,BCRA,ECC segundo trimestre 2024,https://www.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/0624-ECC_%20Resultados.pdf,,2026-08-25,,,2024-Q2,PDF oficial referenciado,,Flexibilización parcial de términos/condiciones
