map_id,institution,producer_or_custodian,system_or_record,record_class,exact_fields_or_trace,target_use,source_id,source_locator,applicability,caveat
PS122_01,Ministerio de Economía / Tesoro,Mesa de Entradas de la ONCP,Sistema de Regularización de la Deuda Pública,reporte diario de ingresos,número; fecha; estado de validación; motivo de devolución,localizar actuación contemporánea y cruce documental,e0_argentina_rc_26_216_2008_tsa_sigade,Anexo I puntos 1-3,CONTEMPORANEOUS_ADJACENT_PROCEDURE,El procedimiento regulado es BOCON; no prueba uso en recompras.
PS122_02,Ministerio de Economía / Tesoro,Mesa de Entradas de la ONCP,COMDOC III,asiento diario de solicitudes,número COMDOC; fecha; remitente; asunto; área,buscar identificador heredado previo a GDE,e0_argentina_rc_26_216_2008_tsa_sigade,Anexo I punto 1,CONTEMPORANEOUS_ADJACENT_PROCEDURE,COMDOC III está probado para esa serie; debe verificarse su uso en la serie de recompra.
PS122_03,Ministerio de Economía / Tesoro,Unidad de Registro de la Deuda Pública de la DADP,SIGADE,registro de operación de deuda,código SIGADE; fecha; especie; nominal; importe; estado,buscar registro analítico y referencia a expediente,e0_argentina_rc_26_216_2008_tsa_sigade,Anexo I punto 6,CONTEMPORANEOUS_SYSTEM_CAPABILITY,Prueba administración contemporánea de SIGADE; no identifica el código de las recompras.
PS122_04,Ministerio de Economía / Tesoro,DADP / agentes habilitados,TSA sobre VPN Tesoro-Caja,archivo transmitido,emisor; receptor; fecha; lote; aceptación; rechazo,buscar intercambio electrónico con Caja,e0_argentina_rc_26_216_2008_tsa_sigade,Considerandos y Anexo I punto 5,CONTEMPORANEOUS_SYSTEM_CAPABILITY,La norma lo aplica a BOCON; la extensión a recompras debe ser confirmada.
PS122_05,Ministerio de Economía / Tesoro,DADP / Unidad de Registro,constancia de aceptación Caja,acuse o validación de archivo,fecha; archivo/lote; monto; estado; firma o usuario,probar recepción por Caja o rechazo,e0_argentina_rc_26_216_2008_tsa_sigade,Anexo I punto 5,CONTEMPORANEOUS_ADJACENT_RECORD_CLASS,La clase existe en el procedimiento vecino; no prueba que exista para cada recompra.
PS122_06,Ministerio de Economía / Tesoro,ONCP y TGN,nota conjunta a agente de registro o pago,instrucción firmada,número; fecha; firmantes; agente; especie; monto,buscar orden conjunta o equivalente,e0_argentina_rc_26_216_2008_tsa_sigade,Artículo 5,CONTEMPORANEOUS_DEBT_CONTROL,El artículo cubre ciertos títulos/órdenes de pago; la aplicabilidad a recompras debe acreditarse.
PS122_07,BCRA / CRyL,CRyL / Sistema de Pago y Operaciones,CG1,errores de prematching,fórmula; tipo; agente/cuenta cedente y receptor; especie; modalidad; nominal; importe; fechas,localizar incongruencias previas a liquidación,e0_bcra_b7971_cryl_operational_files_2003,Anexo página 1,CONTEMPORANEOUS_OPERATIONAL_SCHEMA,El diseño prueba la clase y los campos; no la existencia del archivo objetivo.
PS122_08,BCRA / CRyL,CRyL / Sistema de Pago y Operaciones,CG2,operaciones rechazadas,agente/cuenta; especie; modalidad; nominal; importe; mercado; fechas,buscar rechazo o fallo,e0_bcra_b7971_cryl_operational_files_2003,Anexo página 2,CONTEMPORANEOUS_OPERATIONAL_SCHEMA,El diseño no prueba conservación ni inclusión de la recompra.
PS122_09,BCRA / CRyL,CRyL / Sistema de Pago y Operaciones,CG3,operaciones liquidadas,agente/cuenta; especie; modalidad; nominal; importe; mercado; concertación; liquidación; subcuenta; comitente Caja,probar liquidación por evento,e0_bcra_b7971_cryl_operational_files_2003,Anexo página 2,CONTEMPORANEOUS_OPERATIONAL_SCHEMA,"Debe vincularse por fecha, especie y cuentas; CG3 no revela por sí solo beneficiario final."
PS122_10,BCRA / CRyL,CRyL / Sistema de Pago y Operaciones,CG4,operaciones para liquidar,agente/cuenta; especie; modalidad; nominal; importe; mercado; fechas; subcuenta; comitente Caja,distinguir pendiente de liquidado,e0_bcra_b7971_cryl_operational_files_2003,Anexo página 3,CONTEMPORANEOUS_OPERATIONAL_SCHEMA,Pendiente no equivale a liquidado ni fallido.
PS122_11,BCRA / CRyL,CRyL / Sistema de Pago y Operaciones,CG5 y CG6,saldo anterior y saldo actual,agente; cuenta; especie; saldo; fecha de liquidación,conciliar movimientos con saldo,e0_bcra_b7971_cryl_operational_files_2003,Anexo página 3,CONTEMPORANEOUS_OPERATIONAL_SCHEMA,Saldos agregados no identifican el origen económico de cada título.
PS122_12,BCRA / CRyL,CRyL / Sistema de Pago y Operaciones,CG7,extracto diario CRyL,cuenta; especie; fecha; fórmula; origen/destino; débitos; créditos; saldo VNR,obtener extracto de cada fecha T+3,e0_bcra_b7971_cryl_operational_files_2003,Anexo página 4,CONTEMPORANEOUS_OPERATIONAL_SCHEMA,El extracto requiere cuenta y especie correctas y no equivale a identidad del titular final.
PS122_13,BCRA / CRyL,CRyL / Gerencia de Mercado Abierto,Formulario 4359 DVP/FD&P,instrucción entrega contra pago,número de instrucción y operación; concertación; liquidación; cuenta registro/corriente; código; nominal; importe,localizar instrucción original o reemplazo,e0_bcra_a3191_cryl_dvp_regime_2000,Sección 12.1 página PDF 23,CONTEMPORANEOUS_BASELINE_FORM,El formulario base puede haber tenido modificaciones; verificar versión vigente en 2008.
PS122_14,BCRA / CRyL,CRyL / Gerencia de Mercado Abierto,Formulario 4359B FTC,transferencia libre conformada con Caja,cuenta debitada/acreditada; código; nominal; comitente Caja; aceptación/rechazo,localizar transferencia con Caja,e0_bcra_a3191_cryl_dvp_regime_2000,Secciones 8.1 y 12.3 páginas PDF 19 y 25,CONTEMPORANEOUS_BASELINE_FORM,FTC no debe presumirse si la operación usó DVP u otra modalidad.
PS122_15,BCRA / CRyL,CRyL,régimen informativo diario y mensual,detalle por cuenta y especie,fecha; tipo de operación; cuenta origen/destino; débitos; créditos; saldo VNR,pedir informe preexistente alternativo,e0_bcra_a3191_cryl_dvp_regime_2000,Sección 9 y 12.5 páginas PDF 20 y 27,CONTEMPORANEOUS_BASELINE_REPORT,Un informe de cuenta no identifica necesariamente beneficiario o mandante.
PS122_16,BCRA / CRyL,CRyL,registro de incumplimientos,saldo insuficiente o instrucción no coincidente,instrucción; fecha; cuenta; especie; causa; aviso CNV/mercado,buscar operación no liquidada,e0_bcra_a3191_cryl_dvp_regime_2000,Secciones 5.4 y 6.5-6.6 páginas PDF 11 y 14-17,CONTEMPORANEOUS_BASELINE_CONTROL,La regla describe tratamiento; no prueba incumplimiento en las rondas objetivo.
PS122_17,Caja de Valores S.A.,Caja / área de liquidación y custodia,copia certificada FTC,aceptación o rechazo de instrucción,fecha; fórmula; cuenta/comitente; especie; nominal; sello de aceptación o rechazo,buscar contraparte documental de CRyL,e0_bcra_a3191_cryl_dvp_regime_2000,Sección 8.1 página PDF 19,CONTEMPORANEOUS_BASELINE_RECORD,Aplica a FTC con Caja; verificar la modalidad real de la recompra.
PS122_18,Caja de Valores S.A.,Caja / sistema TSA,archivo y acuse TSA,transmisión segura con DADP,archivo/lote; fecha/hora; emisor; receptor; validación; aceptación/rechazo,buscar acuse del canal Tesoro-Caja,e0_argentina_rc_26_216_2008_tsa_sigade,Considerandos y Anexo I punto 5,CONTEMPORANEOUS_SYSTEM_CAPABILITY,TSA está probado para colocaciones BOCON; no se atribuye automáticamente a recompras.
PS122_19,BCRA / CRyL,CRyL / MCT / X-400,CGAEEEEE.NN,archivo de entrada FT/FTC,lote; fecha concertación/liquidación; entidad/cuenta cedente y receptora; especie; VNR; subcuenta; comitente,localizar instrucción electrónica contemporánea,e0_bcra_b9173_cryl_cga_x400_2008,Anexo I páginas PDF 3-4,EXACT_2008_OPERATIONAL_SCHEMA,Aplica sólo si la recompra cursó una FT o FTC en cartera habilitada.
PS122_20,BCRA / CRyL,CRyL / MCT / X-400,CGAEEEEE.INN,acuse de validación,fecha/hora; lote; registro; referencia; observación,vincular recepción técnica con lote,e0_bcra_b9173_cryl_cga_x400_2008,Anexo III página PDF 6,EXACT_2008_RESPONSE_SCHEMA,Validación satisfactoria es condicional a futura liquidación.
PS122_21,BCRA / CRyL,CRyL / Sistema de Pago y Operaciones,segunda etapa CGA,control y rechazo,saldo; estado de amortización; causa; fecha/hora; lote/registro,probar resultado posterior al prematching,e0_bcra_b9173_cryl_cga_x400_2008,Anexo II página PDF 5,EXACT_2008_SECOND_STAGE_CONTROL,La ausencia de mensaje de rechazo no prueba por sí sola liquidación ni pago.
PS122_22,Caja de Valores S.A.,Caja / CRyL / X-400,CGA del lado Caja,archivo y respuesta,código emisor 1001; cuenta 04; lote; especie; VNR; subcuenta/comitente; acuse,buscar contraparte de transferencia con Caja,e0_bcra_b9173_cryl_cga_x400_2008,Anexo I páginas PDF 3-4,EXACT_2008_CRYL_CAJA_ROUTE,Los códigos CRyL de Caja no equivalen a la cuenta fiduciaria depositante 0306/comitente 40000.
PS172_01,SIGEN,"Mesa de Entradas, Salidas y Archivo",sistema informático de Mesa de Entradas,entrada/salida y gestión documental,número; fecha; remitente/emisor; destinatario; asunto; adjuntos; pases; soporte,salida Nota 3672/09,e0_sigen_memory_2007_computerized_mesa_and_digital_archive_v172,PDF p.22 / impresa p.21,CAPABILITY_PRE_TARGET,nombre del sistema y esquema abiertos
PS172_02,CGN,Mesa de Entradas/DAIF/Archivo,registro de notas y trámite previo,asunto/referencia,leyenda; número anterior; respuesta; remitente; destino,entrada 3672/09 y vínculo 0120/09,e0_cgn_circular_17_2005_note_subject_and_prior_reference_v172,Circular 17/2005,RULE_IN_FORCE_BEFORE_TARGET,no contiene el asiento
PS172_03,CGN,Mesa/archivo oficial,paquete híbrido de cierre,original+medio+nota+índice,folios; cuadros; índice; soporte; recepción; devolución; respaldo,contenedor y cadena de custodia 2009,e0_cgn_disposition_32_2009_hybrid_mesa_submission_v172,arts.15-17,CONTEMPORANEOUS_COMPARATOR,no se transpone automáticamente a Nota SIGEN
PS173_01,SIGEN,Secretaría General/Mesa de Ayuda/Archivo General,Archivo Digital + CIDD + SPD,Nota SIGEN digitalizable,NOT; número; fecha; oficio; referencia; acceso; anexos; archivo; conformidades; caja,Nota 3672/09,e0_sigen_resolution_41_2007_cidd_spd_full_text_v173,I.9 + anexos,EXACT_2007_PROCEDURE,digitalización target no confirmada
PS173_02,SIGEN,Mesa de Entradas y Gestión Documental,GDE + archivo digital de Notas,entrada/egreso y Nota SIGEN,ID GDE; registro; relación con archivo digital; migración,crosswalk 2009→2022,e0_sigen_resolution_223_2022_annex2_gde_digital_notes_archive_v173,Anexo II PDF p.7,LATER_MIGRATION_ENDPOINT,no ID originario 2009
