control_id,source_id,doc_page,rendered_check,result
WV164_01,e0_dgsiaf_slu_bank_reconciliation_manual_2003_v7,10,grupos LIB/TRA/MAN/APL/EXB y regla automática/manual,PASS
WV164_02,e0_dgsiaf_slu_bank_reconciliation_manual_2003_v7,49,"conciliación automática de extracto, Libro Banco, recursos/gastos y contracódigos",PASS
WV164_03,e0_dgsiaf_slu_bank_reconciliation_manual_2003_v7,50,"generación de gestión/documento, asiento y relación origen-destino",PASS
WV164_04,e0_dgsiaf_slu_bank_reconciliation_manual_2003_v7,59,conciliación manual y suma parcial,PASS
WV164_05,e0_dgsiaf_slu_bank_reconciliation_manual_2003_v7,60,banco/sucursal/cuenta y campos de movimiento,PASS
WV164_06,e0_dgsiaf_slu_bank_reconciliation_basic_tables_2002_v7,22,"código interno: grupo, código, descripción y débito/crédito",PASS
WV164_07,e0_dgsiaf_slu_bank_reconciliation_basic_tables_2002_v7,25,"código externo: banco, código, grupo y movimiento interno",PASS
WV164_08,e0_dgsiaf_slu_bank_reconciliation_basic_tables_2002_v7,30,relación partida de gasto-movimiento externo,PASS
WV164_09,e0_dgsiaf_slu_bank_reconciliation_basic_tables_2002_v7,31,C55 automático enviado a SIDIF Central,PASS
WV164_10,e0_dgsiaf_slu_bank_reconciliation_basic_tables_2002_v7,38,"Consulta de Bajas, prohibición de borrar códigos usados y rehabilitación",PASS
WV164_11,e0_dgsiaf_slu_treasury_basic_tables_1,2,BCUENTA local sin historia; baja y rehabilitación,PASS
WV164_12,e0_dgsiaf_slu_treasury_basic_tables_1,3,ACTA_FUE local sin historia; cuenta-fuente,PASS
WV164_13,e0_dgsiaf_slu_treasury_basic_tables_2,3,BGRUPMOVBCO sin historia,PASS
WV164_14,e0_dgsiaf_slu_treasury_basic_tables_2,4,BMOVBCO sin historia,PASS
WV164_15,e0_dgsiaf_slu_treasury_basic_tables_2,5,BMOVEXTERNO y campos banco/contracódigo/movimiento,PASS
WV164_16,e0_dgsiaf_slu_treasury_basic_tables_2,6,AMOV_FORG aplicación automática por cuenta y movimiento,PASS
WV164_17,e0_dgsiaf_slu_treasury_basic_tables_2,7,ACLB_MOB relación extracto-Libro Banco,PASS
WV164_18,e0_dgsiaf_slu_treasury_basic_tables_2,8,BCODLIBBCO y marca de conciliación,PASS


