audit_id,artifact_date,artifact_or_rule,term_or_mechanism,observed_definition_or_field,relation_to_2008_target,evidence_status,prohibited_inference,source_id,locator
DM129_01,2008,Procedimiento específico de recompra,modalidad diferida,Instrucción a Caja hasta cierre T+2; Caja informa T+3; Tesoro paga luego en BCRA,DIRECT_TARGET_RULE,EXACT_TERM_PROCEDURE_ONLY,"No asignar TSA, CGA, FT, FTC, DVP ni formulario sin el registro técnico.",e0_argentina_rc_212_24_2008_recompra,Anexo; puntos 2.1-2.3
DM129_02,2008-01,BCRA Comunicación B 9173,CGA para FT/FTC,Archivo X-400/MCT; primera validación condicional y segunda etapa,CONTEMPORANEOUS_AVAILABLE_ROUTE,ROUTE_AVAILABLE_USAGE_UNPROVEN,No equiparar CGA con diferida ni validación con liquidación.,e0_bcra_b9173_cryl_cga_x400_2008,Anexos I-III
DM129_03,2017,CVSA F-33914.01,entrega diferida,Fecha de ejecución; límite de matching; Código Caja; emisor y receptor,RETROSPECTIVE_FIELD_SCHEMA,SCHEMA_ONLY_POST_TARGET,No afirmar edición o uso en 2008.,e0_cvsa_f33914_deferred_delivery_2017,páginas PDF 1-2
DM129_04,2017,CVSA F-33915.01,recepción diferida,Autorización receptora con campos espejo y matching,RETROSPECTIVE_COUNTERPART_SCHEMA,SCHEMA_ONLY_POST_TARGET,No tratar autorización en blanco como recepción ejecutada.,e0_cvsa_f33915_deferred_receipt_2017,páginas PDF 1-2
DM129_05,2020,CVSA Comunicado 10290,TSA + diferida,Archivos TSA hasta 19 h; subcuentas sólo admiten transferencias diferidas,POST_TARGET_CATEGORY_DISTINCTION,CHANNEL_AND_MODALITY_COEXIST,No convertir TSA en sinónimo de diferida ni proyectar el canje 2020 a 2008.,e0_cvsa_communication_10290_tsa_deferred_2020,página PDF 2
DM129_06,2023,BYMA Instructivo NSC,TSA + retiro de diferida/inmediata,TSA conserva formato; exige código de custodia; el NSC elimina tipos diferida/inmediata,POST_TARGET_METHOD_BREAK,DISTINCT_LAYERS_AND_REGIME_CHANGE,No retrotraer la regla NSC ni confundir ISIN con código de custodia.,e0_byma_nsc_tsa_modality_retirement_2023,página PDF 3
DM129_07,2009-08-20,CNV Resolución 16.189,formularios de Recepción Diferida,Formularios numerados 0102704 y 0102705; boleto BODEN 2012; listado de saldos y movimientos remitido por Caja,NEAR_CONTEMPORANEOUS_DOCUMENTED_PRACTICE,DEFERRED_FORM_PRACTICE_CONFIRMED_2009,No atribuir esos formularios ni su edición a las rondas de 2008.,e0_cnv_res_16189_recepcion_diferida_2009,página PDF 1
DM129_08,2000-03; PDF reexportado 2018,Caja · Sistema de Transferencias Electrónicas,inmediata versus diferida,"Edición impresa en marzo de 2000; inmediata en tiempo real; diferida por batch nocturno; alta, confirmación, almacenamiento provisorio, procesamiento, matching y formulario",PRE_TARGET_DATED_OPERATIONAL_DEFINITION,EDITION_DATE_AND_MECHANISM_CONFIRMED_EFFECTIVE_2008_REVISION_OPEN,No convertir fecha de impresión en vigencia ininterrumpida ni inferir ejecución objetivo sin revisión y registros.,e0_caja_sistema_transferencias_electronicas_manual,páginas PDF 2 y 9-12
DM129_09,2004-02-08,Merval · Documentación de Sistemas Informáticos,Sistema de Transferencias Electrónicas / SCG,"Página institucional ofrece el manual y describe alta, autorización, modificación, baja y consulta de transferencias entre subcuentas de Caja",PRE_TARGET_PUBLIC_SYSTEM_AVAILABILITY,SYSTEM_AND_DOCUMENTATION_PUBLICLY_AVAILABLE_2004,No atribuir a 2008 la revisión disponible en 2004 ni inferir una instrucción objetivo.,e0_merval_sistema_transferencias_2004_wayback,HTML archivado; sección Sistemas de Custodia y Garantía
DM129_10,2006-02; 2007-09; 2009-05,Caja MU-32002.03 · Manual Cuenta CVSA-DTC,control de cambios y fecha de vigencia,Tabla de revisiones 00-03; en septiembre de 2007 se incorporó la fecha de vigencia; versión 03 aplicable desde mayo de 2009,PARALLEL_DOCUMENT_CONTROL_SCHEMA,REVISION_LOG_PRACTICE_CONFIRMED_NOT_TARGET_MANUAL,"No trasladar revisión, vigencia ni procedimiento DTC a SLIQ o a las rondas objetivo.",e0_caja_manual_dtc_control_cambios_m32002,páginas PDF 3 y 22
