priority,entity,missing_artifact,why,status
1,Banco Columbia S.A.,Physical originals 10184.pdf and 10253.pdf,Analytical bridge exact since V97; only binary+SHA preservation blocks promotion.,ANALYTICALLY_RESOLVED_SOURCE_PRESERVATION_HOLD
2,Banco Hipotecario S.A.,Physical originals of 30/09/2023 and 31/12/2023 issuer PDFs,V99 resolves the V88 presentation conflict and constructs exact four-leg candidate; post-V96 preservation gate is now the only blocker.,ANALYTICALLY_RESOLVED_SOURCE_PRESERVATION_HOLD_V99
3,Banco Mariva S.A.,Actual CNV individual attachments #3122483 and #3165651,Exact individual filings identified; publicviews remain shells.,ATTACHMENT_BINARY_DISCOVERY_HOLD
4,HSBC Bank Argentina S.A.,Actual CNV individual attachments #3121099 and #3163537,Exact individual filings identified; issuer body needed for entity-specific crosswalk.,MANUAL_RECOVERY_EXACT_PRESENTATIONS_CONFIRMED
5,Banco de la Nacion Argentina,Separated 30/09/2023 interest opening or explicit 521007 presentation mapping,Resolve Sep 521007 without backward inference.,OPEN
6,Banco Santander Argentina SA,Explicit 30/09/2023 BCRA-vs-otherFI accumulated-flow split below separated pass-income total,Closing-stock counterparty is known but cannot substitute for YTD flow split.,OPEN
7,Banco BMA / ex Banco Itaú Argentina S.A.,CNV individual 30/09/2023 attachment #3119515 plus compatible FY separated body,Issuer route exists but exact 2023 body not preserved.,MANUAL_RECOVERY_CANDIDATE_PUBLICVIEW_IDENTIFIED
8,Banco de Corrientes S.A.,"Official FY2023 binary documentid=1193, then compatible Sep bridge",Exact endpoint identified; binary still not recovered.,HOLD_EXACT_BINARY_ENDPOINT_READY_FOR_MANUAL_RESCUE
9,Banco de Santiago del Estero S.A.,Official FY2023 issuer Annex Q/counterparty opening plus compatible Sep bridge,Raw 511108 alone cannot establish counterparty.,HOLD_ISSUER_CROSSWALK_NOT_RECOVERED
10,Banco CMF S.A.,Explicit same-year pass-result BCRA-vs-otherFI flow opening,Source bodies exact; closing stock cannot substitute for flow split.,HOLD_SOURCE_BODY_RECOVERED_FLOW_SPLIT_MISSING
11,Banco del Chubut S.A.,Official FY/9M 2023 Annex Q counterparty opening,Raw candidate exists but no issuer-specific split.,HOLD_ISSUER_CROSSWALK_NOT_RECOVERED
