date,universe,category,ratio_pct,definition,unit_type,interpolated
2016-05-01,Bancos · hogares,Total hogares,2.6011341887989183,Cartera irregular / financiaciones a familias,porcentaje de saldo,no
2016-05-01,Bancos · hogares,Personales + tarjetas (combinado),2.347961650692926,Cartera irregular / financiaciones personales y tarjetas combinadas,porcentaje de saldo,no
2016-06-01,Bancos · hogares,Total hogares,2.685999032363439,Cartera irregular / financiaciones a familias,porcentaje de saldo,no
2016-06-01,Bancos · hogares,Personales + tarjetas (combinado),2.4208624333950204,Cartera irregular / financiaciones personales y tarjetas combinadas,porcentaje de saldo,no
2016-07-01,Bancos · hogares,Total hogares,2.7386234509318834,Cartera irregular / financiaciones a familias,porcentaje de saldo,no
2016-07-01,Bancos · hogares,Personales + tarjetas (combinado),2.4664465085260456,Cartera irregular / financiaciones personales y tarjetas combinadas,porcentaje de saldo,no
2016-08-01,Bancos · hogares,Total hogares,2.7581984457924396,Cartera irregular / financiaciones a familias,porcentaje de saldo,no
2016-08-01,Bancos · hogares,Personales + tarjetas (combinado),2.472066185554228,Cartera irregular / financiaciones personales y tarjetas combinadas,porcentaje de saldo,no
2016-09-01,Bancos · hogares,Total hogares,2.7146188108351192,Cartera irregular / financiaciones a familias,porcentaje de saldo,no
2016-09-01,Bancos · hogares,Personales + tarjetas (combinado),2.4373433800458155,Cartera irregular / financiaciones personales y tarjetas combinadas,porcentaje de saldo,no
2016-10-01,Bancos · hogares,Total hogares,2.737917047510665,Cartera irregular / financiaciones a familias,porcentaje de saldo,no
2016-10-01,Bancos · hogares,Personales + tarjetas (combinado),2.476476189161015,Cartera irregular / financiaciones personales y tarjetas combinadas,porcentaje de saldo,no
2016-11-01,Bancos · hogares,Total hogares,2.6648850661773626,Cartera irregular / financiaciones a familias,porcentaje de saldo,no
2016-11-01,Bancos · hogares,Personales + tarjetas (combinado),2.4177425388953027,Cartera irregular / financiaciones personales y tarjetas combinadas,porcentaje de saldo,no
2016-12-01,Bancos · hogares,Total hogares,2.661412207478062,Cartera irregular / financiaciones a familias,porcentaje de saldo,no
2016-12-01,Bancos · hogares,Personales + tarjetas (combinado),2.4221649123744093,Cartera irregular / financiaciones personales y tarjetas combinadas,porcentaje de saldo,no
2017-01-01,Bancos · hogares,Total hogares,2.769877351818748,Cartera irregular / financiaciones a familias,porcentaje de saldo,no
2017-01-01,Bancos · hogares,Personales + tarjetas (combinado),2.5120485872776808,Cartera irregular / financiaciones personales y tarjetas combinadas,porcentaje de saldo,no
2017-02-01,Bancos · hogares,Total hogares,2.8516121529688667,Cartera irregular / financiaciones a familias,porcentaje de saldo,no
2017-02-01,Bancos · hogares,Personales + tarjetas (combinado),2.593264634231931,Cartera irregular / financiaciones personales y tarjetas combinadas,porcentaje de saldo,no
2017-03-01,Bancos · hogares,Total hogares,2.8926331337325006,Cartera irregular / financiaciones a familias,porcentaje de saldo,no
2017-03-01,Bancos · hogares,Personales + tarjetas (combinado),2.6214451983440927,Cartera irregular / financiaciones personales y tarjetas combinadas,porcentaje de saldo,no
2017-04-01,Bancos · hogares,Total hogares,3.01626354338211,Cartera irregular / financiaciones a familias,porcentaje de saldo,no
2017-04-01,Bancos · hogares,Personales + tarjetas (combinado),2.7511781733411964,Cartera irregular / financiaciones personales y tarjetas combinadas,porcentaje de saldo,no
2017-05-01,Bancos · hogares,Total hogares,3.094073257281972,Cartera irregular / financiaciones a familias,porcentaje de saldo,no
2017-05-01,Bancos · hogares,Personales + tarjetas (combinado),2.826223219216319,Cartera irregular / financiaciones personales y tarjetas combinadas,porcentaje de saldo,no
2017-06-01,Bancos · hogares,Total hogares,3.21871819428631,Cartera irregular / financiaciones a familias,porcentaje de saldo,no
2017-06-01,Bancos · hogares,Personales + tarjetas (combinado),2.96733310445647,Cartera irregular / financiaciones personales y tarjetas combinadas,porcentaje de saldo,no
2017-07-01,Bancos · hogares,Total hogares,3.0475143935540405,Cartera irregular / financiaciones a familias,porcentaje de saldo,no
2017-07-01,Bancos · hogares,Personales + tarjetas (combinado),2.8310292711853275,Cartera irregular / financiaciones personales y tarjetas combinadas,porcentaje de saldo,no
2017-08-01,Bancos · hogares,Total hogares,3.018126870578127,Cartera irregular / financiaciones a familias,porcentaje de saldo,no
2017-08-01,Bancos · hogares,Personales + tarjetas (combinado),2.7962679353903863,Cartera irregular / financiaciones personales y tarjetas combinadas,porcentaje de saldo,no
2017-09-01,Bancos · hogares,Total hogares,2.9160638938831878,Cartera irregular / financiaciones a familias,porcentaje de saldo,no
2017-09-01,Bancos · hogares,Personales + tarjetas (combinado),2.725478098782112,Cartera irregular / financiaciones personales y tarjetas combinadas,porcentaje de saldo,no
2017-10-01,Bancos · hogares,Total hogares,2.924944555412224,Cartera irregular / financiaciones a familias,porcentaje de saldo,no
2017-10-01,Bancos · hogares,Personales + tarjetas (combinado),2.7759372093823322,Cartera irregular / financiaciones personales y tarjetas combinadas,porcentaje de saldo,no
2017-11-01,Bancos · hogares,Total hogares,2.930706257444133,Cartera irregular / financiaciones a familias,porcentaje de saldo,no
2017-11-01,Bancos · hogares,Personales + tarjetas (combinado),2.842905308774655,Cartera irregular / financiaciones personales y tarjetas combinadas,porcentaje de saldo,no
2017-12-01,Bancos · hogares,Total hogares,2.8962838264187205,Cartera irregular / financiaciones a familias,porcentaje de saldo,no
2017-12-01,Bancos · hogares,Personales + tarjetas (combinado),2.8668504884079518,Cartera irregular / financiaciones personales y tarjetas combinadas,porcentaje de saldo,no
