metodo_distribucion,umbral_billones,participacion,tope_patrimonio,lambda,recaudacion,recaudacion_maxima,brecha,factibilidad,aportantes_estimados,aporte_promedio,aporte_mediano,tasa_efectiva_minima,tasa_efectiva_mediana,tasa_efectiva_maxima,patrimonio_retenido_mediano
promedio_oficial,1,0.25,0.01,1000000.0,403808556208.20386,403808556208.20386,4576191443791.796,no alcanza,12081.75,33423018.70243995,16398217.957634896,0.01,0.01,0.01,0.99
promedio_oficial,1,0.25,0.02,1000000.0,807617112416.4077,807617112416.4077,4172382887583.5923,no alcanza,12081.75,66846037.4048799,32796435.915269792,0.02,0.02,0.02,0.98
promedio_oficial,1,0.25,0.03,1000000.0,1211425668624.6116,1211425668624.6116,3768574331375.3887,no alcanza,12081.75,100269056.10731985,49194653.87290468,0.029999999999999995,0.03,0.030000000000000002,0.97
promedio_oficial,1,0.25,0.05,1000000.0,2019042781041.0193,2019042781041.0193,2960957218958.9805,no alcanza,12081.75,167115093.51219976,81991089.78817448,0.049999999999999996,0.05,0.05000000000000001,0.95
promedio_oficial,1,0.5,0.01,1000000.0,807617112416.4077,807617112416.4077,4172382887583.5923,no alcanza,24163.5,33423018.70243995,16398217.957634896,0.01,0.01,0.01,0.99
promedio_oficial,1,0.5,0.02,1000000.0,1615234224832.8154,1615234224832.8154,3364765775167.1846,no alcanza,24163.5,66846037.4048799,32796435.915269792,0.02,0.02,0.02,0.98
promedio_oficial,1,0.5,0.03,1000000.0,2422851337249.223,2422851337249.223,2557148662750.777,no alcanza,24163.5,100269056.10731985,49194653.87290468,0.029999999999999995,0.03,0.030000000000000002,0.97
promedio_oficial,1,0.5,0.05,1000000.0,4038085562082.0386,4038085562082.0386,941914437917.9614,no alcanza,24163.5,167115093.51219976,81991089.78817448,0.049999999999999996,0.05,0.05000000000000001,0.95
promedio_oficial,1,0.75,0.01,1000000.0,1211425668624.6116,1211425668624.6116,3768574331375.3887,no alcanza,36245.25,33423018.70243995,16398217.957634896,0.01,0.01,0.01,0.99
promedio_oficial,1,0.75,0.02,1000000.0,2422851337249.223,2422851337249.223,2557148662750.777,no alcanza,36245.25,66846037.4048799,32796435.915269792,0.02,0.02,0.02,0.98
promedio_oficial,1,0.75,0.03,1000000.0,3634277005873.835,3634277005873.835,1345722994126.165,no alcanza,36245.25,100269056.10731986,49194653.87290468,0.029999999999999995,0.03,0.030000000000000002,0.97
promedio_oficial,1,0.75,0.05,0.06853035383138965,4980000000000.0,6057128343123.058,0,alcanza,36245.25,137397314.13081715,43847214.05270706,0.0008205097835284079,0.0267390116206451,0.05000000000000001,0.9732609883793549
promedio_oficial,1,1.0,0.01,1000000.0,1615234224832.8154,1615234224832.8154,3364765775167.1846,no alcanza,48327.0,33423018.70243995,16398217.957634896,0.01,0.01,0.01,0.99
promedio_oficial,1,1.0,0.02,1000000.0,3230468449665.631,3230468449665.631,1749531550334.3691,no alcanza,48327.0,66846037.4048799,32796435.915269792,0.02,0.02,0.02,0.98
promedio_oficial,1,1.0,0.03,1000000.0,4845702674498.446,4845702674498.446,134297325501.55371,no alcanza,48327.0,100269056.10731985,49194653.87290468,0.029999999999999995,0.03,0.030000000000000002,0.97
promedio_oficial,1,1.0,0.05,0.02766243327389258,4980000000000.0,8076171124164.077,0,alcanza,48327.0,103047985.59811285,17699027.732489653,0.0003312006412993939,0.010793262888818421,0.05000000000000001,0.9892067371111816
promedio_oficial,2,0.25,0.01,1000000.0,306354072758.03784,306354072758.03784,4673645927241.962,no alcanza,4870.25,62903151.32858433,33697299.41828582,0.01,0.01,0.01,0.99
promedio_oficial,2,0.25,0.02,1000000.0,612708145516.0757,612708145516.0757,4367291854483.9243,no alcanza,4870.25,125806302.65716866,67394598.83657163,0.02,0.02,0.02,0.98
promedio_oficial,2,0.25,0.03,1000000.0,919062218274.1134,919062218274.1134,4060937781725.8867,no alcanza,4870.25,188709453.98575297,101091898.25485744,0.029999999999999995,0.03,0.030000000000000002,0.97
promedio_oficial,2,0.25,0.05,1000000.0,1531770363790.1892,1531770363790.1892,3448229636209.8105,no alcanza,4870.25,314515756.6429217,168486497.09142908,0.049999999999999996,0.05,0.05000000000000001,0.95
promedio_oficial,2,0.5,0.01,1000000.0,612708145516.0757,612708145516.0757,4367291854483.9243,no alcanza,9740.5,62903151.32858433,33697299.41828582,0.01,0.01,0.01,0.99
promedio_oficial,2,0.5,0.02,1000000.0,1225416291032.1514,1225416291032.1514,3754583708967.8486,no alcanza,9740.5,125806302.65716866,67394598.83657163,0.02,0.02,0.02,0.98
promedio_oficial,2,0.5,0.03,1000000.0,1838124436548.2268,1838124436548.2268,3141875563451.7734,no alcanza,9740.5,188709453.98575297,101091898.25485744,0.029999999999999995,0.03,0.030000000000000002,0.97
promedio_oficial,2,0.5,0.05,1000000.0,3063540727580.3784,3063540727580.3784,1916459272419.6216,no alcanza,9740.5,314515756.6429217,168486497.09142908,0.049999999999999996,0.05,0.05000000000000001,0.95
promedio_oficial,2,0.75,0.01,1000000.0,919062218274.1135,919062218274.1135,4060937781725.8867,no alcanza,14610.75,62903151.32858433,33697299.41828582,0.01,0.01,0.01,0.99
promedio_oficial,2,0.75,0.02,1000000.0,1838124436548.227,1838124436548.227,3141875563451.773,no alcanza,14610.75,125806302.65716866,67394598.83657163,0.02,0.02,0.02,0.98
promedio_oficial,2,0.75,0.03,1000000.0,2757186654822.3403,2757186654822.3403,2222813345177.6597,no alcanza,14610.75,188709453.98575297,101091898.25485744,0.029999999999999995,0.03,0.030000000000000002,0.97
promedio_oficial,2,0.75,0.05,1000000.0,4595311091370.567,4595311091370.567,384688908629.4326,no alcanza,14610.75,314515756.6429216,168486497.09142908,0.049999999999999996,0.05,0.05000000000000001,0.95
promedio_oficial,2,1.0,0.01,1000000.0,1225416291032.1514,1225416291032.1514,3754583708967.8486,no alcanza,19481.0,62903151.32858433,33697299.41828582,0.01,0.01,0.01,0.99
promedio_oficial,2,1.0,0.02,1000000.0,2450832582064.3027,2450832582064.3027,2529167417935.6973,no alcanza,19481.0,125806302.65716866,67394598.83657163,0.02,0.02,0.02,0.98
promedio_oficial,2,1.0,0.03,1000000.0,3676248873096.4536,3676248873096.4536,1303751126903.5464,no alcanza,19481.0,188709453.98575297,101091898.25485744,0.029999999999999995,0.03,0.030000000000000002,0.97
promedio_oficial,2,1.0,0.05,0.04961934422273978,4980000000000.0,6127081455160.757,0,alcanza,19481.0,255633694.36887223,101947652.21367857,0.0025323039903336507,0.03025395327625476,0.05000000000000001,0.9697460467237452
promedio_oficial,3,0.25,0.01,1000000.0,258371240674.862,258371240674.862,4721628759325.138,no alcanza,2910.0,88787367.92950584,49447604.6006658,0.01,0.01,0.01,0.99
promedio_oficial,3,0.25,0.02,1000000.0,516742481349.724,516742481349.724,4463257518650.276,no alcanza,2910.0,177574735.85901168,98895209.2013316,0.02,0.02,0.02,0.98
promedio_oficial,3,0.25,0.03,1000000.0,775113722024.5859,775113722024.5859,4204886277975.414,no alcanza,2910.0,266362103.7885175,148342813.8019974,0.03,0.03,0.030000000000000002,0.97
promedio_oficial,3,0.25,0.05,1000000.0,1291856203374.31,1291856203374.31,3688143796625.69,no alcanza,2910.0,443936839.64752924,247238023.003329,0.049999999999999996,0.05,0.05000000000000001,0.95
promedio_oficial,3,0.5,0.01,1000000.0,516742481349.724,516742481349.724,4463257518650.276,no alcanza,5820.0,88787367.92950584,49447604.6006658,0.01,0.01,0.01,0.99
promedio_oficial,3,0.5,0.02,1000000.0,1033484962699.448,1033484962699.448,3946515037300.552,no alcanza,5820.0,177574735.85901168,98895209.2013316,0.02,0.02,0.02,0.98
promedio_oficial,3,0.5,0.03,1000000.0,1550227444049.1719,1550227444049.1719,3429772555950.828,no alcanza,5820.0,266362103.7885175,148342813.8019974,0.03,0.03,0.030000000000000002,0.97
promedio_oficial,3,0.5,0.05,1000000.0,2583712406748.62,2583712406748.62,2396287593251.38,no alcanza,5820.0,443936839.64752924,247238023.003329,0.049999999999999996,0.05,0.05000000000000001,0.95
promedio_oficial,3,0.75,0.01,1000000.0,775113722024.5859,775113722024.5859,4204886277975.414,no alcanza,8730.0,88787367.92950584,49447604.6006658,0.01,0.01,0.01,0.99
promedio_oficial,3,0.75,0.02,1000000.0,1550227444049.1719,1550227444049.1719,3429772555950.828,no alcanza,8730.0,177574735.85901168,98895209.2013316,0.02,0.02,0.02,0.98
promedio_oficial,3,0.75,0.03,1000000.0,2325341166073.758,2325341166073.758,2654658833926.242,no alcanza,8730.0,266362103.7885175,148342813.8019974,0.03,0.03,0.030000000000000002,0.97
promedio_oficial,3,0.75,0.05,1000000.0,3875568610122.93,3875568610122.93,1104431389877.0698,no alcanza,8730.0,443936839.64752924,247238023.003329,0.049999999999999996,0.05,0.05000000000000001,0.95
promedio_oficial,3,1.0,0.01,1000000.0,1033484962699.448,1033484962699.448,3946515037300.552,no alcanza,11640.0,88787367.92950584,49447604.6006658,0.01,0.01,0.01,0.99
promedio_oficial,3,1.0,0.02,1000000.0,2066969925398.896,2066969925398.896,2913030074601.104,no alcanza,11640.0,177574735.85901168,98895209.2013316,0.02,0.02,0.02,0.98
promedio_oficial,3,1.0,0.03,1000000.0,3100454888098.3438,3100454888098.3438,1879545111901.6562,no alcanza,11640.0,266362103.7885175,148342813.8019974,0.03,0.03,0.030000000000000002,0.97
promedio_oficial,3,1.0,0.05,0.23587975472627895,4980000000000.0,5167424813497.24,0,alcanza,11640.0,427835051.5463917,247238023.003329,0.005821584818293958,0.05,0.05000000000000001,0.95
promedio_oficial,5,0.25,0.01,1000000.0,198086763361.27954,198086763361.27954,4781913236638.721,no alcanza,1331.75,148741703.29362082,85949812.24131979,0.01,0.01,0.01,0.99
promedio_oficial,5,0.25,0.02,1000000.0,396173526722.5591,396173526722.5591,4583826473277.441,no alcanza,1331.75,297483406.58724165,171899624.48263958,0.02,0.02,0.02,0.98
promedio_oficial,5,0.25,0.03,1000000.0,594260290083.8385,594260290083.8385,4385739709916.1616,no alcanza,1331.75,446225109.8808624,257849436.72395936,0.03,0.03,0.030000000000000002,0.97
promedio_oficial,5,0.25,0.05,1000000.0,990433816806.3977,990433816806.3977,3989566183193.6025,no alcanza,1331.75,743708516.4681041,429749061.206599,0.049999999999999996,0.05,0.05000000000000001,0.95
promedio_oficial,5,0.5,0.01,1000000.0,396173526722.5591,396173526722.5591,4583826473277.441,no alcanza,2663.5,148741703.29362082,85949812.24131979,0.01,0.01,0.01,0.99
promedio_oficial,5,0.5,0.02,1000000.0,792347053445.1182,792347053445.1182,4187652946554.882,no alcanza,2663.5,297483406.58724165,171899624.48263958,0.02,0.02,0.02,0.98
promedio_oficial,5,0.5,0.03,1000000.0,1188520580167.677,1188520580167.677,3791479419832.323,no alcanza,2663.5,446225109.8808624,257849436.72395936,0.03,0.03,0.030000000000000002,0.97
promedio_oficial,5,0.5,0.05,1000000.0,1980867633612.7954,1980867633612.7954,2999132366387.2046,no alcanza,2663.5,743708516.4681041,429749061.206599,0.049999999999999996,0.05,0.05000000000000001,0.95
promedio_oficial,5,0.75,0.01,1000000.0,594260290083.8386,594260290083.8386,4385739709916.161,no alcanza,3995.25,148741703.29362082,85949812.24131979,0.01,0.01,0.01,0.99
promedio_oficial,5,0.75,0.02,1000000.0,1188520580167.6772,1188520580167.6772,3791479419832.3228,no alcanza,3995.25,297483406.58724165,171899624.48263958,0.02,0.02,0.02,0.98
promedio_oficial,5,0.75,0.03,1000000.0,1782780870251.5156,1782780870251.5156,3197219129748.4844,no alcanza,3995.25,446225109.8808624,257849436.72395936,0.03,0.03,0.030000000000000002,0.97
promedio_oficial,5,0.75,0.05,1000000.0,2971301450419.1934,2971301450419.1934,2008698549580.8066,no alcanza,3995.25,743708516.4681042,429749061.206599,0.049999999999999996,0.05,0.05000000000000001,0.95
promedio_oficial,5,1.0,0.01,1000000.0,792347053445.1182,792347053445.1182,4187652946554.882,no alcanza,5327.0,148741703.29362082,85949812.24131979,0.01,0.01,0.01,0.99
promedio_oficial,5,1.0,0.02,1000000.0,1584694106890.2363,1584694106890.2363,3395305893109.7637,no alcanza,5327.0,297483406.58724165,171899624.48263958,0.02,0.02,0.02,0.98
promedio_oficial,5,1.0,0.03,1000000.0,2377041160335.354,2377041160335.354,2602958839664.646,no alcanza,5327.0,446225109.8808624,257849436.72395936,0.03,0.03,0.030000000000000002,0.97
promedio_oficial,5,1.0,0.05,1000000.0,3961735267225.591,3961735267225.591,1018264732774.4092,no alcanza,5327.0,743708516.4681041,429749061.206599,0.049999999999999996,0.05,0.05000000000000001,0.95
promedio_oficial,10,0.25,0.01,1000000.0,143589118888.92877,143589118888.92877,4836410881111.071,no alcanza,553.75,259303149.23508582,155086800.61808938,0.01,0.01,0.01,0.99
promedio_oficial,10,0.25,0.02,1000000.0,287178237777.85754,287178237777.85754,4692821762222.143,no alcanza,553.75,518606298.47017163,310173601.23617876,0.02,0.02,0.02,0.98
promedio_oficial,10,0.25,0.03,1000000.0,430767356666.7863,430767356666.7863,4549232643333.214,no alcanza,553.75,777909447.7052574,465260401.8542681,0.03,0.03,0.030000000000000002,0.97
promedio_oficial,10,0.25,0.05,1000000.0,717945594444.644,717945594444.644,4262054405555.356,no alcanza,553.75,1296515746.1754293,775434003.090447,0.049999999999999996,0.05,0.05000000000000001,0.95
promedio_oficial,10,0.5,0.01,1000000.0,287178237777.85754,287178237777.85754,4692821762222.143,no alcanza,1107.5,259303149.23508582,155086800.61808938,0.01,0.01,0.01,0.99
promedio_oficial,10,0.5,0.02,1000000.0,574356475555.7151,574356475555.7151,4405643524444.285,no alcanza,1107.5,518606298.47017163,310173601.23617876,0.02,0.02,0.02,0.98
