fila_oficial,tramo_original_millones_ars_2022,limite_inferior_ars_jun_2026,limite_superior_ars_jun_2026,personas_con_bienes,patrimonio_total_ars_jun_2026,patrimonio_promedio_ars_jun_2026,bienes_pais_ars_jun_2026,bienes_exterior_ars_jun_2026,fuente_primaria,metodo_estimacion
1,0–11,0.0,114658863.51,477962,25281195356002.77,52893734.97,24800868529703.09,480326826299.69,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
2,11–15,114658863.51,156352995.69,100288,13376394875729.2,133379814.89,12883028209588.77,493366666140.43,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
3,15–30,156352995.69,312705991.38,159308,34787509611757.84,218366369.62,32473412310780.96,2314097300976.87,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
4,30–45,312705991.38,469058987.08,55052,20945234926530.92,380462742.98,18253315823230.2,2691919103300.71,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
5,45–60,469058987.08,625411982.77,27438,14799071630599.23,539364080.13,12008504210549.74,2790567420049.49,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
6,60–75,625411982.77,781764978.46,16096,11234223328815.54,697951250.55,8587042029348.9,2647181299466.63,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
7,75–90,781764978.46,938117974.15,10640,9105404327734.0,855771083.43,6533658136922.36,2571746190811.64,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
8,90–105,938117974.15,1094470969.85,7561,7652624409426.69,1012118027.96,5234031189662.15,2418593219764.54,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
9,105–120,1094470969.85,1250823965.54,5678,6641301962689.96,1169655153.7,4255000848302.4,2386290690854.52,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
10,120–135,1250823965.54,1407176961.23,4456,5907235071447.82,1325681120.16,3633643619888.29,2273601875092.58,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
11,135–150,1407176961.23,1563529956.92,3547,5257108891826.32,1482128246.92,3112300191051.99,2144808700774.33,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
12,150–165,1563529956.92,1719882952.61,2970,4870270733417.56,1639821795.76,2686498866116.72,2183771867300.85,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
13,165–180,1719882952.61,1876235948.31,2537,4557533471433.89,1796426279.63,2452375890367.12,2105157581066.78,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
14,180–195,1876235948.31,2032588944.0,2097,4095718839824.17,1953132493.96,2106627299226.28,1989091540597.88,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
15,195–210,2032588944.0,2188941939.69,1773,3736701091115.58,2107558427.03,1855263799818.35,1881447714830.28,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
16,210–225,2188941939.69,2345294935.38,1500,3396810525546.69,2264540350.36,1638433465392.31,1758387483687.42,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
17,225–240,2345294935.38,2501647931.08,1299,3144425519900.23,2420650900.62,1485874635728.84,1658540460638.34,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
18,240–255,2501647931.08,2658000926.77,1205,3109079319340.73,2580148812.73,1467591758765.9,1641497984107.88,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
19,255–270,2658000926.77,2814353922.46,1067,2918922805979.79,2735635244.59,1308830926939.97,1610081455506.78,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
20,270–285,2814353922.46,2970706918.15,997,2887193571387.31,2895881215.03,1191409827175.07,1695794167745.28,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
21,285–300,2970706918.15,3127059913.85,784,2391346104381.9,3050186357.63,976257681569.47,1415088422812.43,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
22,300–350,3127059913.85,3648236566.15,2171,7315683703709.85,3369729941.83,2945325615185.69,4370358088524.15,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
23,350–400,3648236566.15,4169413218.46,1528,5934388375033.04,3883762025.55,2410671334649.46,3523717040383.58,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
24,400–450,4169413218.46,4690589870.77,1091,4818194762318.99,4416310506.25,1926529495254.88,2891654843531.06,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
25,450–500,4690589870.77,5211766523.08,739,3654177979989.2,4944760460.07,1498049322326.75,2156118234129.41,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
26,500–550,5211766523.08,5732943175.38,622,3393579230302.38,5455915161.26,1287983860847.66,2105595369454.71,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
27,550–600,5732943175.38,6254119827.69,547,3280233731958.53,5996770990.78,1142731927849.55,2137501804108.98,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
28,600–650,6254119827.69,6775296480.0,422,2745443945492.7,6505791340.03,998835054147.43,1746608891345.27,"ARCA Anuario 2023, cuadro 2.5.1.2.1.1, fiscal 2022",dato oficial agregado; IPC INDEC a jun-2026; curva calibrada / Pareto sólo cola abierta
