ruta_relativa,url_origen,fecha_recuperacion,bytes,sha256
bcra_reservas/estado_resumido_2026-08-23.pdf,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/estado-resumido-activos-pasivos-bcra.pdf,2026-08-31,131089,27daf24b7760b68b6a7e55e0e13ce0a4a26788d8bfc134b5e1812e4ed2ccc12d
bcra_reservas/estado_resumido_aclaraciones.pdf,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/aclaraciones-estado-resumido-activos-pasivos-bcra.pdf,2026-08-31,178374,813a66ac8d76b86156d7f6b49273ab274fd1426156b401ea44a1f3560c6a42e4
bcra_reservas/imf_argentina_staff_report_2026_105_main.pdf,https://www.elibrary.imf.org/downloadpdf/view/journals/002/2026/105/article-A001-en.pdf,2026-09-01,2610710,f15328d8f4920e4b9d96dfde8ab114d4e8c15beeb4e0defb187fc4734e9c53c3
bcra_reservas/imf_argentina_staff_report_2026_105_supplement.pdf,https://www.elibrary.imf.org/downloadpdf/view/journals/002/2026/105/article-A003-en.pdf,2026-09-01,305830,a6d5faf4dec1cad439c854a4b8b91df22649495c0b0d7178984ae470d15a4d03
bcra_reservas/ipom_2025_t4.pdf,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/informes/informe-politica-monetaria-2025-T4.pdf,2026-08-31,3398256,d4f3838bc4f7ea1636765dd646d1ed3de70e1cb956ce0f043b7f5d14f1ac76b6
bcra_reservas/nedd_reservas_2026-08-31.html,https://www.bcra.gob.ar/normas-especiales-para-la-divulgacion-de-datos-fmi/,2026-08-31,80535,c4adac38deccb2cbd3c56d413ee32e8bc1b86aeb58e967382e7ed39d76ae9d0a
bcra_reservas/planilla_reservas_liquidez_2026-07-31.pdf,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/temp0726.pdf,2026-08-31,175447,5a7ef60bed7e9fe8fc728a96e4685112476700debe57d824683695bb00c0a28a
bcra_reservas/reservas_internacionales_2026-08-27.pdf,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/reservas1.pdf,2026-09-01,189303,10fa16a23455aa81fa0ec7368a1e305689761f6ec49c060af2726a6a2145836e
bcra_reservas/swap_china_renovacion_2026-08-05.html,https://www.bcra.gob.ar/noticias/el-banco-central-de-la-republica-argentina-y-el-banco-de-la-republica-popular-de-china-renuevan-su-acuerdo-de-swap-y-extienden-el-plazo-de-3-a-5-anos/,2026-08-31,73000,c83db545b1b0599e4f5b81f11a9d3c248e795209a6942ec78aa400a2ab2e4490
capital_publico/cuenta_inversion_2024_resumen.pdf,https://www.argentina.gob.ar/sites/default/files/libro_resumen_cdi_2024_5a-definitivo.pdf,2026-08-31,5766649,ade89260be701a94a761f7f19c29a6c1b27efb7c4b207308835a6014a7154efd
