row_id,date_or_period,level,documented_deployment,gastos_payment_status,source_id,inference_status
ST136_01,2008,SAF,Formulación presupuestaria en 81 SAF,NOT_LISTED_AS_DEPLOYED,e0_cgn_account_2008_esidif_module_scope,2008_ESIDIF_GASTOS_NOT_OPERATIONAL_IN_DOCUMENTED_SCOPE
ST136_02,2008,órganos rectores,"Modificaciones, programación, Entes, escenarios de pago y medidas judiciales",GASTOS_NOT_LISTED,e0_cgn_account_2008_esidif_module_scope,LEGACY_SIDIF_CENTRAL_PAYMENT_ENVIRONMENT_STRONGLY_SUPPORTED
ST136_03,20/10/2008,SIDIF Central,Sólo módulo Entes sustituido por e-SIDIF,UNCHANGED_BY_THIS_CIRCULAR,e0_cgn_circular_07_2008_transaf_entes_transition,EXACT_MODULE_TRANSITION_CONTROL
ST136_04,20/10/2008,SAF con sistema propio,Diseños de archivo enviados vía TRANSAF sin cambios para Entes,NO_LITERAL_SDPGB_SDPAG_PROOF,e0_cgn_circular_07_2008_transaf_entes_transition,TRANSAF_CONTINUITY_EXACT_ENTES_ONLY
ST136_05,05/2009,órganos rectores,Pagos Etapa 1 y Gastos,FIRST_EXPLICIT_RECTOR_DEPLOYMENT,e0_cgn_account_2009_esidif_payments_development,POST_TARGET_DEPLOYMENT
ST136_06,10-11/2009,órganos rectores,Pagos Etapa 2,PAYMENT_ROLLOUT_CONTINUES,e0_cgn_account_2009_esidif_payments_development,POST_TARGET_DEPLOYMENT
ST136_07,2009,SAF,Formulación y modificaciones/ejecución; talleres de Gastos/Contabilidad/Retenciones,DEVELOPMENT_AND_WORKSHOPS,e0_cgn_account_2009_esidif_payments_development,SAF_GASTOS_NOT_YET_GENERAL
ST136_08,05/2010,rectores y SAF 356,Carga manual C-41/C-42,EXPLICIT_ROLLOUT,e0_cgn_account_2010_esidif_spending_rollout,POST_TARGET_EXACT_DATE
ST136_09,07-09/2010,SAF 356/355,Recepción física ROP; administración local/listados,ORGANISM_ROLLOUT,e0_cgn_account_2010_esidif_spending_rollout,POST_TARGET_EXACT_DATE
ST136_10,2011,SAF 356/sistema general,Primera versión Gastos; modelo de orden virtual; 50% SAF en nuevo pago,TRANSITION_STILL_INCOMPLETE,e0_cgn_account_2011_esidif_saf356_first_spending,LEGACY_COEXISTENCE_CONFIRMED
ST136_11,conclusión 2008,target C-41,Entorno SIDIF Central legacy con TRANSAF; e-SIDIF Gastos posterior,LEGACY_ENVIRONMENT_PROVED,e0_cgn_circular_07_2008_transaf_entes_transition;e0_cgn_account_2008_esidif_module_scope;e0_cgn_account_2009_esidif_payments_development;e0_cgn_account_2010_esidif_spending_rollout;e0_cgn_account_2011_esidif_saf356_first_spending,SDPGB_SDPAG_FUNCTIONAL_CONTINUITY_HIGHLY_SUPPORTED_LITERAL_FILENAME_OPEN
