log_id,surface,query_or_target,result,classification,limit_or_next_step
LA169_01,Wayback CDX,www.sigen.gov.ar/documentacion/plananualpdfs/*,25 HTTP-200 PDF rows; plans 2013-2015 only,LATE_DIRECTORY_CAPTURE_TARGET_2009_ABSENT_SCOPED,institutional archive and mirrors
LA169_02,Wayback CDX,Plan SIGEN 2009 + Anexo G + planred2009,not present among returned directory rows,LATE_ARCHIVE_NEGATIVE_SCOPED,do not infer deletion date
LA169_03,Common Crawl,*.sigen.gov.ar/documentacion/plananualpdfs/*,superseded in V171: wildcard/domain query did not reliably constrain the folder,SUPERSEDED_INVALID_QUERY_NEGATIVE,exact host prefix + matchType=prefix + JSON/URL validation
LA169_04,Common Crawl,directory + exact main/annex G/plan red,catalog/index connection timed out; batch interrupted without completed export,SERVICE_UNAVAILABLE_NOT_NEGATIVE,rerun bounded yearly batches
LA169_05,InfoLEG Actos de Gobierno,Plan SIGEN annual publications,Plan 2008 and two Plan 2010 parts; no Plan 2009 title,EDITORIAL_SURFACE_NEGATIVE_SCOPED,request publication/custody certificate
LA169_06,public web exact-title search,four exact Plan 2009 filenames/titles,no target bodies; official Memory 2008 remained only exact approval reference,SEARCH_ENGINE_NEGATIVE_SCOPED,custody request by exact filenames
LA170_07,Common Crawl official catalog,queryable collection universe,74 collection identifiers authenticated,COLLECTION_UNIVERSE_VERIFIED_RESULTS_PENDING,resume exact-prefix batches
LA170_08,Common Crawl broad query audit,wildcard domain/path pattern,12 service errors; 6 HTML-503 false positives; 2 general-domain result sets,BROAD_BATCH_INVALIDATED,do not use as capture or negative evidence
LA170_09,Common Crawl exact-prefix retry,exact folder prefix with matchType=prefix,4 service errors; zero evaluable responses,SERVICE_ERRORS_NOT_NEGATIVES,retry with backoff when service recovers
LA170_10,public exact-title search,four exact Plan 2009 filename/title probes,no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,institutional custody by 14 exact routes
LA170_11,SIGEN/Normativa/Boletín Oficial search,Plan SIGEN 2009 approval act,no act number or body located; Memory 2008 remains exact approval reference,PUBLIC_ACT_SEARCH_NEGATIVE_SCOPED,"approval register, file and UAI communication"
LA170_12,CGN Cuenta 2009 UEPEX,recipient of Nota SIGEN 3672/09,CGN identified as contextual recipient by narrative antecedent,RECIPIENT_IDENTIFIED_BY_CONTEXT_CGN,formal addressee and CGN incoming identifier
LA171_13,Common Crawl exact-prefix,SIGEN plananualpdfs exact prefix,4 valid no-capture responses; 12 service errors; 0 captures,FOUR_SCOPED_NEGATIVES_TWELVE_ERRORS,retry only errors; do not generalize four negatives
LA171_14,Common Crawl exact-prefix,SIGEN plananualpdfs exact prefix,20 service errors; 0 evaluable responses,SERVICE_ERRORS_NOT_NEGATIVES,retry after service recovery
LA171_15,Common Crawl boundary control,SIGEN plananualpdfs exact prefix,4 of 4 service errors; full batch deferred,BOUNDARY_FAILURE_BATCH_DEFERRED,run remaining 14 queries only after valid control
LA171_16,public/library/repository/archive exact-title search,"Plan 2009, Annex F 8-18, Annex G, Plan Red",0 target bodies returned,FOURTEEN_FILENAME_NEGATIVE_SCOPED,institutional custody request
LA171_17,CGN Disposition 41/1996,recipient registry for Note 3672/09,mandatory Mesa entry and internal-pass log identified,PRIMARY_REGISTRY_ROUTE_LOCATED,request exact entry and pass history
LA171_18,CGN Circular 04/2010,COMDOC versus Note route,COMDOC boundary dated; internal Note route persists,TEMPORAL_DOCUMENT_ROUTE_BOUNDARY_LOCATED,do not make COMDOC exclusive for 2009
LA171_19,SIGEN/Normativa/Boletín Oficial exact-date search,Plan SIGEN 2009 approval act,no act number or body located,PUBLIC_ACT_SEARCH_NEGATIVE_SCOPED,approval registry and file remain requested
FN171_01,public web + official/library/repository/archive exact-title search,"""Anexo F - Cuadro 10 - Superv y Coord UAI.pdf""",no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,No prueba inexistencia ni ausencia en custodia; el nombre sí consta en la página archivada oficial.
FN171_02,public web + official/library/repository/archive exact-title search,"""Anexo F - Cuadro 11 - Fiscalización.pdf""",no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,No prueba inexistencia ni ausencia en custodia; el nombre sí consta en la página archivada oficial.
FN171_03,public web + official/library/repository/archive exact-title search,"""Anexo F - Cuadro 12 - Auditorías.pdf""",no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,No prueba inexistencia ni ausencia en custodia; el nombre sí consta en la página archivada oficial.
FN171_04,public web + official/library/repository/archive exact-title search,"""Anexo F - Cuadro 13 - Otras competencias.pdf""",no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,No prueba inexistencia ni ausencia en custodia; el nombre sí consta en la página archivada oficial.
FN171_05,public web + official/library/repository/archive exact-title search,"""Anexo F - Cuadro 14 - UAI Conducción.pdf""",no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,No prueba inexistencia ni ausencia en custodia; el nombre sí consta en la página archivada oficial.
FN171_06,public web + official/library/repository/archive exact-title search,"""Anexo F - Cuadro 15 - UAI Superv Gral SCI.pdf""",no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,No prueba inexistencia ni ausencia en custodia; el nombre sí consta en la página archivada oficial.
FN171_07,public web + official/library/repository/archive exact-title search,"""Anexo F - Cuadro 16 - UAI Auditorías.pdf""",no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,No prueba inexistencia ni ausencia en custodia; el nombre sí consta en la página archivada oficial.
FN171_08,public web + official/library/repository/archive exact-title search,"""Anexo F - Cuadro 17 - UAI Otras actividades.pdf""",no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,No prueba inexistencia ni ausencia en custodia; el nombre sí consta en la página archivada oficial.
FN171_09,public web + official/library/repository/archive exact-title search,"""Anexo F - Cuadro 18.pdf""",no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,No prueba inexistencia ni ausencia en custodia; el nombre sí consta en la página archivada oficial.
FN171_10,public web + official/library/repository/archive exact-title search,"""Anexo F - Cuadro 8 - Normativa.pdf""",no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,No prueba inexistencia ni ausencia en custodia; el nombre sí consta en la página archivada oficial.
FN171_11,public web + official/library/repository/archive exact-title search,"""Anexo F - Cuadro 9 - Supervisión General del SCI.pdf""",no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,No prueba inexistencia ni ausencia en custodia; el nombre sí consta en la página archivada oficial.
FN171_12,public web + official/library/repository/archive exact-title search,"""Anexo G - Capacitacion 2009.pdf""",no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,No prueba inexistencia ni ausencia en custodia; el nombre sí consta en la página archivada oficial.
FN171_13,public web + official/library/repository/archive exact-title search,"""Plan SIGEN 2009.pdf""",no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,No prueba inexistencia ni ausencia en custodia; el nombre sí consta en la página archivada oficial.
FN171_14,public web + official/library/repository/archive exact-title search,"""planred2009.pdf""",no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,No prueba inexistencia ni ausencia en custodia; el nombre sí consta en la página archivada oficial.
