source_id,url,retrieval,status
e0_cgn_account2011_bid1192_fondyf_trace_v178,https://www.economia.gob.ar/hacienda/cgn/cuenta/2011/archivos/sep.pdf,DIRECT_OFFICIAL_TLS_OR_HISTORICAL_REDIRECT,PRESERVED
e0_cgn_account2012_bid1192_fondyf_trace_v178,https://www.economia.gob.ar/hacienda/cgn/cuenta/2012/archivos/sep.pdf,DIRECT_OFFICIAL_TLS_OR_HISTORICAL_REDIRECT,PRESERVED
e0_cgn_account2013_bid1192_fondyf_trace_v178,https://www.economia.gob.ar/hacienda/cgn/cuenta/2013/archivos/sep.pdf,DIRECT_OFFICIAL_TLS_OR_HISTORICAL_REDIRECT,PRESERVED
e0_cgn_account2014_bid1192_fondyf_trace_v178,https://www.economia.gob.ar/hacienda/cgn/cuenta/2014/archivos/sep.pdf,DIRECT_OFFICIAL_TLS_OR_HISTORICAL_REDIRECT,PRESERVED
e0_cgn_account2015_bid1192_fondyf_trace_v178,https://www.economia.gob.ar/hacienda/cgn/cuenta/2015/archivos/sep.pdf,DIRECT_OFFICIAL_TLS_OR_HISTORICAL_REDIRECT,PRESERVED
e0_cgn_account2016_bid1192_fondyf_trace_v178,https://www.economia.gob.ar/hacienda/cgn/cuenta/2016/archivos/sep.pdf,DIRECT_OFFICIAL_TLS_OR_HISTORICAL_REDIRECT,PRESERVED
e0_norm_res148_2005_mypesii_addendum_v178,https://www.argentina.gob.ar/normativa/nacional/norma-104640/texto,DIRECT_OFFICIAL_TLS_OR_HISTORICAL_REDIRECT,PRESERVED
e0_norm_res967_2006_mypesii_trust_v178,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-967-2006-122923/texto,DIRECT_OFFICIAL_TLS_OR_HISTORICAL_REDIRECT,PRESERVED
e0_norm_decree1273_2012_fondyf_v178,https://www.argentina.gob.ar/normativa/nacional/decreto-1273-2012-200358/actualizacion,DIRECT_OFFICIAL_TLS_OR_HISTORICAL_REDIRECT,PRESERVED
e0_norm_res206_2012_fondyf_collaboration_v178,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-206-2012-203435/texto,DIRECT_OFFICIAL_TLS_OR_HISTORICAL_REDIRECT,PRESERVED
e0_norm_res48_2013_fondyf_bna_admin_v178,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-48-2013-211614/texto,DIRECT_OFFICIAL_TLS_OR_HISTORICAL_REDIRECT,PRESERVED
e0_norm_res4_2016_fondyf_assignment_v178,https://www.argentina.gob.ar/normativa/nacional/norma-258979/texto,DIRECT_OFFICIAL_TLS_OR_HISTORICAL_REDIRECT,PRESERVED
e0_norm_decree400_2019_fondyf_reform_v178,https://www.argentina.gob.ar/normativa/nacional/decreto-400-2019-323888/texto,DIRECT_OFFICIAL_TLS_OR_HISTORICAL_REDIRECT,PRESERVED
