indicador,valor,unidad,calidad,fuente,advertencia
Ingreso del 20% superior,50.1,% del ingreso corriente,medición oficial,INDEC ingresos 2026-T1,No mide riqueza
Ingreso del 40% inferior,14.5,% del ingreso corriente,medición oficial,INDEC ingresos 2026-T1,No mide riqueza
Hogares con alguna estrategia extraordinaria,71.778,% de hogares,estimación EPH auditada,EPH 2026-T1,No equivale a falta de ahorro
Proxy hogares sólo con recursos corrientes,24.534,% de hogares,proxy EPH,EPH 2026-T1,No es una medición de excedente invertible
Depósitos privados en dólares,40.3,USD miles de millones,dato oficial comunicado,Ministerio de Economía 2026-08-13,Stock bancario
Préstamos privados en dólares,24.6,USD miles de millones,dato oficial comunicado,Ministerio de Economía 2026-08-13,Crédito vigente
Préstamos / depósitos privados en dólares,61,%,ratio oficial comunicado,Ministerio de Economía 2026-08-13,Cercano al 65% histórico prudente; por debajo del 75% regulatorio
Margen aproximado hasta referencia prudente de 65%,1.595,USD miles de millones,cálculo derivado con stocks redondeados,Ministerio de Economía 2026-08-13,No equivale a crédito demandado o aprobado
Capacidad crediticia adicional al ratio teórico de 75%,5.8,USD miles de millones,cálculo oficial aproximado,Ministerio de Economía 2026-08-13,Capacidad no usada; no implica demanda solvente
Crédito USD en producción primaria e industria,73.7214,% del stock por actividad,cálculo sobre planilla oficial,BCRA act2026.xls · 2026-T2,Actividad principal del deudor; no destino final
Nuevas operaciones USD a otras personas jurídicas,74.5857,% del flujo bruto mensual,cálculo sobre planilla oficial,BCRA preser_mon.xls · 2026-07,Categoría complementaria a PyMEs; no identifica grandes empresas una a una
Moneda y depósitos de otros sectores en el exterior,259.305,USD miles de millones,estadística oficial agregada,INDEC PII 2026-T1,"Incluye hogares, empresas e ISFLSH; no es sólo colchón"
