control_id,source_id,local_path,pdf_page,rendered_check,result
PV144_01,e0_tgn_manual_system_treasury_v1,/research/ciclo_ajuste/inputs/historical_retrieval/v137/binaries/tgn_manual_sistema_tesoreria_v1.pdf,64,cuenta 230 Débitos Automáticos; catálogo de cuentas y ecuaciones,PASS
PV144_02,e0_tgn_manual_system_treasury_v1,/research/ciclo_ajuste/inputs/historical_retrieval/v137/binaries/tgn_manual_sistema_tesoreria_v1.pdf,65,"eventos, reconstrucción de impactos y auditor diario",PASS
PV144_03,e0_tgn_manual_system_treasury_v1,/research/ciclo_ajuste/inputs/historical_retrieval/v137/binaries/tgn_manual_sistema_tesoreria_v1.pdf,67,tabla de 28 códigos; AUTO/PAGO/PGTR/rechazos,PASS
PV144_04,e0_tgn_manual_system_treasury_v1,/research/ciclo_ajuste/inputs/historical_retrieval/v137/binaries/tgn_manual_sistema_tesoreria_v1.pdf,68,referencia unívoca bancaria por operación,PASS
PV144_05,e0_tgn_manual_system_treasury_v1,/research/ciclo_ajuste/inputs/historical_retrieval/v137/binaries/tgn_manual_sistema_tesoreria_v1.pdf,112,débito automático BNA; gastos bancarios; formulario de regularización,PASS
PV144_06,e0_tgn_manual_system_treasury_v1,/research/ciclo_ajuste/inputs/historical_retrieval/v137/binaries/tgn_manual_sistema_tesoreria_v1.pdf,140,"mapeo código externo/interno, validación, reversa e historial",PASS
PV144_07,e0_tgn_manual_system_treasury_v1,/research/ciclo_ajuste/inputs/historical_retrieval/v137/binaries/tgn_manual_sistema_tesoreria_v1.pdf,141,campos de extracto y estados T/P/N,PASS
PV144_08,e0_tgn_manual_system_treasury_v1,/research/ciclo_ajuste/inputs/historical_retrieval/v137/binaries/tgn_manual_sistema_tesoreria_v1.pdf,147,grupos LIB/APL y comisiones bancarias automáticas,PASS
PV144_09,e0_tgn_manual_system_treasury_v1,/research/ciclo_ajuste/inputs/historical_retrieval/v137/binaries/tgn_manual_sistema_tesoreria_v1.pdf,148,formulario SIDIF de gasto y C-55/CRG de regularización,PASS
PV144_10,e0_tgn_treasury_system_v3_2022_cut_extract,/research/ciclo_ajuste/inputs/historical_retrieval/v141/binaries/argentina_tgn_treasury_system_v3_2022.pdf,61,cuenta 230 Débitos extracto bancario y definición estable,PASS
PV144_11,e0_tgn_treasury_system_v3_2022_cut_extract,/research/ciclo_ajuste/inputs/historical_retrieval/v141/binaries/argentina_tgn_treasury_system_v3_2022.pdf,62,cuentas 511/530/640/710/810 y ecuaciones,PASS
PV144_12,e0_tgn_treasury_system_v3_2022_cut_extract,/research/ciclo_ajuste/inputs/historical_retrieval/v141/binaries/argentina_tgn_treasury_system_v3_2022.pdf,64,DBAUTO/CRAUTO y tabla de códigos v3 parte 1,PASS
PV144_13,e0_tgn_treasury_system_v3_2022_cut_extract,/research/ciclo_ajuste/inputs/historical_retrieval/v141/binaries/argentina_tgn_treasury_system_v3_2022.pdf,65,tabla de códigos v3 parte 2 y referencia unívoca,PASS
PV144_14,e0_dgsiaf_slu_system_description_v3,/research/ciclo_ajuste/inputs/historical_retrieval/v139/binaries/argentina_slu_system_description_v3.pdf,72,comisiones bancarias pueden registrar compromiso y devengado simultáneamente,PASS
PV144_15,e0_dgsiaf_slu_system_description_v3,/research/ciclo_ajuste/inputs/historical_retrieval/v139/binaries/argentina_slu_system_description_v3.pdf,108,todo movimiento del medio de pago entra al extracto interno/Libro Banco,PASS
PV144_16,e0_dgsiaf_slu_system_description_v3,/research/ciclo_ajuste/inputs/historical_retrieval/v139/binaries/argentina_slu_system_description_v3.pdf,109,deuda pública sin comisión; carta de crédito y transferencia exterior con gastos/comisiones,PASS
PV144_17,e0_dgsiaf_slu_system_description_v3,/research/ciclo_ajuste/inputs/historical_retrieval/v139/binaries/argentina_slu_system_description_v3.pdf,111,"anulación, contraasiento y rechazo bancario",PASS
PV144_18,e0_dgsiaf_slu_system_description_v3,/research/ciclo_ajuste/inputs/historical_retrieval/v139/binaries/argentina_slu_system_description_v3.pdf,113,conciliación compara extracto externo con interno/Libro Banco,PASS
PV144_19,e0_dgsiaf_slu_system_description_v3,/research/ciclo_ajuste/inputs/historical_retrieval/v139/binaries/argentina_slu_system_description_v3.pdf,114,comisiones como registro interno y conciliación automática diferenciada,PASS
PV144_20,e0_dgsiaf_slu_system_description_v3,/research/ciclo_ajuste/inputs/historical_retrieval/v139/binaries/argentina_slu_system_description_v3.pdf,115,"cuadro de pagos, rechazos, recursos y débitos/créditos automáticos",PASS
PV144_21,e0_dgsiaf_slu_system_description_v3,/research/ciclo_ajuste/inputs/historical_retrieval/v139/binaries/argentina_slu_system_description_v3.pdf,116,regularización manual sólo después del proceso automático,PASS
PV144_22,e0_dgsiaf_slu_reconciliation_workshop_2017_historical_screens,/research/ciclo_ajuste/inputs/historical_retrieval/v144/binaries/dgsiaf_slu_taller_conciliacion_2017.pdf,1,portada Taller de Conciliación Bancaria SLU,PASS
PV144_23,e0_dgsiaf_slu_reconciliation_workshop_2017_historical_screens,/research/ciclo_ajuste/inputs/historical_retrieval/v144/binaries/dgsiaf_slu_taller_conciliacion_2017.pdf,2,relación gasto→C55 y recurso→C10,PASS
PV144_24,e0_dgsiaf_slu_reconciliation_workshop_2017_historical_screens,/research/ciclo_ajuste/inputs/historical_retrieval/v144/binaries/dgsiaf_slu_taller_conciliacion_2017.pdf,3,SLU v9.0 fechado 26/11/2008; ejercicio 2008; BNA; ejemplo CUM023,PASS
PV144_25,e0_dgsiaf_slu_reconciliation_workshop_2017_historical_screens,/research/ciclo_ajuste/inputs/historical_retrieval/v144/binaries/dgsiaf_slu_taller_conciliacion_2017.pdf,4,pantalla de parametrización/conciliación,PASS
PV144_26,e0_dgsiaf_slu_reconciliation_workshop_2017_historical_screens,/research/ciclo_ajuste/inputs/historical_retrieval/v144/binaries/dgsiaf_slu_taller_conciliacion_2017.pdf,5,SLU v9.0 fechado 04/12/2006 y menú de tablas de conciliación,PASS
PV144_27,e0_dgsiaf_slu_reconciliation_workshop_2017_historical_screens,/research/ciclo_ajuste/inputs/historical_retrieval/v144/binaries/dgsiaf_slu_taller_conciliacion_2017.pdf,6,control visual completo del PDF,PASS
