trace_id,request_id,institution,gap_id,requested_record,period_or_date,identifiers,minimum_usable_fields,confidentiality_fallback,status
TR133_001,REQ133_ECON,Ministerio de Economía / Tesoro,CL133_SETTLEMENT_2008,Expediente e índice de cada ronda,2008-08-27/2008-10-07,R1-R4; cuatro fechas T+3,carátula; número; índice; área,metadatos sin contenido exceptuado,DRAFT_NOT_SENT
TR133_002,REQ133_ECON,Ministerio de Economía / Tesoro,CL133_SETTLEMENT_2008,Informe Caja de títulos recibidos,2008-09-01/2008-10-06,0306/40000; cuatro ISIN,fecha; especie; nominal; estado,copia testada o agregado por especie,DRAFT_NOT_SENT
TR133_003,REQ133_ECON,Ministerio de Economía / Tesoro,CL133_SETTLEMENT_2008,Orden o constancia de pago,2008-09-02/2008-10-07,cuatro fechas T+3,fecha; importe; moneda; estado; identificador,sin cuenta ni contraparte,DRAFT_NOT_SENT
TR133_004,REQ133_ECON,Ministerio de Economía / Tesoro,CL133_SETTLEMENT_2008,Conciliación resultado-entrega-pago-deuda,2008,R1-R4,ronda; adjudicado; recibido; pagado; diferencia,agregado por ronda,DRAFT_NOT_SENT
TR133_005,REQ133_ECON,Ministerio de Economía / Tesoro,CL133_STRIP_2009,Expediente e índice del strip,2009-06-10/2009-06-18,ARARGE03G415,número; índice; área; documentos,metadatos,DRAFT_NOT_SENT
TR133_006,REQ133_ECON,Ministerio de Economía / Tesoro,CL133_STRIP_2009,Constancia de entrega y pago del strip,2009-06-17/2009-06-18,0306/40000; ARARGE03G415,fecha; nominal; efectivo; estado,agregado sin participantes,DRAFT_NOT_SENT
TR133_007,REQ133_ECON,Ministerio de Economía / Tesoro,CL133_BNA_FIRST_STAGE,Mandato y expediente BNA,2008-08-11/2008-08-22,primera etapa,acto; anexos; índice; rendición,copia testada,DRAFT_NOT_SENT
TR133_008,REQ133_ECON,Ministerio de Economía / Tesoro,CL133_SETTLEMENT_2008,Tabla de conservación o expurgo,2008-2009,expedientes de recompra,regla; acto; fecha; destino,N/A,DRAFT_NOT_SENT
TR133_009,REQ133_BCRA,BCRA / CRyL,CL133_SETTLEMENT_2008,Mensajes o asientos CRyL,2008-09-01/2008-10-07,0306/40000; cuatro ISIN,fecha; especie; nominal; estado; identificador,disociación de cuentas y terceros,DRAFT_NOT_SENT
TR133_010,REQ133_BCRA,BCRA / CRyL,CL133_SETTLEMENT_2008,Débitos créditos u órdenes de liquidación,2008-09-02/2008-10-07,cuatro fechas T+3,fecha; monto; moneda; estado,agregado por fecha sin cuenta,DRAFT_NOT_SENT
TR133_011,REQ133_BCRA,BCRA / CRyL,CL133_SETTLEMENT_2008,Operaciones fallidas reversadas o tardías,2008,R1-R4,fecha; especie; estado; motivo general,sin contraparte,DRAFT_NOT_SENT
TR133_012,REQ133_BCRA,BCRA / CRyL,CL133_STRIP_2009,Registro CRyL y pago strip,2009-06-17/2009-06-18,ARARGE03G415,fecha; nominal; efectivo; estado,agregado sin cuentas,DRAFT_NOT_SENT
TR133_013,REQ133_BCRA,BCRA / CRyL,CL133_CUSTODY_HOLDINGS,Agregados existentes de tenencias públicas,2008-2013,CRyL; especies de deuda pública,corte; especie; sector institucional; monto,mayor agregación compatible con secreto,DRAFT_NOT_SENT
TR133_014,REQ133_BCRA,BCRA / CRyL,CL133_CUSTODY_HOLDINGS,Comunicaciones con DMO AGN CNV Caja,2009-2014,pedido de tenencias/conciliaciones,fecha; remitente; destinatario; asunto; expediente,copia testada,DRAFT_NOT_SENT
TR133_015,REQ133_BCRA,BCRA / CRyL,CL133_CUSTODY_HOLDINGS,Tabla de conservación o expurgo,2008-2014,registros CRyL y pagos,regla; acto; fecha; destino,N/A,DRAFT_NOT_SENT
TR133_016,REQ133_BNA,Banco de la Nación Argentina,CL133_BNA_FIRST_STAGE,Mandato convenio o instrucción,2008-08-11,primera etapa,acto; fecha; alcance; anexos,copia testada,DRAFT_NOT_SENT
TR133_017,REQ133_BNA,Banco de la Nación Argentina,CL133_BNA_FIRST_STAGE,Blotter libro de órdenes tickets,2008-08-11/2008-08-22,BODEN; BONAR V; PRE8; GDP ARS,fecha; especie; nominal; precio; efectivo; estado,sin cuenta ni contraparte,DRAFT_NOT_SENT
TR133_018,REQ133_BNA,Banco de la Nación Argentina,CL133_BNA_FIRST_STAGE,Confirmaciones y liquidaciones,2008-08-11/2008-08-22,órdenes ejecutadas,fecha; mercado; estado; importe,agregado por especie y fecha,DRAFT_NOT_SENT
TR133_019,REQ133_BNA,Banco de la Nación Argentina,CL133_BNA_FIRST_STAGE,Órdenes canceladas parciales o fallidas,2008-08-11/2008-08-22,primera etapa,fecha; especie; estado; motivo general,sin contraparte,DRAFT_NOT_SENT
TR133_020,REQ133_BNA,Banco de la Nación Argentina,CL133_BNA_FIRST_STAGE,Rendición final al Tesoro,2008,aprox USD 380m,composición por especie; importes; conciliación,versión testada,DRAFT_NOT_SENT
TR133_021,REQ133_BNA,Banco de la Nación Argentina,CL133_BNA_FIRST_STAGE,Tabla de conservación o expurgo,2008,registros de mesa,regla; acto; fecha; destino,N/A,DRAFT_NOT_SENT
TR133_022,REQ133_AGN,Auditoría General de la Nación,CL133_AGN_REPLY,Respuesta individual y adjuntos,2018-09-11,UUID 2074c3d9-a535-497e-a97d-d74340ff49fb,contenido; adjuntos; fecha; identificadores,testar datos del solicitante,DRAFT_NOT_SENT
TR133_023,REQ133_AGN,Auditoría General de la Nación,CL133_AGN_REPLY,Expediente e índice,2018-08-14/2018-09-11,nid 18814; vid 18821,número; índice; metadatos de envío,testar identidad,DRAFT_NOT_SENT
TR133_024,REQ133_AGN,Auditoría General de la Nación,CL133_AGN_REPLY,Índice de informes identificados,2006-2011,BODEN 2006/2012/2013,número; título; actuación; fecha; URL,N/A,DRAFT_NOT_SENT
TR133_025,REQ133_AGN,Auditoría General de la Nación,CL133_AGN_REPLY,Metadatos de migración o baja,2018-2026,nodo y adjuntos,ubicación; transferencia; retención; acto,N/A,DRAFT_NOT_SENT
TR133_026,REQ133_CNV,Comisión Nacional de Valores,CL133_CUSTODY_HOLDINGS,Nota Caja y actuación AGN/CNV,2014-11-19,nota sin número citada por AGN,copia; ingreso; expediente; anexos,copia testada,DRAFT_NOT_SENT
TR133_027,REQ133_CNV,Comisión Nacional de Valores,CL133_CUSTODY_HOLDINGS,Pedido y respuesta a AGN,2014,Resolución AGN 41/2016,fecha; expediente; contenido; derivaciones,copia testada,DRAFT_NOT_SENT
TR133_028,REQ133_CNV,Comisión Nacional de Valores,CL133_CUSTODY_HOLDINGS,Requerimientos CNV a Caja y respuestas,2009-2014,tenencias sector público,corte; especie; sector; estado,agregado sin subcuentas,DRAFT_NOT_SENT
TR133_029,REQ133_CNV,Comisión Nacional de Valores,CL133_SETTLEMENT_2008,Reportes de liquidación Caja existentes,2008,0306/40000; cuatro T+3,fecha; especie; nominal; estado,agregado/testado,DRAFT_NOT_SENT
TR133_030,REQ133_CNV,Comisión Nacional de Valores,CL133_STRIP_2009,Reporte de liquidación strip existente,2009-06-17/2009-06-18,ARARGE03G415,fecha; nominal; efectivo; estado,agregado/testado,DRAFT_NOT_SENT
TR133_031,REQ133_CAJA,Caja de Valores S.A.,CL133_CAJA_ROUTE,Constancias de recepción 0306/40000,2008-2009,cinco eventos,fecha; especie; nominal; estado,certificación agregada,DRAFT_NOT_SENT
TR133_032,REQ133_CAJA,Caja de Valores S.A.,CL133_CAJA_ROUTE,Transferencias rechazadas parciales o tardías,2008-2009,0306/40000,fecha; especie; estado,agregado sin depositante,DRAFT_NOT_SENT
TR133_033,REQ133_CAJA,Caja de Valores S.A.,CL133_CAJA_ROUTE,Identificadores de informes a organismos,2008-2014,Tesoro; BCRA; MAE; CNV; AGN,fecha; destinatario; número; área,metadatos,DRAFT_NOT_SENT
TR133_034,REQ133_CAJA,Caja de Valores S.A.,CL133_CAJA_ROUTE,Retención destino o ruta competente,2008-2014,registros históricos,regla; destino; área; requisitos,N/A,DRAFT_NOT_SENT
TR133_035,REQ133_ECON,Ministerio de Economía / Tesoro,CL133_SETTLEMENT_2008,Identificadores heredados y traza de migración,2008-2009,COMDOC; papel; GDE/GEDO/RUDO,número original; área; origen; destino; repositorio,metadatos sin contenido exceptuado,DRAFT_NOT_SENT
TR133_036,REQ133_ECON,Ministerio de Economía / Tesoro,CL133_STRIP_2009,Inventario y acto concreto de disposición,2009-2026,serie expedientes de recompra,serie; regla; remito; acto; fecha; alcance,N/A,DRAFT_NOT_SENT
TR133_037,REQ133_BCRA,BCRA / CRyL,CL133_SETTLEMENT_2008,Sistemas operativos y referencias de migración,2008-2009,CRyL; mensajería; liquidación,sistema; transacción; expediente; origen; destino,metadatos disociados,DRAFT_NOT_SENT
TR133_038,REQ133_BCRA,BCRA / CRyL,CL133_CUSTODY_HOLDINGS,Custodia archivística y disposición concreta,2008-2026,registros CRyL,área; serie; regla; inventario; acto; fecha,N/A,DRAFT_NOT_SENT
TR133_039,REQ133_BNA,Banco de la Nación Argentina,CL133_BNA_FIRST_STAGE,Reproducciones autenticadas y registro de soporte,2008-2026,blotter; órdenes; tickets,soporte; acta apertura/cierre; asiento; copia,sin cuentas ni contrapartes,DRAFT_NOT_SENT
TR133_040,REQ133_BNA,Banco de la Nación Argentina,CL133_BNA_FIRST_STAGE,Sistema heredado migración y disposición,2008-2026,registros anteriores a GDE,sistema; área; origen; destino; acto; fecha,N/A,DRAFT_NOT_SENT
TR133_041,REQ133_AGN,Auditoría General de la Nación,CL133_AGN_REPLY,Búsqueda multirrepositorio de respuesta y adjuntos,2018-2026,UUID; nid 18814; vid 18821,base; clave; adjunto; correo; backup; migración,testar identidad,DRAFT_NOT_SENT
TR133_042,REQ133_AGN,Auditoría General de la Nación,CL133_AGN_REPLY,Regla de serie y acto concreto de disposición,2018-2026,respuesta individual AIP,serie; regla; acto; fecha; alcance,N/A,DRAFT_NOT_SENT
TR133_043,REQ133_CNV,Comisión Nacional de Valores,CL133_CUSTODY_HOLDINGS,Identificador original y referencia de migración,2014-2026,nota Caja 19/11/2014; actuación AGN,sistema; número; índice; origen; destino,metadatos/testado,DRAFT_NOT_SENT
TR133_044,REQ133_CNV,Comisión Nacional de Valores,CL133_CUSTODY_HOLDINGS,Regla histórica y disposición concreta,2008-2026,series de supervisión y custodia,serie; regla histórica; inventario; acto; fecha,N/A,DRAFT_NOT_SENT
TR133_045,REQ133_CAJA,Caja de Valores S.A.,CL133_CAJA_ROUTE,Sistema soporte migración o reproducción,2008-2026,0306/40000; cinco eventos,sistema; libro; soporte; área; origen; destino,certificación agregada,DRAFT_NOT_SENT
TR133_046,REQ133_CAJA,Caja de Valores S.A.,CL133_CAJA_ROUTE,Regla histórica y disposición concreta,2008-2026,registros de depósito colectivo,serie; regla; inventario; acto; fecha; destino,N/A,DRAFT_NOT_SENT
TR133_047,REQ133_ECON,Ministerio de Economía / Tesoro,CL133_SETTLEMENT_2008,Asientos COMDOC III o sistema heredado equivalente,2008-2009,fechas; cuenta; ISIN,número; fecha; asunto; área; cruce,metadatos sin contenido exceptuado,DRAFT_NOT_SENT
TR133_048,REQ133_ECON,Ministerio de Economía / Tesoro,CL133_SETTLEMENT_2008,Código y asiento SIGADE,2008-2009,cuatro rondas; strip,código; fecha; especie; nominal; importe; estado,agregado por evento,DRAFT_NOT_SENT
TR133_049,REQ133_ECON,Ministerio de Economía / Tesoro,CL133_SETTLEMENT_2008,Archivo TSA y constancia Caja,2008-09/2008-10,TSA; VPN; 0306/40000,lote; emisor; receptor; fecha; aceptación/rechazo,sin datos nominativos,DRAFT_NOT_SENT
