date,itcrm
1997-01-01,86.34800114
1997-01-02,86.33310193
1997-01-03,86.05612464
1997-01-04,86.06220422
1997-01-05,86.06828424
1997-01-06,85.94068614
1997-01-07,86.02457597
1997-01-08,85.85939013
1997-01-09,85.81074898
1997-01-10,85.69445265
1997-01-11,85.70050668
1997-01-12,85.70656114
1997-01-13,85.59443617
1997-01-14,85.51689261
1997-01-15,85.57790145
1997-01-16,85.53970346
1997-01-17,85.22271436
1997-01-18,85.22873507
1997-01-19,85.23475620
1997-01-20,85.02233477
1997-01-21,85.06093184
1997-01-22,84.77200067
1997-01-23,84.70700836
1997-01-24,84.92235559
1997-01-25,84.92835508
1997-01-26,84.93435499
1997-01-27,84.77533231
1997-01-28,84.46829443
1997-01-29,84.54793069
1997-01-30,84.61684152
1997-01-31,84.61809443
1997-02-01,84.62134254
1997-02-02,84.62459078
1997-02-03,84.53593773
1997-02-04,84.53990075
1997-02-05,84.44503741
1997-02-06,84.44019596
1997-02-07,84.09987294
1997-02-08,84.10310116
1997-02-09,84.10632951
1997-02-10,84.36588071
1997-02-11,84.16607110
1997-02-12,83.97742176
1997-02-13,83.83812549
1997-02-14,83.83254306
1997-02-15,83.83576103
1997-02-16,83.83897911
1997-02-17,83.64292540
1997-02-18,83.69215795
1997-02-19,83.64055243
1997-02-20,83.77602690
1997-02-21,83.86588177
1997-02-22,83.86910101
1997-02-23,83.87232038
1997-02-24,84.11721448
1997-02-25,84.00796202
1997-02-26,83.79077767
1997-02-27,83.78989425
1997-02-28,83.73302493
1997-03-01,83.75447628
1997-03-02,83.77593312
1997-03-03,83.67468874
1997-03-04,83.46948408
1997-03-05,83.42484241
1997-03-06,83.36760790
1997-03-07,83.37191452
1997-03-08,83.39333854
1997-03-09,83.41476806
1997-03-10,83.65200435
1997-03-11,83.61552962
1997-03-12,83.66112732
1997-03-13,83.66614722
1997-03-14,83.69795801
1997-03-15,83.71946581
1997-03-16,83.74097914
1997-03-17,83.73715060
1997-03-18,83.91247258
1997-03-19,83.92411552
1997-03-20,83.83070363
1997-03-21,83.90418499
1997-03-22,83.92574578
1997-03-23,83.94731211
1997-03-24,83.91101619
1997-03-25,83.89005912
1997-03-26,83.92940206
1997-03-27,84.23707507
1997-03-28,84.27484737
1997-03-29,84.29650342
1997-03-30,84.31816502
1997-03-31,84.41372983
1997-04-01,84.46888725
1997-04-02,84.49074677
1997-04-03,84.57241781
1997-04-04,84.45232571
1997-04-05,84.47270378
1997-04-06,84.49308678
1997-04-07,83.98759378
1997-04-08,83.97170492
1997-04-09,83.84505249
1997-04-10,83.87927832
1997-04-11,83.81056385
1997-04-12,83.83078708
1997-04-13,83.85101518
1997-04-14,83.88594547
1997-04-15,83.75176542
1997-04-16,83.82058854
1997-04-17,83.87724006
1997-04-18,84.01976354
1997-04-19,84.04003724
1997-04-20,84.06031584
1997-04-21,84.22767952
1997-04-22,84.08478057
1997-04-23,84.07557136
1997-04-24,84.04988550
1997-04-25,83.94589704
1997-04-26,83.96615292
1997-04-27,83.98641369
1997-04-28,83.95150074
1997-04-29,83.99495751
1997-04-30,83.89582097
1997-05-01,84.08610537
1997-05-02,83.95426209
1997-05-03,83.96413467
1997-05-04,83.97400841
1997-05-05,83.93947850
1997-05-06,84.11106245
1997-05-07,84.17703596
1997-05-08,84.34762298
1997-05-09,84.56766492
1997-05-10,84.57760963
1997-05-11,84.58755551
1997-05-12,84.53332779
1997-05-13,84.59413296
1997-05-14,84.59468767
1997-05-15,84.67277215
1997-05-16,84.78170649
1997-05-17,84.79167637
1997-05-18,84.80164743
1997-05-19,84.63206529
1997-05-20,84.84598799
1997-05-21,84.83339884
1997-05-22,84.79468903
1997-05-23,84.80063626
1997-05-24,84.81060837
1997-05-25,84.82058165
1997-05-26,84.78313666
1997-05-27,84.58100192
1997-05-28,84.64256333
1997-05-29,84.60774412
1997-05-30,84.54803350
1997-05-31,84.55797591
1997-06-01,84.56037200
1997-06-02,84.32392566
1997-06-03,84.33065809
1997-06-04,84.24292426
1997-06-05,84.24367473
1997-06-06,84.21684252
1997-06-07,84.21922895
1997-06-08,84.22161544
1997-06-09,84.54922645
1997-06-10,84.43838472
1997-06-11,84.51107212
1997-06-12,84.34602051
1997-06-13,84.13812036
1997-06-14,84.14050455
1997-06-15,84.14288882
1997-06-16,84.31623350
1997-06-17,84.25159955
1997-06-18,84.33284992
1997-06-19,84.36069261
1997-06-20,84.18500728
1997-06-21,84.18739281
1997-06-22,84.18977841
1997-06-23,84.34588370
1997-06-24,84.35511625
1997-06-25,84.38806598
1997-06-26,84.32482201
1997-06-27,84.24410537
1997-06-28,84.24649257
1997-06-29,84.24887984
1997-06-30,84.12860268
1997-07-01,84.15505196
1997-07-02,83.99219849
1997-07-03,84.07109504
1997-07-04,83.98825624
1997-07-05,83.98772771
1997-07-06,83.98719919
1997-07-07,84.14081143
1997-07-08,83.93104471
1997-07-09,83.83365989
1997-07-10,83.97946038
1997-07-11,83.76213623
1997-07-12,83.76160913
1997-07-13,83.76108202
1997-07-14,83.44242426
1997-07-15,83.25038289
1997-07-16,83.24651646
1997-07-17,83.32434201
1997-07-18,83.32589988
1997-07-19,83.32537552
1997-07-20,83.32485117
1997-07-21,83.26672219
1997-07-22,83.06897326
1997-07-23,82.85640897
1997-07-24,82.79930321
1997-07-25,82.67906235
1997-07-26,82.67854206
1997-07-27,82.67802178
1997-07-28,82.51523115
1997-07-29,82.66994142
1997-07-30,82.57372414
1997-07-31,82.55905969
1997-08-01,82.29628214
1997-08-02,82.29728592
1997-08-03,82.29828972
1997-08-04,82.18403982
1997-08-05,81.96023633
1997-08-06,81.98556008
1997-08-07,81.98633910
1997-08-08,82.28790194
1997-08-09,82.28890563
1997-08-10,82.28990933
1997-08-11,82.29602669
1997-08-12,82.15830023
1997-08-13,82.55421488
1997-08-14,82.32537892
1997-08-15,82.70590588
1997-08-16,82.70691466
1997-08-17,82.70792346
1997-08-18,82.61775490
1997-08-19,82.40231335
1997-08-20,82.14502711
1997-08-21,82.32496943
1997-08-22,82.58129947
1997-08-23,82.58230673
1997-08-24,82.58331401
1997-08-25,82.52373892
1997-08-26,82.78194252
1997-08-27,82.66300825
1997-08-28,82.87955564
1997-08-29,82.77847599
1997-08-30,82.77948566
1997-08-31,82.78049534
1997-09-01,82.63987079
1997-09-02,82.32901306
1997-09-03,82.49793963
1997-09-04,82.51540796
1997-09-05,82.64038977
1997-09-06,82.64654354
1997-09-07,82.65269777
1997-09-08,82.66383258
1997-09-09,82.73438281
1997-09-10,82.82770534
1997-09-11,82.94388349
1997-09-12,83.22415339
1997-09-13,83.23035063
1997-09-14,83.23654834
1997-09-15,83.35451610
1997-09-16,83.26251271
1997-09-17,83.26451542
1997-09-18,83.22169372
1997-09-19,83.22618386
1997-09-20,83.23238126
1997-09-21,83.23857912
1997-09-22,82.92216629
1997-09-23,82.91164949
1997-09-24,83.23887327
1997-09-25,83.31113675
1997-09-26,83.30314699
1997-09-27,83.30935012
1997-09-28,83.31555371
1997-09-29,83.39807905
1997-09-30,83.34041971
1997-10-01,83.19034377
1997-10-02,83.30950566
1997-10-03,83.35158861
1997-10-04,83.35985514
1997-10-05,83.36812249
1997-10-06,83.36873052
1997-10-07,83.48647527
1997-10-08,83.52155110
1997-10-09,83.69926420
1997-10-10,83.56268443
1997-10-11,83.57097189
1997-10-12,83.57926018
1997-10-13,83.58437874
1997-10-14,83.52579625
1997-10-15,83.59369734
1997-10-16,83.70928422
1997-10-17,83.38740468
1997-10-18,83.39567477
1997-10-19,83.40394567
1997-10-20,83.37604013
1997-10-21,83.24179531
1997-10-22,83.26662442
1997-10-23,83.32392175
1997-10-24,83.27742756
1997-10-25,83.28568674
1997-10-26,83.29394673
1997-10-27,83.40323767
1997-10-28,83.80739778
1997-10-29,83.74230729
1997-10-30,83.79677664
1997-10-31,83.88971562
1997-11-01,83.89951593
1997-11-02,83.90931739
1997-11-03,83.78311374
1997-11-04,83.93781507
1997-11-05,83.91974193
1997-11-06,83.82604625
1997-11-07,83.98328004
1997-11-08,83.99309129
1997-11-09,84.00290368
1997-11-10,84.00956217
1997-11-11,84.02911690
1997-11-12,83.78367950
1997-11-13,83.74958220
1997-11-14,83.61079810
1997-11-15,83.62056584
1997-11-16,83.63033471
1997-11-17,83.70077213
1997-11-18,83.78267314
1997-11-19,83.60857956
1997-11-20,83.65750431
1997-11-21,83.42145707
1997-11-22,83.43120268
1997-11-23,83.44094943
1997-11-24,83.61062645
1997-11-25,83.48742191
1997-11-26,83.27635316
1997-11-27,83.22978579
1997-11-28,83.24799864
1997-11-29,83.25772398
1997-11-30,83.26745047
1997-12-01,82.97813083
1997-12-02,83.02849115
1997-12-03,83.11168678
1997-12-04,83.05755001
1997-12-05,82.88403953
1997-12-06,82.88736529
1997-12-07,82.89069119
1997-12-08,82.89401722
1997-12-09,82.68291315
1997-12-10,82.83942460
1997-12-11,82.94175525
1997-12-12,82.93020361
1997-12-13,82.93353123
1997-12-14,82.93685898
1997-12-15,82.92944408
1997-12-16,82.72462374
1997-12-17,82.98252416
1997-12-18,82.99705213
1997-12-19,82.99883385
1997-12-20,83.00216423
1997-12-21,83.00549473
1997-12-22,82.84261165
1997-12-23,82.90528816
1997-12-24,82.91082691
1997-12-25,82.91415375
1997-12-26,82.91786889
