dependent,explanatory,lag_months,correlation,n,sample
ipc_mensual,depreciacion_tc_mayorista,0,0.517283,103,2018-01/2026-07
ipc_mensual,depreciacion_tc_mayorista,1,0.466253,102,2018-01/2026-07
ipc_mensual,depreciacion_tc_mayorista,2,0.231596,101,2018-01/2026-07
ipc_mensual,depreciacion_tc_mayorista,3,0.207018,100,2018-01/2026-07
ipc_mensual,depreciacion_tc_mayorista,4,0.259507,99,2018-01/2026-07
ipc_mensual,depreciacion_tc_mayorista,5,0.134377,98,2018-01/2026-07
ipc_mensual,depreciacion_tc_mayorista,6,0.114644,97,2018-01/2026-07
ipc_mensual,crecimiento_base_monetaria,0,0.185277,103,2018-01/2026-07
ipc_mensual,crecimiento_base_monetaria,1,0.215217,102,2018-01/2026-07
ipc_mensual,crecimiento_base_monetaria,2,0.154435,101,2018-01/2026-07
ipc_mensual,crecimiento_base_monetaria,3,0.145871,100,2018-01/2026-07
ipc_mensual,crecimiento_base_monetaria,4,0.061724,99,2018-01/2026-07
ipc_mensual,crecimiento_base_monetaria,5,0.022749,98,2018-01/2026-07
ipc_mensual,crecimiento_base_monetaria,6,-0.043811,97,2018-01/2026-07
ipc_mensual,crecimiento_m2_privado,0,0.380091,101,2018-01/2026-07
ipc_mensual,crecimiento_m2_privado,1,0.236726,101,2018-01/2026-07
ipc_mensual,crecimiento_m2_privado,2,0.202588,101,2018-01/2026-07
ipc_mensual,crecimiento_m2_privado,3,0.302225,100,2018-01/2026-07
ipc_mensual,crecimiento_m2_privado,4,0.224981,99,2018-01/2026-07
ipc_mensual,crecimiento_m2_privado,5,0.090696,98,2018-01/2026-07
ipc_mensual,crecimiento_m2_privado,6,0.120219,97,2018-01/2026-07
