id,institution,published_or_cutoff,topic,url,used_for,caveat
BCRA_API_V4,BCRA,2026-08-28 segun serie; consulta 2026-08-31,"Reservas, TC mayorista, base, M2, IPC y pasivos BCRA",https://api.bcra.gob.ar/estadisticas/v4.0/monetarias,series y snapshot,datos provisorios; cuentas ME publicadas en ARS se convierten al TC mayorista como aproximacion
BCRA_API_DOC,BCRA,version 4.0,Metodologia de API,https://www.bcra.gob.ar/archivos/Catalogo/Content/files/pdf/principales-variables-v4.pdf,"IDs, unidades y endpoints",la API no publica una serie oficial de reservas netas o liquidas
BCRA_ITCRM,BCRA,2026-08-28,ITCRM diario,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ITCRMSerie.xlsx,"nivel, medias historicas y percentil","indicador de competitividad-precio, no dolar de equilibrio; ultimos datos sujetos a revision"
BCRA_BALCAM_JUL26,BCRA,2026-08-28; datos julio 2026,Mercado de cambios y reservas,https://www.bcra.gob.ar/publicaciones/informe-de-evolucion-del-mercado-de-cambios-y-balance-cambiario-julio-de-2026/,flujo julio,lista del resumen no agota todas las variaciones; se explicita residual
BCRA_REPO_2026,BCRA,2026-07-03,REPO internacional,https://www.bcra.gob.ar/noticias/bcra-repo-renovacion-total-hasta-2028/,pasivo identificado USD 6.000 M,no se imputa mecanicamente a una definicion oficial de reservas netas
BCRA_SWAP_PBOC_2026,BCRA,2026-08-05,Swap China,https://www.bcra.gob.ar/noticias/el-banco-central-de-la-republica-argentina-y-el-banco-de-la-republica-popular-de-china-renuevan-su-acuerdo-de-swap-y-extienden-el-plazo-de-3-a-5-anos/,tramo activado USD 5.000 M y monto total RMB 130.000 M,no se convierte el tramo no activado a USD ni se fabrica una reserva propia
INDEC_BP_Q1_2026,INDEC,2026-06-24; I trimestre 2026,Balanza de pagos MBP6,https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-35-45,puente cuenta corriente,trimestral; no mezclar con el acumulado comercial enero-julio
INDEC_ICA_JUL26,INDEC,2026-08-20; enero-julio 2026,Comercio de bienes,https://www.indec.gob.ar/ftp/ica_digital/ica_d_08_26E158B1D119/,"exportaciones, importaciones, saldo y proxy energia",comercio devengado de bienes; no es cuenta corriente ni balance cambiario
INDEC_ETI_2025,INDEC,2026-01; ano 2025,Turismo internacional,https://www.indec.gob.ar/uploads/informesdeprensa/eti_01_26212234D387.pdf,gasto receptivo/emisivo en pasos relevados,cobertura ETI; no equivale a todo el rubro servicios de la balanza de pagos
BCRA_BALCAM_MAR26,BCRA,2026-04; marzo 2026,Viajes y pasajes cambiario,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/informes/informe-mercado-cambios-balance-cambiario-2026-03.pdf,saldo cambiario viajes y uso de fondos propios,"balance cambiario (caja), no balanza de pagos (devengado)"
