month,ipc_monthly_pct,fx_log_change_pct,base_log_change_pct,m2_private_log_change_pct
2018-01,1.800000,4.572097,-3.561170,-5.056412
2018-02,2.400000,2.326125,3.741406,0.324153
2018-03,2.300000,0.140592,-0.745203,-0.218137
2018-04,2.700000,2.686093,0.389607,-0.755961
2018-05,2.100000,18.704096,2.090059,-1.101241
2018-06,3.700000,14.574184,2.244755,8.172163
2018-07,3.100000,-5.407319,2.196501,-2.524970
2018-08,3.900000,30.584833,12.452260,1.653362
2018-09,6.500000,9.675878,3.367456,0.931065
2018-10,5.400000,-12.208142,-7.869778,-3.667738
2018-11,3.200000,4.918909,7.004529,2.104930
2018-12,2.600000,-0.562839,12.864728,14.281155
2019-01,2.900000,-2.066524,-4.068369,-5.772931
2019-02,3.800000,5.165464,3.649032,0.677741
2019-03,4.700000,10.586477,-3.743991,2.269770
2019-04,3.400000,1.503406,3.732444,2.098153
2019-05,3.100000,1.935254,-3.368260,2.021206
2019-06,2.700000,-5.548256,1.416509,7.319041
2019-07,2.200000,3.292561,-2.689271,-0.367573
2019-08,4.000000,29.759534,-3.272877,2.262920
2019-09,5.900000,-2.600948,1.063320,4.787500
2019-10,3.300000,3.698081,5.726905,-1.142526
2019-11,4.300000,0.228447,18.647549,5.788620
2019-12,3.700000,0.052940,12.562606,14.887792
2020-01,2.300000,0.725635,-10.358696,4.571327
2020-02,2.000000,3.063423,0.424117,2.307717
2020-03,3.300000,3.571174,28.938692,10.942950
2020-04,1.500000,3.603155,-20.505959,11.810216
2020-05,1.500000,2.511767,13.232695,5.402624
2020-06,2.200000,2.762964,1.546148,8.698562
2020-07,1.900000,2.605737,11.524863,3.026609
2020-08,2.700000,2.539559,-6.009919,-2.302367
2020-09,2.800000,2.660616,4.549890,0.088475
2020-10,3.800000,2.787564,-7.305387,3.202004
2020-11,3.200000,3.719646,0.099453,1.619163
2020-12,4.000000,3.443608,10.354454,9.010032
2021-01,4.000000,3.678949,0.446324,-2.486358
2021-02,3.600000,2.853234,-2.962225,-0.334371
2021-03,4.800000,2.376219,0.967086,2.467065
2021-04,4.100000,1.692398,-2.589678,0.293217
2021-05,3.300000,1.200609,6.020750,4.432207
2021-06,3.200000,1.094166,8.318909,9.516843
2021-07,3.000000,0.996102,1.722244,2.709839
2021-08,2.500000,1.097232,2.965008,2.894568
2021-09,3.500000,1.000890,2.531661,3.292806
2021-10,3.500000,0.994381,2.317964,5.601519
2021-11,2.500000,1.199436,4.128954,3.636103
2021-12,3.800000,1.792119,15.283893,12.782810
2022-01,3.900000,2.180434,-0.631127,-2.117900
2022-02,4.700000,2.284518,1.121598,0.380587
2022-03,6.700000,3.238631,-4.404293,0.167118
2022-04,6.000000,3.830421,-0.121082,4.357152
2022-05,5.100000,4.119944,7.101013,3.855401
2022-06,5.300000,4.119392,5.527097,13.731056
2022-07,7.400000,4.689410,8.079612,2.520804
2022-08,7.000000,5.548285,-2.952950,-0.590838
2022-09,6.200000,6.016394,-2.227599,6.238668
2022-10,6.300000,6.300364,4.760162,3.714376
2022-11,4.900000,6.394280,4.744063,6.415213
2022-12,5.100000,5.735473,14.358265,13.889911
2023-01,6.000000,5.356562,2.147704,1.489083
2023-02,6.600000,5.354165,-1.836798,5.455959
2023-03,7.700000,5.829667,2.824247,-0.444493
2023-04,8.400000,6.298585,-0.053725,8.689059
2023-05,7.800000,7.255834,3.835191,4.674293
2023-06,6.000000,6.998823,5.398621,8.999117
2023-07,6.300000,6.999006,8.262441,6.960730
2023-08,12.400000,24.018012,3.523030,5.694639
2023-09,12.700000,-0.002400,3.067539,11.340293
2023-10,8.300000,0.000000,5.819754,10.328258
2023-11,12.800000,2.960443,21.501918,-5.722974
2023-12,25.500000,80.759872,6.831612,41.711006
2024-01,20.600000,2.173737,12.832411,3.159098
2024-02,13.200000,1.917949,-3.560198,-2.816721
2024-03,11.000000,1.784715,16.750264,1.925324
2024-04,8.800000,2.229786,18.316605,4.343048
2024-05,4.200000,2.088112,13.611070,12.009182
2024-06,4.600000,1.826282,16.271863,15.424222
2024-07,4.000000,2.277138,7.814801,3.233229
2024-08,4.200000,2.130275,0.594076,2.370554
2024-09,3.500000,1.880071,1.998088,2.314297
2024-10,2.700000,2.022156,1.415366,3.281713
2024-11,2.400000,2.097455,4.765108,2.953353
2024-12,2.700000,2.030154,22.141892,14.386687
2025-01,2.200000,2.013491,1.727498,-0.990311
2025-02,2.400000,1.026982,0.117528,-0.870318
2025-03,3.700000,0.888583,0.828775,6.430928
2025-04,2.800000,8.743809,6.849723,6.885799
2025-05,1.500000,1.971337,6.629174,0.049368
2025-06,1.600000,-0.104628,6.201765,8.465919
2025-07,1.900000,12.408289,7.605631,-1.281911
2025-08,1.900000,-2.093013,9.836859,-5.087211
2025-09,2.100000,3.178214,-4.539489,2.358204
2025-10,2.300000,5.441060,-2.316261,-2.607844
2025-11,2.500000,0.535638,-0.974030,6.654541
2025-12,2.800000,0.595617,4.841836,9.074051
2026-01,2.900000,-0.808444,-0.337235,-7.426287
2026-02,2.900000,-2.709615,-4.357873,1.653452
2026-03,3.400000,-1.877633,0.707640,0.322933
2026-04,2.600000,-0.120296,2.049427,0.619028
2026-05,2.100000,2.091869,-0.373314,-7.873646
2026-06,1.900000,5.028477,8.527504,
2026-07,2.100000,0.365698,1.048144,
