"trace_id","request_id","institution","gap_id","requested_record","period_or_date","identifiers","minimum_usable_fields","confidentiality_fallback","status"
"TR121_001","REQ121_ECON","Ministerio de Economía / Tesoro","CL121_SETTLEMENT_2008","Expediente e índice de cada ronda","2008-08-27/2008-10-07","R1-R4; cuatro fechas T+3","carátula; número; índice; área","metadatos sin contenido exceptuado","DRAFT_NOT_SENT"
"TR121_002","REQ121_ECON","Ministerio de Economía / Tesoro","CL121_SETTLEMENT_2008","Informe Caja de títulos recibidos","2008-09-01/2008-10-06","0306/40000; cuatro ISIN","fecha; especie; nominal; estado","copia testada o agregado por especie","DRAFT_NOT_SENT"
"TR121_003","REQ121_ECON","Ministerio de Economía / Tesoro","CL121_SETTLEMENT_2008","Orden o constancia de pago","2008-09-02/2008-10-07","cuatro fechas T+3","fecha; importe; moneda; estado; identificador","sin cuenta ni contraparte","DRAFT_NOT_SENT"
"TR121_004","REQ121_ECON","Ministerio de Economía / Tesoro","CL121_SETTLEMENT_2008","Conciliación resultado-entrega-pago-deuda","2008","R1-R4","ronda; adjudicado; recibido; pagado; diferencia","agregado por ronda","DRAFT_NOT_SENT"
"TR121_005","REQ121_ECON","Ministerio de Economía / Tesoro","CL121_STRIP_2009","Expediente e índice del strip","2009-06-10/2009-06-18","ARARGE03G415","número; índice; área; documentos","metadatos","DRAFT_NOT_SENT"
"TR121_006","REQ121_ECON","Ministerio de Economía / Tesoro","CL121_STRIP_2009","Constancia de entrega y pago del strip","2009-06-17/2009-06-18","0306/40000; ARARGE03G415","fecha; nominal; efectivo; estado","agregado sin participantes","DRAFT_NOT_SENT"
"TR121_007","REQ121_ECON","Ministerio de Economía / Tesoro","CL121_BNA_FIRST_STAGE","Mandato y expediente BNA","2008-08-11/2008-08-22","primera etapa","acto; anexos; índice; rendición","copia testada","DRAFT_NOT_SENT"
"TR121_008","REQ121_ECON","Ministerio de Economía / Tesoro","CL121_SETTLEMENT_2008","Tabla de conservación o expurgo","2008-2009","expedientes de recompra","regla; acto; fecha; destino","N/A","DRAFT_NOT_SENT"
"TR121_009","REQ121_BCRA","BCRA / CRyL","CL121_SETTLEMENT_2008","Mensajes o asientos CRyL","2008-09-01/2008-10-07","0306/40000; cuatro ISIN","fecha; especie; nominal; estado; identificador","disociación de cuentas y terceros","DRAFT_NOT_SENT"
"TR121_010","REQ121_BCRA","BCRA / CRyL","CL121_SETTLEMENT_2008","Débitos créditos u órdenes de liquidación","2008-09-02/2008-10-07","cuatro fechas T+3","fecha; monto; moneda; estado","agregado por fecha sin cuenta","DRAFT_NOT_SENT"
"TR121_011","REQ121_BCRA","BCRA / CRyL","CL121_SETTLEMENT_2008","Operaciones fallidas reversadas o tardías","2008","R1-R4","fecha; especie; estado; motivo general","sin contraparte","DRAFT_NOT_SENT"
"TR121_012","REQ121_BCRA","BCRA / CRyL","CL121_STRIP_2009","Registro CRyL y pago strip","2009-06-17/2009-06-18","ARARGE03G415","fecha; nominal; efectivo; estado","agregado sin cuentas","DRAFT_NOT_SENT"
"TR121_013","REQ121_BCRA","BCRA / CRyL","CL121_CUSTODY_HOLDINGS","Agregados existentes de tenencias públicas","2008-2013","CRyL; especies de deuda pública","corte; especie; sector institucional; monto","mayor agregación compatible con secreto","DRAFT_NOT_SENT"
"TR121_014","REQ121_BCRA","BCRA / CRyL","CL121_CUSTODY_HOLDINGS","Comunicaciones con DMO AGN CNV Caja","2009-2014","pedido de tenencias/conciliaciones","fecha; remitente; destinatario; asunto; expediente","copia testada","DRAFT_NOT_SENT"
"TR121_015","REQ121_BCRA","BCRA / CRyL","CL121_CUSTODY_HOLDINGS","Tabla de conservación o expurgo","2008-2014","registros CRyL y pagos","regla; acto; fecha; destino","N/A","DRAFT_NOT_SENT"
"TR121_016","REQ121_BNA","Banco de la Nación Argentina","CL121_BNA_FIRST_STAGE","Mandato convenio o instrucción","2008-08-11","primera etapa","acto; fecha; alcance; anexos","copia testada","DRAFT_NOT_SENT"
"TR121_017","REQ121_BNA","Banco de la Nación Argentina","CL121_BNA_FIRST_STAGE","Blotter libro de órdenes tickets","2008-08-11/2008-08-22","BODEN; BONAR V; PRE8; GDP ARS","fecha; especie; nominal; precio; efectivo; estado","sin cuenta ni contraparte","DRAFT_NOT_SENT"
"TR121_018","REQ121_BNA","Banco de la Nación Argentina","CL121_BNA_FIRST_STAGE","Confirmaciones y liquidaciones","2008-08-11/2008-08-22","órdenes ejecutadas","fecha; mercado; estado; importe","agregado por especie y fecha","DRAFT_NOT_SENT"
"TR121_019","REQ121_BNA","Banco de la Nación Argentina","CL121_BNA_FIRST_STAGE","Órdenes canceladas parciales o fallidas","2008-08-11/2008-08-22","primera etapa","fecha; especie; estado; motivo general","sin contraparte","DRAFT_NOT_SENT"
"TR121_020","REQ121_BNA","Banco de la Nación Argentina","CL121_BNA_FIRST_STAGE","Rendición final al Tesoro","2008","aprox USD 380m","composición por especie; importes; conciliación","versión testada","DRAFT_NOT_SENT"
"TR121_021","REQ121_BNA","Banco de la Nación Argentina","CL121_BNA_FIRST_STAGE","Tabla de conservación o expurgo","2008","registros de mesa","regla; acto; fecha; destino","N/A","DRAFT_NOT_SENT"
"TR121_022","REQ121_AGN","Auditoría General de la Nación","CL121_AGN_REPLY","Respuesta individual y adjuntos","2018-09-11","UUID 2074c3d9-a535-497e-a97d-d74340ff49fb","contenido; adjuntos; fecha; identificadores","testar datos del solicitante","DRAFT_NOT_SENT"
"TR121_023","REQ121_AGN","Auditoría General de la Nación","CL121_AGN_REPLY","Expediente e índice","2018-08-14/2018-09-11","nid 18814; vid 18821","número; índice; metadatos de envío","testar identidad","DRAFT_NOT_SENT"
"TR121_024","REQ121_AGN","Auditoría General de la Nación","CL121_AGN_REPLY","Índice de informes identificados","2006-2011","BODEN 2006/2012/2013","número; título; actuación; fecha; URL","N/A","DRAFT_NOT_SENT"
"TR121_025","REQ121_AGN","Auditoría General de la Nación","CL121_AGN_REPLY","Metadatos de migración o baja","2018-2026","nodo y adjuntos","ubicación; transferencia; retención; acto","N/A","DRAFT_NOT_SENT"
"TR121_026","REQ121_CNV","Comisión Nacional de Valores","CL121_CUSTODY_HOLDINGS","Nota Caja y actuación AGN/CNV","2014-11-19","nota sin número citada por AGN","copia; ingreso; expediente; anexos","copia testada","DRAFT_NOT_SENT"
"TR121_027","REQ121_CNV","Comisión Nacional de Valores","CL121_CUSTODY_HOLDINGS","Pedido y respuesta a AGN","2014","Resolución AGN 41/2016","fecha; expediente; contenido; derivaciones","copia testada","DRAFT_NOT_SENT"
"TR121_028","REQ121_CNV","Comisión Nacional de Valores","CL121_CUSTODY_HOLDINGS","Requerimientos CNV a Caja y respuestas","2009-2014","tenencias sector público","corte; especie; sector; estado","agregado sin subcuentas","DRAFT_NOT_SENT"
"TR121_029","REQ121_CNV","Comisión Nacional de Valores","CL121_SETTLEMENT_2008","Reportes de liquidación Caja existentes","2008","0306/40000; cuatro T+3","fecha; especie; nominal; estado","agregado/testado","DRAFT_NOT_SENT"
"TR121_030","REQ121_CNV","Comisión Nacional de Valores","CL121_STRIP_2009","Reporte de liquidación strip existente","2009-06-17/2009-06-18","ARARGE03G415","fecha; nominal; efectivo; estado","agregado/testado","DRAFT_NOT_SENT"
"TR121_031","REQ121_CAJA","Caja de Valores S.A.","CL121_CAJA_ROUTE","Constancias de recepción 0306/40000","2008-2009","cinco eventos","fecha; especie; nominal; estado","certificación agregada","DRAFT_NOT_SENT"
"TR121_032","REQ121_CAJA","Caja de Valores S.A.","CL121_CAJA_ROUTE","Transferencias rechazadas parciales o tardías","2008-2009","0306/40000","fecha; especie; estado","agregado sin depositante","DRAFT_NOT_SENT"
"TR121_033","REQ121_CAJA","Caja de Valores S.A.","CL121_CAJA_ROUTE","Identificadores de informes a organismos","2008-2014","Tesoro; BCRA; MAE; CNV; AGN","fecha; destinatario; número; área","metadatos","DRAFT_NOT_SENT"
"TR121_034","REQ121_CAJA","Caja de Valores S.A.","CL121_CAJA_ROUTE","Retención destino o ruta competente","2008-2014","registros históricos","regla; destino; área; requisitos","N/A","DRAFT_NOT_SENT"
"TR121_035","REQ121_ECON","Ministerio de Economía / Tesoro","CL121_SETTLEMENT_2008","Identificadores heredados y traza de migración","2008-2009","COMDOC; papel; GDE/GEDO/RUDO","número original; área; origen; destino; repositorio","metadatos sin contenido exceptuado","DRAFT_NOT_SENT"
"TR121_036","REQ121_ECON","Ministerio de Economía / Tesoro","CL121_STRIP_2009","Inventario y acto concreto de disposición","2009-2026","serie expedientes de recompra","serie; regla; remito; acto; fecha; alcance","N/A","DRAFT_NOT_SENT"
"TR121_037","REQ121_BCRA","BCRA / CRyL","CL121_SETTLEMENT_2008","Sistemas operativos y referencias de migración","2008-2009","CRyL; mensajería; liquidación","sistema; transacción; expediente; origen; destino","metadatos disociados","DRAFT_NOT_SENT"
"TR121_038","REQ121_BCRA","BCRA / CRyL","CL121_CUSTODY_HOLDINGS","Custodia archivística y disposición concreta","2008-2026","registros CRyL","área; serie; regla; inventario; acto; fecha","N/A","DRAFT_NOT_SENT"
"TR121_039","REQ121_BNA","Banco de la Nación Argentina","CL121_BNA_FIRST_STAGE","Reproducciones autenticadas y registro de soporte","2008-2026","blotter; órdenes; tickets","soporte; acta apertura/cierre; asiento; copia","sin cuentas ni contrapartes","DRAFT_NOT_SENT"
"TR121_040","REQ121_BNA","Banco de la Nación Argentina","CL121_BNA_FIRST_STAGE","Sistema heredado migración y disposición","2008-2026","registros anteriores a GDE","sistema; área; origen; destino; acto; fecha","N/A","DRAFT_NOT_SENT"
"TR121_041","REQ121_AGN","Auditoría General de la Nación","CL121_AGN_REPLY","Búsqueda multirrepositorio de respuesta y adjuntos","2018-2026","UUID; nid 18814; vid 18821","base; clave; adjunto; correo; backup; migración","testar identidad","DRAFT_NOT_SENT"
"TR121_042","REQ121_AGN","Auditoría General de la Nación","CL121_AGN_REPLY","Regla de serie y acto concreto de disposición","2018-2026","respuesta individual AIP","serie; regla; acto; fecha; alcance","N/A","DRAFT_NOT_SENT"
"TR121_043","REQ121_CNV","Comisión Nacional de Valores","CL121_CUSTODY_HOLDINGS","Identificador original y referencia de migración","2014-2026","nota Caja 19/11/2014; actuación AGN","sistema; número; índice; origen; destino","metadatos/testado","DRAFT_NOT_SENT"
"TR121_044","REQ121_CNV","Comisión Nacional de Valores","CL121_CUSTODY_HOLDINGS","Regla histórica y disposición concreta","2008-2026","series de supervisión y custodia","serie; regla histórica; inventario; acto; fecha","N/A","DRAFT_NOT_SENT"
"TR121_045","REQ121_CAJA","Caja de Valores S.A.","CL121_CAJA_ROUTE","Sistema soporte migración o reproducción","2008-2026","0306/40000; cinco eventos","sistema; libro; soporte; área; origen; destino","certificación agregada","DRAFT_NOT_SENT"
"TR121_046","REQ121_CAJA","Caja de Valores S.A.","CL121_CAJA_ROUTE","Regla histórica y disposición concreta","2008-2026","registros de depósito colectivo","serie; regla; inventario; acto; fecha; destino","N/A","DRAFT_NOT_SENT"
"TR121_047","REQ121_ECON","Ministerio de Economía / Tesoro","CL121_SETTLEMENT_2008","Asientos COMDOC III o sistema heredado equivalente","2008-2009","fechas; cuenta; ISIN","número; fecha; asunto; área; cruce","metadatos sin contenido exceptuado","DRAFT_NOT_SENT"
"TR121_048","REQ121_ECON","Ministerio de Economía / Tesoro","CL121_SETTLEMENT_2008","Código y asiento SIGADE","2008-2009","cuatro rondas; strip","código; fecha; especie; nominal; importe; estado","agregado por evento","DRAFT_NOT_SENT"
