"id","descripcion","carpeta","archivo","origen","bytes","sha256"
"DOC-0","Manuscrito principal V0.7 portable, con enlaces internos","00_MANUSCRITO","MANUSCRITO_ACCION_COLECTIVA_CREDITO_BANCARIO_V0.7.md","C:\Github\inflacion\research\ciclo_ajuste\legal\MANUSCRITO_ACCION_COLECTIVA_CREDITO_BANCARIO_V0.md","122288","a37157de8f4eef98db4519e5cba79abaecf330e8cee9a37b8f632777f8859540"
"E-1","Serie BCRA de tasas","01_FUENTES_ESTADISTICAS","E-1__preser_tas.xls","C:\Github\inflacion\data\fuentes\tasas\bcra\preser_tas.xls","21674496","063ba84b46b8c57162d3c9a87c722b2dc8cd3ca37a98c16105b55a4e5f4b9f53"
"E-2","Serie INDEC de precios","01_FUENTES_ESTADISTICAS","E-2__serie_ipc_divisiones.csv","C:\Github\inflacion\data\fuentes\tasas\indec\serie_ipc_divisiones.csv","1220697","2780c4d7ea3d7058c4042a275643d757a6bfaf55824a9ab1c540b59adc9033b4"
"E-3","Informe de Inclusión Financiera 2023","01_FUENTES_ESTADISTICAS","E-3__IIF-primer-semestre-2023.pdf","C:\Github\inflacion\data\fuentes\pendulo_poder_economico\bcra\IIF-primer-semestre-2023.pdf","2793378","dbefef024f4a3c50ee006606059695b7545285cc0baee7c14c80a46d025d7972"
"C-1","Serie analítica general","02_CALCULOS_Y_METODOLOGIA","C-1__brecha_costo_credito_vs_cftea_referencia_2019_2026.csv","C:\Github\inflacion\data\derivados\tasas\brecha_costo_credito_vs_cftea_referencia_2019_2026.csv","27903","1545c08643086726a8ea3ca076e6343774992c4c14372fc6e8fb2f4735740346"
"C-2","Serie mensual 2023–2026","02_CALCULOS_Y_METODOLOGIA","C-2__costo_credito_personal_historia_2023_2026.csv","C:\Github\inflacion\data\derivados\credito_consumo\costo_credito_personal_historia_2023_2026.csv","5130","b56f8803de8e7bb59aee4780852ab308f2e561a2fe836be62f8b19eed9edfbf2"
"C-3","Resumen anual 2023–2026","02_CALCULOS_Y_METODOLOGIA","C-3__costo_credito_personal_resumen_anual_2023_2026.csv","C:\Github\inflacion\data\derivados\credito_consumo\costo_credito_personal_resumen_anual_2023_2026.csv","691","0136a7f10c7577e46e5dfcb90e841c1bff28321f9cdda5464652c68f238d76c8"
"C-4","Instrucciones automatizadas de cálculo","02_CALCULOS_Y_METODOLOGIA","C-4__build_credit_cost_history_2023_2026.ps1","C:\Github\inflacion\data\derivados\credito_consumo\build_credit_cost_history_2023_2026.ps1","4072","ca7c61083ac524a0659605b69be9fe7bc7c87c1a7f3cdf4054730bf3324bf7d1"
"M-1","Memoria de metodología","02_CALCULOS_Y_METODOLOGIA","M-1__AUDITORIA_CFTEA_REFERENCIA_Y_CARGA_CREDITO.md","C:\Github\inflacion\data\fuentes\tasas\metodologia\AUDITORIA_CFTEA_REFERENCIA_Y_CARGA_CREDITO.md","2868","7d4e27a3d728152d350574286073beda929a6736604badbb6f03b04767d1cefa"
"E-4","Indicadores agregados de rentabilidad","02_CALCULOS_Y_METODOLOGIA","E-4__bank_roa_snapshot_may2026.csv","C:\Github\inflacion\data\derivados\pendulo_poder_economico\bank_roa_snapshot_may2026.csv","585","d4790964b98cd68f2217205473a202e1b8d1799db3a3c2180f626dfedbd02da5"
"M-2","Memoria de rentabilidad y CFT","02_CALCULOS_Y_METODOLOGIA","M-2__AUDITORIA_CFT_RENTABILIDAD_V146.md","C:\Github\inflacion\data\derivados\pendulo_poder_economico\AUDITORIA_CFT_RENTABILIDAD_V146.md","2218","8b2869c6b84a8b035d26b545c5b67c0e47e2ba244fa5dfc6f70ba15170991ae5"
"I-1","Inventario general de fuentes","08_INVENTARIO","I-1__FUENTES.csv","C:\Github\inflacion\data\fuentes\FUENTES.csv","200822","e0619ee158028769719c6f720062b97b1812706b5d21b8d56140e230e3126871"
"T-1","Primera copia del Régimen de Transparencia","03_REGIMEN_DE_TRANSPARENCIA","T-1__prestamos_personales_api.json","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_transparencia\2026-08-30\prestamos_personales_api.json","1656776","aab38581025d5b23e6285e702de4c6c2fde5cafcf7fa9f0ecebd4d147f259cfe"
"T-2","Segunda copia del Régimen de Transparencia","03_REGIMEN_DE_TRANSPARENCIA","T-2__PERSONALES.CSV","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_transparencia\2026-08-30\PERSONALES.CSV","583290","47c10e8023af4ddd2f45fd02a5aa1f5199520943870076fd20866c87487ebef0"
"T-3","Diccionario oficial de campos","03_REGIMEN_DE_TRANSPARENCIA","T-3__regimen-transparencia-v1.pdf","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_transparencia\2026-08-30\regimen-transparencia-v1.pdf","504562","3bfd512aa276dbe0142a22e0ca3c01a854f3b2b4e2e0af1252de77744e9021f9"
