fecha,ventana,ipc,ipc_ref,periodo_referencia,banco_real,banco_promedio_historico,banco_brecha_pp,monto_personales_nominal,monto_personales_pesos_constantes,impacto_banco_nominal,impacto_banco_pesos_constantes,pf_real,pf_promedio_historico,pf_brecha_pp,monto_pf_nominal,monto_pf_pesos_constantes,impacto_pf_nominal,impacto_pf_pesos_constantes,pf_rendimiento_perdido_pesos_constantes,pf_rendimiento_adicional_pesos_constantes,fintech_real,fintech_promedio_historico,fintech_brecha_pp,saldo_fintech,exposicion_fintech,exposicion_fintech_pesos_constantes,nota
2023-12,post_shock,3533.1922,12076.3937,2026-07,-11.08133,1.069151,-12.150481,162761320000.0,556315554939.7183,-19776283627.295036,-67595017051.74118,-12.449928,-0.528703,-11.921225,11358501537000.0,38823174239676.836,-1354072495756.0215,-4628197853796.716,4628197853796.716,0,-6.257893,6.986491,-13.244384,,,,
2024-01,post_shock,4261.5324,12076.3937,2026-07,-7.669443,1.069151,-8.738594,233660768000.0,662151348799.404,-20418666377.293793,-57862719523.41664,-9.812128,-0.528703,-9.283425,11929964304000.0,33807309727845.9,-1107509258126.432,-3138476156494.7188,3138476156494.7188,0,-2.649319,6.986491,-9.63581,,,,
2024-02,post_shock,4825.7881,12076.3937,2026-07,-2.374831,1.069151,-3.443982,303967648000.0,760670156509.984,-10468591765.251144,-26197344977.030968,-3.986784,-0.528703,-3.458081,12646423343000.0,31647304859270.17,-437323530406.2431,-1094389355276.4395,1094389355276.4395,0,2.861939,6.986491,-4.124552,,,,
2024-03,post_shock,5357.0929,12076.3937,2026-07,-0.513121,1.069151,-1.582272,312343159000.0,704109304803.3008,-4942119049.880542,-11140925959.791992,-3.684896,-0.528703,-3.156193,14733543756000.0,33213550392906.71,-465019038934.41974,-1048283667465.9276,1048283667465.9276,0,4.41546,6.986491,-2.571031,,,,
2024-04,post_shock,5830.227,12076.3937,2026-07,-0.462339,1.069151,-1.53149,497766178000.0,1031043960393.3567,-7623240356.774191,-15790337463.384117,-3.449561,-0.528703,-2.920858,18471505415000.0,38260803845754.53,-539526396314.16205,-1117543651976.5095,1117543651976.5095,0,5.207448,6.986491,-1.779043,,,,
2024-05,post_shock,6073.717,12076.3937,2026-07,1.531476,1.069151,0.462325,827370607000.0,1645064000502.4893,3825139301.636802,7605538447.693411,-1.232834,-0.528703,-0.704131,19002219748000.0,37782182945099.82,-133800471253.90729,-266035965802.7724,266035965802.7724,0,8.550636,6.986491,1.564145,,,,
2024-06,post_shock,6351.715,12076.3937,2026-07,0.690222,1.069151,-0.378929,780949138000.0,1484803592441.3533,-2959244512.106979,-5626354737.699708,-1.810075,-0.528703,-1.281372,16907147642000.0,32145234990678.684,-216643412570.52094,-411899958155.10297,411899958155.10297,0,7.257735,6.986491,0.271244,,,,
2024-07,post_shock,6607.748,12076.3937,2026-07,1.177473,1.069151,0.108322,1151928993000.0,2105278233054.975,1247789938.094267,2280474761.949911,-1.020902,-0.528703,-0.492199,21390601655000.0,39093701373849.55,-105284272641.45459,-192418707074.8377,192418707074.8377,0,7.388758,6.986491,0.402267,,,,
2024-08,post_shock,6883.441,12076.3937,2026-07,1.406723,1.069151,0.337572,1243078338000.0,2180871951924.869,4196281616.849749,7362008170.208784,-0.989799,-0.528703,-0.461096,21218450798000.0,37225911508608.44,-97837373534.12325,-171647093564.40082,171647093564.40082,0,7.159089,6.986491,0.172598,,,,
2024-09,post_shock,7122.242,12076.3937,2026-07,2.144412,1.069151,1.075261,1308210433000.0,2218186946098.64,14066673647.476307,23851294159.386734,-0.252512,-0.528703,0.276191,22234786754000.0,37701055184146.94,61410536844.81221,104127017906.20258,0,104127017906.20258,7.839509,6.986491,0.853018,,,,
