account_id,currency,reference_balance_original,reference_ars_equivalent,description,evidence_status,legal_limit
2119/45,ARS,22384741.80,22384741.80,cuenta nativa ARS,REFERENCE_REPORTED_NOT_BANK_STATEMENT,"no prueba deuda Res1406, pago, provisión ni disponibilidad posterior"
54451/95,ARS,45925902.21,45925902.21,cuenta nativa ARS,REFERENCE_REPORTED_NOT_BANK_STATEMENT,"no prueba deuda Res1406, pago, provisión ni disponibilidad posterior"
210010000,USD,81779.15,3066718.24,sin rótulo específico,REFERENCE_REPORTED_NOT_BANK_STATEMENT,"no prueba deuda Res1406, pago, provisión ni disponibilidad posterior"
MI 4285,USD,524243.73,19659140.06,Cobro Intereses,REFERENCE_REPORTED_NOT_BANK_STATEMENT,"no prueba deuda Res1406, pago, provisión ni disponibilidad posterior"
MS 4285,USD,6410591.97,240397198.95,Cobro Capital,REFERENCE_REPORTED_NOT_BANK_STATEMENT,"no prueba deuda Res1406, pago, provisión ni disponibilidad posterior"
MY 4002,USD,15182.68,569350.57,Fondo Comisión de Compromiso,REFERENCE_REPORTED_NOT_BANK_STATEMENT,"no prueba deuda Res1406, pago, provisión ni disponibilidad posterior"
MY 4003,USD,12838.50,481443.72,Cobertura Incobrables IFIs,REFERENCE_REPORTED_NOT_BANK_STATEMENT,"no prueba deuda Res1406, pago, provisión ni disponibilidad posterior"
MY 4004,USD,31547.90,1183046.44,Gastos UCP,REFERENCE_REPORTED_NOT_BANK_STATEMENT,"no prueba deuda Res1406, pago, provisión ni disponibilidad posterior"
MY 4005,USD,213.22,7995.84,Asistencia Técnica,REFERENCE_REPORTED_NOT_BANK_STATEMENT,"no prueba deuda Res1406, pago, provisión ni disponibilidad posterior"
MY 4006,USD,25592.23,959708.51,Cobertura Descalce Tasas,REFERENCE_REPORTED_NOT_BANK_STATEMENT,"no prueba deuda Res1406, pago, provisión ni disponibilidad posterior"
MYUEC1,USD,4277314.31,160399286.55,Fondos Rotatorios Fideicomiso,REFERENCE_REPORTED_NOT_BANK_STATEMENT,"no prueba deuda Res1406, pago, provisión ni disponibilidad posterior"
MYUEC,USD,0.00,0.00,Fondos BID,REFERENCE_REPORTED_NOT_BANK_STATEMENT,"no prueba deuda Res1406, pago, provisión ni disponibilidad posterior"
COBCAP,USD,4716737.55,176877658.03,Cobro IFIs Capital,REFERENCE_REPORTED_NOT_BANK_STATEMENT,"no prueba deuda Res1406, pago, provisión ni disponibilidad posterior"
COBINT,USD,3695724.11,138589654.14,Cobro IFIs Intereses,REFERENCE_REPORTED_NOT_BANK_STATEMENT,"no prueba deuda Res1406, pago, provisión ni disponibilidad posterior"
FP1192,USD,382920.56,14359521.15,Fondo Rotatorio Facilidad,REFERENCE_REPORTED_NOT_BANK_STATEMENT,"no prueba deuda Res1406, pago, provisión ni disponibilidad posterior"
FDOGTOS,USD,0.00,0.00,Fondo de Gastos,REFERENCE_REPORTED_NOT_BANK_STATEMENT,"no prueba deuda Res1406, pago, provisión ni disponibilidad posterior"
