collection_id,collection_name,year,catalog_endpoint,exact_prefix_status,target_prefixes,evidentiary_effect
CC-MAIN-2020-50,November/December 2020 Index,2020,https://index.commoncrawl.org/CC-MAIN-2020-50/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2020-45,October 2020 Index,2020,https://index.commoncrawl.org/CC-MAIN-2020-45/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2020-40,September 2020 Index,2020,https://index.commoncrawl.org/CC-MAIN-2020-40/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2020-34,August 2020 Index,2020,https://index.commoncrawl.org/CC-MAIN-2020-34/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2020-29,July 2020 Index,2020,https://index.commoncrawl.org/CC-MAIN-2020-29/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2020-24,May/June 2020 Index,2020,https://index.commoncrawl.org/CC-MAIN-2020-24/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2020-16,March/April 2020 Index,2020,https://index.commoncrawl.org/CC-MAIN-2020-16/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2020-10,February 2020 Index,2020,https://index.commoncrawl.org/CC-MAIN-2020-10/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2020-05,January 2020 Index,2020,https://index.commoncrawl.org/CC-MAIN-2020-05/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2019-51,December 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-51/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2019-47,November 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-47/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2019-43,October 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-43/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2019-39,September 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-39/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2019-35,August 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-35/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2019-30,July 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-30/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2019-26,June 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-26/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2019-22,May 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-22/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2019-18,April 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-18/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2019-13,March 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-13/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2019-09,February 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-09/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2019-04,January 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-04/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2018-51,December 2018 Index,2018,https://index.commoncrawl.org/CC-MAIN-2018-51/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2018-47,November 2018 Index,2018,https://index.commoncrawl.org/CC-MAIN-2018-47/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2018-43,October 2018 Index,2018,https://index.commoncrawl.org/CC-MAIN-2018-43/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2018-39,September 2018 Index,2018,https://index.commoncrawl.org/CC-MAIN-2018-39/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2018-34,August 2018 Index,2018,https://index.commoncrawl.org/CC-MAIN-2018-34/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
CC-MAIN-2018-30,July 2018 Index,2018,https://index.commoncrawl.org/CC-MAIN-2018-30/,NO_CAPTURE_VALID_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,SCOPED_COLLECTION_HOST_NEGATIVE
