"periodo","cobertura_personales_pct_poblacion_adulta","variacion_mensual_pp_dentro_tramo","variacion_desde_inicio_tramo_pp","tramo_metodologico","umbral_saldo_deuda_reportable_pesos","comparable_con_mes_anterior","fuente","nota_metodologica"
"2023-01","28,96239",,"0","A_2023-01_a_2024-06","1000","False","BCRA, Indicadores de Inclusión Financiera, CENDEU","CENDEU informaba personas con saldo de deuda desde $1.000."
"2023-02","29,14298","0,18059","0,18059","A_2023-01_a_2024-06","1000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","CENDEU informaba personas con saldo de deuda desde $1.000."
"2023-03","29,20287","0,05989","0,24048","A_2023-01_a_2024-06","1000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","CENDEU informaba personas con saldo de deuda desde $1.000."
"2023-04","29,33918","0,13631","0,37679","A_2023-01_a_2024-06","1000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","CENDEU informaba personas con saldo de deuda desde $1.000."
"2023-05","29,48268","0,1435","0,52029","A_2023-01_a_2024-06","1000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","CENDEU informaba personas con saldo de deuda desde $1.000."
"2023-06","29,35248","-0,1302","0,39009","A_2023-01_a_2024-06","1000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","CENDEU informaba personas con saldo de deuda desde $1.000."
"2023-07","29,51886","0,16638","0,55647","A_2023-01_a_2024-06","1000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","CENDEU informaba personas con saldo de deuda desde $1.000."
"2023-08","29,9274","0,40854","0,96501","A_2023-01_a_2024-06","1000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","CENDEU informaba personas con saldo de deuda desde $1.000."
"2023-09","29,87279","-0,05461","0,9104","A_2023-01_a_2024-06","1000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","CENDEU informaba personas con saldo de deuda desde $1.000."
"2023-10","30,05535","0,18256","1,09296","A_2023-01_a_2024-06","1000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","CENDEU informaba personas con saldo de deuda desde $1.000."
"2023-11","29,99199","-0,06336","1,0296","A_2023-01_a_2024-06","1000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","CENDEU informaba personas con saldo de deuda desde $1.000."
"2023-12","29,90924","-0,08275","0,94685","A_2023-01_a_2024-06","1000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","CENDEU informaba personas con saldo de deuda desde $1.000."
"2024-01","30,43952","0,53028","1,47713","A_2023-01_a_2024-06","1000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","CENDEU informaba personas con saldo de deuda desde $1.000."
