transaction_id,year,mechanism,phase,instrument,recipient_universe,amount_original,original_unit,normalized_ars_million,source_id,source_locator,bank_compensation_aggregation,realization_status,caveat
T59,2007,All_BODEN_2007_purposes,FINAL_SERIES_PRINCIPAL_REDUCTION,BODEN_2007,Mixed,356805700,ARS_nominal,731.80830502,e0_cgn_cuenta_inversion_2007_sdp,PDF_p5,NO_AUTOMATIC_AGGREGATION,FINAL_SERIES_SERVICE_NOT_PURPOSE_ALLOCATED,The series includes more than one purpose and the ARS accounting amount is not a beneficiary allocation.
T60,2007,All_BODEN_2012_purposes,DEBT_SERVICE_PRINCIPAL_REDUCTION,BODEN_2012,Mixed,2208223712.50,USD_nominal_updated,6953.69647066,e0_cgn_cuenta_inversion_2007_sdp,PDF_p5,NO_AUTOMATIC_AGGREGATION,MIXED_PURPOSE_SERVICE_NOT_ALLOCATED,Compensation coverage depositors auctions and direct placements coexist in the series.
T61,2007,ASymmetric_pesification,NET_ISSUANCE_CORRECTION,BODEN_2007_compensatory,System,-39.9,ARS_million_VNO,-39.9,e0_cgn_cuenta_inversion_2007_sdp,PDF_p65,NO_AUTOMATIC_AGGREGATION,NEGATIVE_NET_ISSUANCE_CORRECTION,Do not convert the correction into amortization or cash.
T62,2007,ASymmetric_pesification,NET_ISSUANCE_CORRECTION,BODEN_2012_compensatory,System,-3.3,USD_million_VNO,N/D,e0_cgn_cuenta_inversion_2007_sdp,PDF_p65,NO_AUTOMATIC_AGGREGATION,NEGATIVE_NET_ISSUANCE_CORRECTION,No undated conversion to ARS.
T63,2007,FX_negative_position_coverage,COVERAGE_ISSUANCE,BODEN_2012_coverage,System,110.2,USD_million_VNO,N/D,e0_cgn_cuenta_inversion_2007_sdp,PDF_p65,NO_AUTOMATIC_AGGREGATION,ISSUED_NOT_FREE_TRANSFER,Requires subscription price financing and entity delivery records.
T64,2007,Compensation_total,YEAR_END_DEBT_STOCK,Compensatory_BODEN_2012_and_BODEN_2013,System,9102.996,ARS_million_updated,9102.996,e0_cgn_cuenta_inversion_2007_sdp,PDF_p56,NO_AUTOMATIC_AGGREGATION,YEAR_END_PURPOSE_STOCK,Stock is not annual issue service or cash.
T65,2007,FX_negative_position_coverage,YEAR_END_DEBT_STOCK,BODEN_2012_coverage,System,7031.799,ARS_million_updated,7031.799,e0_cgn_cuenta_inversion_2007_sdp,PDF_p56,NO_AUTOMATIC_AGGREGATION,YEAR_END_PURPOSE_STOCK,Do not add to coverage issuance as a flow.
T66,2007,Depositor_bond_exchange,YEAR_END_DEBT_STOCK,BODEN_and_OCMO_for_depositors,Depositor_options,12625.525,ARS_million_updated,12625.525,e0_cgn_cuenta_inversion_2007_sdp,PDF_p56,NO_AUTOMATIC_AGGREGATION,YEAR_END_PURPOSE_STOCK,Keep outside bank compensation.
T67,2007,All_BODEN_2012_purposes,YEAR_END_SERIES_STOCK,BODEN_2012,Mixed,10898.291,USD_million_updated,34318.720,e0_cgn_cuenta_inversion_2007_sdp,PDF_p56,NO_AUTOMATIC_AGGREGATION,YEAR_END_SERIES_STOCK,It includes compensation coverage depositors auction and direct placements.
T68,2008,All_BODEN_2012_purposes,DEBT_SERVICE_PRINCIPAL_REDUCTION,BODEN_2012,Mixed,2187653037.50,USD_nominal_updated,7551.77828545,e0_cgn_cuenta_inversion_2008_sdp,PDF_p5,NO_AUTOMATIC_AGGREGATION,MIXED_PURPOSE_SERVICE_NOT_ALLOCATED,Not allocable to compensation without holder-purpose records.
T69,2008,Depositor_bond_exchange,NON_DELIVERY_ADJUSTMENT,BODEN_2012,Requested_not_delivered,-6.6,USD_million_VNO,N/D,e0_cgn_cuenta_inversion_2008_sdp,PDF_p63,NO_AUTOMATIC_AGGREGATION,DEPOSITOR_LEG_CORRECTION,"The recipient universe is depositors, not a bank benefit."
T70,2008,Depositor_bond_exchange,NON_DELIVERY_ADJUSTMENT,BODEN_2013,Requested_not_delivered,-2.9,USD_million_VNO,N/D,e0_cgn_cuenta_inversion_2008_sdp,PDF_p63,NO_AUTOMATIC_AGGREGATION,DEPOSITOR_LEG_CORRECTION,Separate series and depositor purpose.
T71,2008,FX_negative_position_coverage,NET_ISSUANCE_CORRECTION,BODEN_2012_coverage,System,-0.0179,USD_million_VNO,N/D,e0_cgn_cuenta_inversion_2008_sdp,PDF_p63,NO_AUTOMATIC_AGGREGATION,NEGATIVE_COVERAGE_CORRECTION,Preserve scale: 0.0179 million USD.
T72,2008,ASymmetric_pesification,COMPENSATION_ISSUANCE,BODEN_2012_compensatory,Exchange_rate_conversion_effects,1.9,USD_million_VNO,N/D,e0_cgn_cuenta_inversion_2008_sdp,PDF_p63,NO_AUTOMATIC_AGGREGATION,ISSUED_NOT_CASH,No entity list or cash record.
T73,2008,Debt_buyback,MIXED_SERIES_RESCUE_STAGE_1,BONAR_BOCON_BODEN_and_GDP_units,Mixed,1374,ARS_million,1374,e0_cgn_cuenta_inversion_2008_sdp,PDF_p64,NO_AUTOMATIC_AGGREGATION,MIXED_BUYBACK_NOT_SERIES_ALLOCATED,Cannot isolate BODEN 2012 or bank-compensation purpose.
T74,2008,Debt_buyback,MIXED_SERIES_RESCUE_STAGE_2,BODEN_2012_BODEN_2013_and_GDP_units,Mixed,1128,ARS_million,1128,e0_cgn_cuenta_inversion_2008_sdp,PDF_p64,NO_AUTOMATIC_AGGREGATION,MIXED_BUYBACK_NOT_SERIES_ALLOCATED,Cannot isolate BODEN 2012 or purpose.
T75,2009,All_BODEN_2012_purposes,DEBT_SERVICE_PRINCIPAL_REDUCTION,BODEN_2012,Mixed,2212158362.50,USD_nominal_updated,8406.20177750,e0_cgn_cuenta_inversion_2009_sdp,PDF_p5,NO_AUTOMATIC_AGGREGATION,MIXED_PURPOSE_SERVICE_NOT_ALLOCATED,Not allocable to banks or compensation purpose.
T76,2009,ASymmetric_pesification,BCRA_REVIEW_CORRECTION,BODEN_2012_compensatory,System,-25,USD_million_VNO,N/D,e0_cgn_cuenta_inversion_2009_sdp,PDF_p71,NO_AUTOMATIC_AGGREGATION,NEGATIVE_NET_ISSUANCE_CORRECTION,A correction is not service or cash.
T77,2009,FX_negative_position_coverage,COVERAGE_ISSUANCE,BODEN_2012_coverage,System,61,USD_million_VNO,N/D,e0_cgn_cuenta_inversion_2009_sdp,PDF_p71,NO_AUTOMATIC_AGGREGATION,ISSUED_NOT_FREE_TRANSFER,Requires subscription and delivery reconciliation.
