Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del Préstamo Personal;Nombre corto del Préstamo Personal;Denominación;Monto máximo otorgable;Monto mínimo otorgable;Plazo máximo otorgable;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Relación cuota/ingreso (%);Beneficiario;Cargo máximo por cancelación anticipada;Tasa efectiva anual máxima;Tipo de Tasa;Costo financiero efectivo total máximo;Cuota inicial a plazo máximo cada $10.000;Territorio de validez de la oferta;Más información
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-06-12;PRESTAMOPERSONAL;PP;Pesos;24800000;500;72;310000;0;80;30,00;Todos los beneficiarios;4,00;283,00;Fija;398,00;1442,00;Todo el territorio nacional;
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-06-12;PRESTAMOPERSONALUVA;PPUVA;UVA;2000000;500;24;310000;0;80;30,00;Todos los beneficiarios;4,00;30,00;Fija;37,00;956,00;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-08-14;NACION PERSONALES LIBRE DESTINO TRAMO IV;NACION LIBRE DESTINO;Pesos;50000000;1000000;72;455153;12;100;30,00;Clientes con cuenta en la entidad;4,00;140,40;Fija;186,76;922,00;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-08-14;NACION SUELDOS TRAMO III;NACION SUELDOS;Pesos;100000000;1000000;72;421284;3;74;35,00;Clientes que acrediten sueldos en la entidad;4,00;72,86;Fija;93,32;583,00;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-08-14;NACION PREVISIONAL;NACION PREVISIONAL;Pesos;50000000;1000000;72;193357;0;88;35,00;Clientes que acrediten sueldos en la entidad;4,00;72,92;Fija;93,32;677,00;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-08-14;ADELANTO DE HABERES;ADELANTO DE HABERES;Pesos;1000000;50000;1;417588;1;100;50,00;Clientes que acrediten sueldos en la entidad;,00;140,51;Fija;186,76;10918,00;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-08-14;MAS AUTOS CON BNA;MAS AUTOS;Pesos;100000000;1000000;72;163735;0;100;30,00;Todos los beneficiarios;4,00;57,05;Fija;72,30;491,00;Todo el territorio nacional;
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-08-07;PRESTAMO PERSONAL UVA;UVA;Pesos;50000000;100000;24;1300;3;100;35,00;Clientes que acrediten sueldos en la entidad;4,00;28,07;Fija;28,07;5337,00;Ciudad Autónoma de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-08-07;PRESTAMO PERSONAL UVA;UVA;Pesos;50000000;100000;24;1300;3;100;35,00;Clientes que acrediten sueldos en la entidad;4,00;28,07;Fija;28,07;5337,00;Provincia de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-08-07;PRESTAMO PERSONAL PROVINCIA;PRESTAMO PERSONAL;Pesos;3000000;100000;24;1300;12;100;30,00;Personas humanas en relación de dependencia;4,00;159,14;Fija;159,14;9703,00;Ciudad Autónoma de Buenos Aires;0
