relative_path,archive_role,source_url,size_bytes,sha256,format_verification,note
/research/ciclo_ajuste/inputs/source_sync/v161/binaries/banco_corrientes_eeff_fy2023.pdf,OFFICIAL_FINANCIAL_STATEMENTS,https://www.bancodecorrientes.com.ar/DesktopModules/EasyDNNNews/DocumentDownload.ashx?articleid=221&documentid=1193&moduleid=1510&portalid=0,3427742,a30deb0b20fa381b0d6dd74d70cd34f7b3531cce3c904599a9a0bfe5e9b3f04c,PDF_MAGIC_OK,
/research/ciclo_ajuste/inputs/source_sync/v161/binaries/banco_rioja_eeff_fy2023.pdf,OFFICIAL_FINANCIAL_STATEMENTS,https://bancorioja.com.ar/pdf/EEFF-BR-2023.pdf,1402187,5e7f47c7db5407e9eb0dd804da514d0558191670df2f0f2494406b1103f12ec1,PDF_MAGIC_OK,
/research/ciclo_ajuste/inputs/source_sync/v161/binaries/cnv_attachments/bma_9m2023/estado_contable.pdf,CNV_PUBLIC_ATTACHMENT,https://aif2.cnv.gov.ar/presentations/publicview/9d3ded55-6d87-4ca2-9feb-920d961f3acd,2866184,b12e903899ab1ccb263a67a2949466be60d619af8e8ace0e6a14ade7fe4592da,PDF_MAGIC_OK,blob_guid=f4e5d0ab-4c5a-4b2e-02a9-1a1d14741d4c; property=ABEstadoContable; declared_hash_matches_served_bytes=false
/research/ciclo_ajuste/inputs/source_sync/v161/binaries/cnv_attachments/bma_9m2023/informe_auditor_independiente.pdf,CNV_PUBLIC_ATTACHMENT,https://aif2.cnv.gov.ar/presentations/publicview/9d3ded55-6d87-4ca2-9feb-920d961f3acd,87854,29ec7014d28c74d6e8c0e3f708e1a2563f80a9798f1420b4460ca9362279b8e9,PDF_MAGIC_OK,blob_guid=2a3d74c0-5bf4-4643-6788-5f578c667d52; property=ABInformeAuditorIndependiente; declared_hash_matches_served_bytes=false
/research/ciclo_ajuste/inputs/source_sync/v161/binaries/cnv_attachments/bma_9m2023/informe_comision_fiscalizadora_sindico.pdf,CNV_PUBLIC_ATTACHMENT,https://aif2.cnv.gov.ar/presentations/publicview/9d3ded55-6d87-4ca2-9feb-920d961f3acd,71967,395fe0d4f0c63db9571969ceed9805a0b627dcc7e0ab974116f8b1a72b894e66,PDF_MAGIC_OK,blob_guid=1aa3bd1e-ef8d-445f-0e70-8c49374f9695; property=ABInformeComisionFiscalizadoraSindico; declared_hash_matches_served_bytes=false
/research/ciclo_ajuste/inputs/source_sync/v161/binaries/cnv_attachments/bma_9m2023/memoria.pdf,CNV_PUBLIC_ATTACHMENT,https://aif2.cnv.gov.ar/presentations/publicview/9d3ded55-6d87-4ca2-9feb-920d961f3acd,81653,105073ec0620bc8eabff062ace3289dd52659973f99cb9f83db70e5c6ea43277,PDF_MAGIC_OK,blob_guid=be477b5c-511a-4689-6b85-06a6eb38b5bb; property=ABMemoria; declared_hash_matches_served_bytes=false
/research/ciclo_ajuste/inputs/source_sync/v161/binaries/cnv_attachments/bma_9m2023/resena_informativa.pdf,CNV_PUBLIC_ATTACHMENT,https://aif2.cnv.gov.ar/presentations/publicview/9d3ded55-6d87-4ca2-9feb-920d961f3acd,155021,a0a4cf177db0d1bfce2e76471703981694e16796390d13dc36416f79519e0b32,PDF_MAGIC_OK,blob_guid=362325f1-94c3-4e7b-4b8d-69a621d2fe8b; property=ABResenaInformativa; declared_hash_matches_served_bytes=false
/research/ciclo_ajuste/inputs/source_sync/v161/binaries/cnv_attachments/bma_fy2023/estado_contable.pdf,CNV_PUBLIC_ATTACHMENT,https://aif2.cnv.gov.ar/presentations/publicview/36d0f59a-8e3f-42cd-bf18-db44e023f18d,2359016,10ebcac2aa1db399fa6045de278d4af98d5bd3c4b1f24c62b2b694914466c894,PDF_MAGIC_OK,blob_guid=39e368f5-4432-47b2-13b2-f1a383f47ec4; property=ABEstadoContable; declared_hash_matches_served_bytes=false
/research/ciclo_ajuste/inputs/source_sync/v161/binaries/cnv_attachments/bma_fy2023/informe_auditor_independiente.pdf,CNV_PUBLIC_ATTACHMENT,https://aif2.cnv.gov.ar/presentations/publicview/36d0f59a-8e3f-42cd-bf18-db44e023f18d,923123,d4fa4396a84e3e32d880ae1b923c9e5a02caec18d609bf48f9bb4615fc42c4a1,PDF_MAGIC_OK,blob_guid=85ca0955-cc0e-4408-374c-79fe361838f2; property=ABInformeAuditorIndependiente; declared_hash_matches_served_bytes=false
/research/ciclo_ajuste/inputs/source_sync/v161/binaries/cnv_attachments/bma_fy2023/informe_comision_fiscalizadora_sindico.pdf,CNV_PUBLIC_ATTACHMENT,https://aif2.cnv.gov.ar/presentations/publicview/36d0f59a-8e3f-42cd-bf18-db44e023f18d,963312,49facfca4e5da283d71cf9b6b257c662b45a59a8456f7dea7424c84069764254,PDF_MAGIC_OK,blob_guid=5813a324-6c4a-4b7d-4f44-b2ef98560c9b; property=ABInformeComisionFiscalizadoraSindico; declared_hash_matches_served_bytes=false
