object_id,owner_or_system,requested_record,minimum_usable_fields,success_test,negative_response_rule,status
RO148_01,CGN/SAF355,Serie especial de cierre 2008 que alimentó Anexo K,serie;inventario;responsable;fecha;remisión;hash,"Objeto individualizable y enlazable por ID, fecha, cuenta, signo e importe.","Informar series, repositorios, períodos, parámetros, migraciones y expurgos.",DRAFT_NOT_SENT
RO148_02,CGN/SAF355,Listados detallados parametrizados,consulta;parámetros;corte;filas;archivo;hash,"Objeto individualizable y enlazable por ID, fecha, cuenta, signo e importe.","Informar series, repositorios, períodos, parámetros, migraciones y expurgos.",DRAFT_NOT_SENT
RO148_03,CGN/SAF355,Consultas específicas de movimientos,sistema;dataset;filtros;resultado;diccionario,"Objeto individualizable y enlazable por ID, fecha, cuenta, signo e importe.","Informar series, repositorios, períodos, parámetros, migraciones y expurgos.",DRAFT_NOT_SENT
RO148_04,CGN/SAF355,Versiones sustituidas de cuadros/anexos,versión;fecha;motivo;responsable;diferencias,"Objeto individualizable y enlazable por ID, fecha, cuenta, signo e importe.","Informar series, repositorios, períodos, parámetros, migraciones y expurgos.",DRAFT_NOT_SENT
RO148_05,UAI/SAF355,Formularios de regularización certificados,tipo;número;estado;importe;certificación;respaldo,"Objeto individualizable y enlazable por ID, fecha, cuenta, signo e importe.","Informar series, repositorios, períodos, parámetros, migraciones y expurgos.",DRAFT_NOT_SENT
RO148_06,SIDIF/SICHE,Formulario 71597 completo,tipo;cabecera;renglones;estado;beneficiario;importe;orden,"Objeto individualizable y enlazable por ID, fecha, cuenta, signo e importe.","Informar series, repositorios, períodos, parámetros, migraciones y expurgos.",DRAFT_NOT_SENT
RO148_07,SIDIF/SICHE,Formulario 152677 completo,tipo;cabecera;renglones;estado;beneficiario;importe;orden,"Objeto individualizable y enlazable por ID, fecha, cuenta, signo e importe.","Informar series, repositorios, períodos, parámetros, migraciones y expurgos.",DRAFT_NOT_SENT
RO148_08,SIDIF/SICHE,Formulario 2876 completo,tipo;cabecera;renglones;estado;beneficiario;importe;orden,"Objeto individualizable y enlazable por ID, fecha, cuenta, signo e importe.","Informar series, repositorios, períodos, parámetros, migraciones y expurgos.",DRAFT_NOT_SENT
RO148_09,SIGADE/SIDIF,Mayorizado y crosswalk 83106000,evento;cuenta;asiento;formulario;orden;referencia,"Objeto individualizable y enlazable por ID, fecha, cuenta, signo e importe.","Informar series, repositorios, períodos, parámetros, migraciones y expurgos.",DRAFT_NOT_SENT
RO148_10,TGN,Orden y estado previo a cancelación,orden;fecha;estado;custodia;remisión,"Objeto individualizable y enlazable por ID, fecha, cuenta, signo e importe.","Informar series, repositorios, períodos, parámetros, migraciones y expurgos.",DRAFT_NOT_SENT
RO148_11,CGN,Orden cancelada remitida por TGN,orden;fecha de cancelación;recepción;cuerpo;anexos,"Objeto individualizable y enlazable por ID, fecha, cuenta, signo e importe.","Informar series, repositorios, períodos, parámetros, migraciones y expurgos.",DRAFT_NOT_SENT
RO148_12,TGN/BNA,Movimientos y saldos de la cuenta pública,cuenta;fecha valor;signo;importe;moneda;referencia;saldo,"Objeto individualizable y enlazable por ID, fecha, cuenta, signo e importe.","Informar series, repositorios, períodos, parámetros, migraciones y expurgos.",DRAFT_NOT_SENT
RO148_13,TGN,Constancia de requerimiento al BNA,fecha;alcance;respuesta;archivo;hash,"Objeto individualizable y enlazable por ID, fecha, cuenta, signo e importe.","Informar series, repositorios, períodos, parámetros, migraciones y expurgos.",DRAFT_NOT_SENT
RO148_14,BNA,Extracto o aviso de débito target,cuenta;fecha valor;código;signo;importe;referencia,"Objeto individualizable y enlazable por ID, fecha, cuenta, signo e importe.","Informar series, repositorios, períodos, parámetros, migraciones y expurgos.",DRAFT_NOT_SENT
RO148_15,CUT/SIDIF,Libro Banco y conciliación,movimiento;formulario;estado;grupo;reversa,"Objeto individualizable y enlazable por ID, fecha, cuenta, signo e importe.","Informar series, repositorios, períodos, parámetros, migraciones y expurgos.",DRAFT_NOT_SENT
RO148_16,UAI 03/2022,Informe Analítico y anexos,secciones;hallazgos;actas;inventarios;hash,"Objeto individualizable y enlazable por ID, fecha, cuenta, signo e importe.","Informar series, repositorios, períodos, parámetros, migraciones y expurgos.",DRAFT_NOT_SENT
RO148_17,UAI 51/2022,Informe Analítico secciones 5/6 y anexos,diferencias;papeles;registros;hash,"Objeto individualizable y enlazable por ID, fecha, cuenta, signo e importe.","Informar series, repositorios, períodos, parámetros, migraciones y expurgos.",DRAFT_NOT_SENT
RO148_18,UAI/ONCP,Componentes no redondeados REPO,importe fuente;precisión;asiento;regla;cálculo,"Objeto individualizable y enlazable por ID, fecha, cuenta, signo e importe.","Informar series, repositorios, períodos, parámetros, migraciones y expurgos.",DRAFT_NOT_SENT
