claim,v64,v65,reason
SYSTEM_PANEL_BASIS,MIXED_NOT_HARMONIZED,INDIVIDUAL_ENTITY_REGULATORY_WITH_EXPLICIT_SYSTEM_NETTING,BCRA IEF identifies individual entity inputs and aggregate methodology; consolidated group filings moved to control-only role.
FULL_FOUR_LEG_Q4_ENTITY_COUNT_STRICT_SYSTEM_BASIS,2_ENTITIES_DIFFERENT_BASES,1_EXACT_ELIGIBLE_ICBC,Ciudad remains exact but consolidated; strict V65 system panel excludes it until individual Annex Q retrieval.
BANK_SYSTEM_COVERAGE_DENOMINATOR,N/D,"96,697,695.5_MILLION_ARS_ASSETS_DEC2023",Official BCRA Banks aggregate identified; 63 banks.
STRICT_Q4_FOUR_LEG_EXACT_ASSET_COVERAGE,N/D,4.101042%,Only ICBC is full-four-leg exact Q4 and target-basis compatible.
BAPRO_FY_FOUR_LEG,NOT_RETRIEVED,IDENTIFIED_EXACT_SEPARATED,Official FY Annex Q explicitly shows BCRA pass income and other-FI pass expense; 9M still missing.
CREDICOOP_FY_FOUR_LEG,NOT_RETRIEVED,IDENTIFIED_EXACT_SEPARATED,Official FY Annex Q shows all pass income against BCRA and no pass expense; 9M compatible PDF still not retrieved.
SYSTEM_INTERBANK_PASS_CANCELLATION,NOT_IDENTIFIED_CLOSED_COVERAGE_AND_BASIS_HARMONIZATION_MISSING,NOT_IDENTIFIED_COVERAGE_TOO_LOW,"Basis harmonization is now resolved, but exact target-basis Q4 asset coverage is only ~4.10%; open subset cannot test system cancellation."
IEF_7_7PP_BCRA_SHARE,N/D,N/D,Official denominator improves coverage diagnostics but compatible system pass numerator remains missing.
HOUSEHOLD_ORIGINATION_HOLDER_DETAIL,STOCK_SECTOR_EVIDENCE_ONLY,ADDITIONAL_BCRA_RATE_AMOUNT_DATA_BY_HOLDER_AVAILABLE,"BCRA publishes lending rates and operated amounts by holder type, but this is not Annex Q accrued interest."
HOUSEHOLD_ANNEX_Q_ACCRUED_INTEREST_FLOW_BRIDGE,NOT_IDENTIFIED,NOT_IDENTIFIED,No direct accounting bridge from Annex Q product interest rows to human/legal holder sector was identified.
DIRECT_HOUSEHOLD_TO_BANK_TRANSFER,NOT_IDENTIFIED,NOT_IDENTIFIED,No direct system accounting identity; no stock/origination-to-accrued-interest inference performed.
HTML_MODIFICATION,FORBIDDEN,FORBIDDEN,Frozen gate retained.
