claim,status,evidence,caveat,scope,next
V65_SYSTEM_PANEL_BASIS,HARMONIZED,BCRA IEF Dec-2023 publishes individual entity information and institutional aggregates; aggregation footnote and anti-duplication notes documented.,Does not itself prove every Annex Q flow can be raw-summed without system netting.,system methodology,V66 retrieval on individual basis
V65_BANK_ASSET_DENOMINATOR,IDENTIFIED_OFFICIAL,"Banks aggregate assets Dec-2023 = 96,697,695.5 million ARS; 63 banks.",Coverage denominator is diagnostic only; no weighting/extrapolation of pass flows.,bank system Dec-2023,recompute coverage as entities added
V65_STRICT_Q4_FOUR_LEG_EXACT_COVERAGE,4.101042%_ASSETS,ICBC exact Q4 four-leg on individual basis + official BCRA entity assets.,One entity/open network.,Q4-2023,retrieve additional individual 9M/FY pairs
V65_ICBC_GALICIA_INDIVIDUAL_OTHERFI_SUBSET,IDENTIFIED_OPEN_SUBSET,otherFI income=6192393.115; expense=2366000.017; net=3826393.098 thousand ARS; asset footprint=13.070316%.,Open subset; Galicia BCRA expense missing; cannot test system cancellation.,Q4-2023 individual basis,expand four-leg coverage
V65_BAPRO_FY_FOUR_LEG,IDENTIFIED_EXACT,"FY separated Annex Q: BCRA income 1,040,489,497; otherFI expense 2,428; remaining pass legs zero.","FY annual control, not Q4; compatible official 9M not retrieved.",Banco Provincia FY-2023,retrieve 9M individual Annex Q
V65_CREDICOOP_FY_FOUR_LEG,IDENTIFIED_EXACT,"FY separated Annex Q: pass income/BCRA 180,887,922; no pass expense row and expense-total identity closes without pass expense.","FY annual control, not Q4; 9M publication located but compatible PDF not retrieved.",Banco Credicoop FY-2023,retrieve 9M individual Annex Q
V65_SYSTEM_INTERBANK_CANCELLATION,NOT_IDENTIFIED,Basis gate solved but strict full-four-leg exact Q4 coverage is only ICBC (~4.10% assets).,Open network remains material.,system Q4-2023,V66 individual AQ retrieval
V65_IEF_PASS_BCRA_SHARE,N/D,System denominator for asset coverage exists; pass-flow numerator coverage remains insufficient.,Assets cannot be used to scale pass flows.,IEF Q4-2023,high-coverage numerator bridge
V65_HOUSEHOLD_ORIGINATION_SECTOR_DETAIL,AVAILABLE_FOR_BCRA_LENDING_STATISTICS,"BCRA lending-rate page provides line-by-holder type, monthly rates and amounts operated.",Origination/operated amounts are not accrued Annex Q interest flow.,system lending statistics,search direct Annex Q flow-sector bridge only
V65_HOUSEHOLD_ANNEX_Q_FLOW_BRIDGE,NOT_IDENTIFIED,No accounting source found that allocates Annex Q accrued product interest to PH/PJ.,No stock or origination shares converted to interest-flow shares.,system Q4-2023,retain N/D unless direct bridge found
V65_DIRECT_HOUSEHOLD_TO_BANK_TRANSFER,NOT_IDENTIFIED,No contractual/system accounting identity closes household loss to bank abnormal result.,Do not infer transfer from parallel magnitudes.,causal/distributive,unchanged gate
