entity,basis,period,income_bcra,expense_bcra,income_otherfi,expense_otherfi,net_bcra,net_otherfi,quality,target_basis_compatible,system_panel_eligible_v65,v65_note
Banco Ciudad de Buenos Aires,CONSOLIDATED,Q4-2023,0,0,370794209.0769231,327736.1227385137,0,370466472.95418453,EXACT,NO_CONSOLIDATED_CONTROL_ONLY,NO,Valid entity/group control; excluded from strict individual system panel until individual Annex Q is retrieved.
Banco Macro SA,CONSOLIDATED,Q4-2023,83520202.8273678,0,647816.0410429954,2711008.8356978633,83520202.8273678,-2063192.7946548678,EXPENSE_APPROX_FROM_ROUNDED_QUARTERLY_TABLE,NO_CONSOLIDATED_CONTROL_ONLY,NO,Control only; otherFI expense approximate.
Banco de Galicia y Buenos Aires SAU,INDIVIDUAL,Q4-2023,228495363.41333684,N/D,6150559.389648143,1422129.1574905645,N/D,4728430.232157579,PARTIAL_EXACT,YES,NO_INCOMPLETE_FOUR_LEG,"Basis-compatible and useful for otherFI subset, but BCRA expense leg remains missing."
Banco Santander Argentina SA,CONSOLIDATED,Q4-2023,0_to_6246336.000000,N/D,>=196390099.295284,N/D,N/D,N/D,COUNTERPARTY_BOUND_ONLY,NO_CONSOLIDATED_CONTROL_ONLY,NO,Inherited entity bound only.
BBVA Argentina,CONSOLIDATED,Q4-2023,N/D,N/D,N/D,N/D,N/D,N/D,TOTAL_ONLY_COUNTERPARTY_UNSPLIT,NO_CONSOLIDATED_CONTROL_ONLY,NO,Individual Annex Q split still needed.
Grupo Supervielle / Banco Supervielle,CONSOLIDATED,Q4-2023,N/D,N/D,N/D,N/D,N/D,N/D,PASS_LIKE_TOTAL_UNSPLIT,NO_CONSOLIDATED_CONTROL_ONLY,NO,Individual Annex Q split still needed.
Banco de la Nacion Argentina,CONSOLIDATED,FY-2023,766170918,0,3980009,0,766170918,3980009,ANNUAL_CONTROL_NOT_Q4,NO_CONSOLIDATED_CONTROL_ONLY,NO,Individual 9M/FY pair needed.
Industrial and Commercial Bank of China (Argentina) S.A.U.,INDIVIDUAL_STANDALONE,Q4-2023,199396505.326565,0,41833.72489,943870.859083,199396505.326565,-902037.134193,EXACT_FROM_OFFICIAL_9M_AND_FY_HOMOGENEOUS_DIFFERENCING,YES,YES_EXACT_Q4_TARGET_BASIS,Only exact full-four-leg Q4 entity currently eligible after strict basis harmonization.
Banco de la Provincia de Buenos Aires,SEPARATED_INDIVIDUAL,FY-2023,1040489497.0,0,0,2428.0,1040489497.0,-2428.0,EXACT_OFFICIAL_ANNEX_Q,YES,NO_FY_NOT_Q4,New V65 exact FY control; compatible official 9M filing not retrieved.
Banco Credicoop Cooperativo Limitado,SEPARATED_INDIVIDUAL,FY-2023,180887922.0,0,0,0,180887922.0,0,EXACT_OFFICIAL_ANNEX_Q,YES,NO_FY_NOT_Q4,New V65 exact FY control; 9M publication located but compatible PDF not retrieved.
