object_id,requested_record,minimum_fields,success_test,negative_response_rule,status,source_id
RO145_01,Inventario de consultas/datasets SICHE-SLU,nombre;descripción;período;campos;filtros;corte,archivo/constancia individualizable y reproducible,no basta respuesta genérica ni consulta actual sin cobertura,DRAFT_NOT_SENT,E0_SLU_BACKUP_RETENTION_DUTY_V158.csv;E0_SLU_MIGRATION_DOCUMENT_CHAIN_V158.csv;E0_SICHE_SLU_LEGAL_CUSTODY_EXPORT_ROUTE_V158.csv
RO145_02,Exportación SICHE SLU 2008 con parámetros,consulta;filtros;universo;filas;archivo;hash,archivo/constancia individualizable y reproducible,no basta respuesta genérica ni consulta actual sin cobertura,DRAFT_NOT_SENT,E0_SLU_BACKUP_RETENTION_DUTY_V158.csv;E0_SLU_MIGRATION_DOCUMENT_CHAIN_V158.csv;E0_SICHE_SLU_LEGAL_CUSTODY_EXPORT_ROUTE_V158.csv
RO145_03,Procedimiento de resguardo aplicable al SLU,versión;vigencia;responsable;frecuencia;retención,archivo/constancia individualizable y reproducible,no basta respuesta genérica ni consulta actual sin cobertura,DRAFT_NOT_SENT,E0_SLU_BACKUP_RETENTION_DUTY_V158.csv;E0_SLU_MIGRATION_DOCUMENT_CHAIN_V158.csv;E0_SICHE_SLU_LEGAL_CUSTODY_EXPORT_ROUTE_V158.csv
RO145_04,Inventario de backups SLU 2006-2009,equipo;instancia;esquema;fecha;tipo;lote;soporte;ubicación,archivo/constancia individualizable y reproducible,no basta respuesta genérica ni consulta actual sin cobertura,DRAFT_NOT_SENT,E0_SLU_BACKUP_RETENTION_DUTY_V158.csv;E0_SLU_MIGRATION_DOCUMENT_CHAIN_V158.csv;E0_SICHE_SLU_LEGAL_CUSTODY_EXPORT_ROUTE_V158.csv
RO145_05,Registro diario de soportes,fecha;equipo;cinta;lote;reuso;guarda;firma,archivo/constancia individualizable y reproducible,no basta respuesta genérica ni consulta actual sin cobertura,DRAFT_NOT_SENT,E0_SLU_BACKUP_RETENTION_DUTY_V158.csv;E0_SLU_MIGRATION_DOCUMENT_CHAIN_V158.csv;E0_SICHE_SLU_LEGAL_CUSTODY_EXPORT_ROUTE_V158.csv
RO145_06,Logs de ejecución/verificación,job;inicio;fin;resultado;error;checksum,archivo/constancia individualizable y reproducible,no basta respuesta genérica ni consulta actual sin cobertura,DRAFT_NOT_SENT,E0_SLU_BACKUP_RETENTION_DUTY_V158.csv;E0_SLU_MIGRATION_DOCUMENT_CHAIN_V158.csv;E0_SICHE_SLU_LEGAL_CUSTODY_EXPORT_ROUTE_V158.csv
RO145_07,Actas mensuales de recuperación,fecha;backup;archivos;tiempo;resultado;problemas;firmas,archivo/constancia individualizable y reproducible,no basta respuesta genérica ni consulta actual sin cobertura,DRAFT_NOT_SENT,E0_SLU_BACKUP_RETENTION_DUTY_V158.csv;E0_SLU_MIGRATION_DOCUMENT_CHAIN_V158.csv;E0_SICHE_SLU_LEGAL_CUSTODY_EXPORT_ROUTE_V158.csv
RO145_08,Inventario histórico y traslados,soporte;fecha;edificio;responsable;custodia,archivo/constancia individualizable y reproducible,no basta respuesta genérica ni consulta actual sin cobertura,DRAFT_NOT_SENT,E0_SLU_BACKUP_RETENTION_DUTY_V158.csv;E0_SLU_MIGRATION_DOCUMENT_CHAIN_V158.csv;E0_SICHE_SLU_LEGAL_CUSTODY_EXPORT_ROUTE_V158.csv
RO145_09,Acta Acuerdo SLU del SAF objetivo,expediente;firmantes;fecha;cronograma;versión,archivo/constancia individualizable y reproducible,no basta respuesta genérica ni consulta actual sin cobertura,DRAFT_NOT_SENT,E0_SLU_BACKUP_RETENTION_DUTY_V158.csv;E0_SLU_MIGRATION_DOCUMENT_CHAIN_V158.csv;E0_SICHE_SLU_LEGAL_CUSTODY_EXPORT_ROUTE_V158.csv
RO145_10,Backup previo a cada migración,sistema;fecha;soporte;hash;restaurabilidad,archivo/constancia individualizable y reproducible,no basta respuesta genérica ni consulta actual sin cobertura,DRAFT_NOT_SENT,E0_SLU_BACKUP_RETENTION_DUTY_V158.csv;E0_SLU_MIGRATION_DOCUMENT_CHAIN_V158.csv;E0_SICHE_SLU_LEGAL_CUSTODY_EXPORT_ROUTE_V158.csv
