dato_id,item_epica,dato,tipo_variable,universo_unidad,periodo,estado,institucion,fuente,confianza,limite,fecha_corte
D01,3-4,Resultado financiero SPN 2023/2024,flujo fiscal,SPN; % PIB,2023-2024,observado,local derivado de serie oficial,data/derivados/pendulo_poder_economico/fiscal_result_2002_2026.csv,alta,No identifica hogares/empresas,2026-08-31
D02,3,Cuenta corriente 2023/2024,flujo externo,economía total; USD,2023-2024,observado provisorio,INDEC,https://www.indec.gob.ar/uploads/informesdeprensa/bal_03_25B8ADD14506.pdf,alta,No desagrega ahorro de hogares,2026-08-31
D03,3-4,Uso de ahorros por hogares,incidencia de estrategia,hogares; porcentaje,2018/2024,observado,INDEC EPH,https://www.indec.gob.ar/ftp/cuadros/publicaciones/dosier_estrategias_manutencion_2025.pdf,alta,No cuantifica pesos ni stock,2026-08-31
D04,3,Stock ahorro/inversión de personas humanas,stock financiero,personas humanas; pesos reales,2023-2025,observado con posible revisión,BCRA,https://www.bcra.gob.ar/publicaciones/informe-de-inclusion-financiera-segundo-semestre-del-2024/,media,"El empalme mecánico da 96.63 vs 105,5 reportado; brecha 8.87 pp",2026-08-31
D05,4,Índices salariales reales,precio/ingreso real,promedios sectoriales,2023-11/2026-06,observado,INDEC,https://www.indec.gob.ar/indec/web/Nivel4-Tema-4-31-61 | https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-5-31,alta salvo no registrado,"Promedio, no distribución",2026-08-31
D06,17,RIGI aprobados: inversión y empleo,compromiso/proyección,16 proyectos,2026-06-11,aprobado y proyectado,Ministerio de Economía,https://www.argentina.gob.ar/noticias/el-ministerio-de-economia-lanzo-una-web-oficial-con-la-informacion-de-los-proyectos-del,media,No ejecución ni permanencia,2026-08-31
D07,17-40,Pampa urea,proyección de proyecto,un proyecto,2026-07-31,aprobado/proyectado,Presidencia,https://www.argentina.gob.ar/node/509056,media,Temporal y permanente no son simultáneos,2026-08-31
D08,18-19,EMAE desestacionalizado,actividad,economía agregada,2023-11/2026-04,observado,INDEC,https://www.indec.gob.ar/ftp/cuadros/economia/sh_emae_mensual_base2004.xls,alta,No es inversión ni productividad sectorial,2026-08-31
D09,18-19,Empleo privado registrado,stock de personas,SIPA,2023-11/2026-04,observado,Secretaría de Trabajo,https://www.argentina.gob.ar/trabajo/estadisticas | https://www.argentina.gob.ar/sites/default/files/sis-2024.02_1.pdf,alta,Revisar cambios de padrón; no incluye informalidad,2026-08-31
D10,20,Neutralidad IIBB,identidad tributaria,base y alícuota,escenario,derivado,fórmula,este script,alta aritmética,No estima elasticidades,2026-08-31
D11,23,Inversión pública ejecutada,flujo presupuestario,Administración Nacional,2023-2025,observado,OPC/E-Sidif,https://opc.gob.ar/ejecucion-presupuestaria/ejecucion-mensual-base-devengado/analisis-de-la-ejecucion-presupuestaria-de-la-inversion-publica-2024/ | https://opc.gob.ar/ejecucion-presupuestaria/ejecucion-mensual-base-devengado/analisis-de-la-ejecucion-presupuestaria-de-la-inversion-publica-2025/,alta,No mide depreciación física,2026-08-31
D12,37,Corredores viales,input/output contractual,km concesionados,2025-2026,observado administrativo,Vialidad/Argentina.gob.ar,data/derivados/rutas_publico_privado/rutas_publico_privado_corredores.csv,alta para status,No son km construidos,2026-08-31
D13,38,Proveniencia institucional,control de calidad,INDEC/OPC/PEN,2026-08-31,auditado,fuentes primarias,URLs de esta matriz,media-alta,Fuente promotora no reemplaza auditor independiente,2026-08-31
