priority,entity,missing_artifact,why,status
1,Banco Hipotecario S.A.,Physical originals of official 30/09/2023 and 31/12/2023 issuer PDFs,V99/V100 arithmetic exact; preservation alone blocks ~1.409pp.,ANALYTICALLY_RESOLVED_SOURCE_PRESERVATION_HOLD
2,Banco Columbia S.A.,Physical originals 10184.pdf and 10253.pdf,V97 bridge exact; preservation alone blocks ~0.188pp.,ANALYTICALLY_RESOLVED_SOURCE_PRESERVATION_HOLD
3,BACS Banco de Credito y Securitizacion S.A.,Official BACS 30/09/2023 and 31/12/2023 PDFs,V101 direct separated 9M+FY four-leg resolved; preservation alone blocks ~0.154pp.,ANALYTICALLY_RESOLVED_SOURCE_PRESERVATION_HOLD
4,Banco Municipal de Rosario,Official BMR 30/09/2023 and 31/12/2023 PDFs,V101 four-leg resolved with annual-note control for FY Annex-Q header typo; preservation alone blocks ~0.151pp.,ANALYTICALLY_RESOLVED_SOURCE_PRESERVATION_HOLD
5,Banco Provincia de Tierra del Fuego,Official BTF Balance y Memoria 2023 PDF,V101 BTF-only FY issuer/raw crosswalk resolves four legs; preservation alone blocks ~0.139pp.,ANALYTICALLY_RESOLVED_SOURCE_PRESERVATION_HOLD
6,Banco Mariva S.A.,Actual CNV individual attachments #3122483 and #3165651,Exact individual filings identified; attachment bodies missing.,ATTACHMENT_BINARY_DISCOVERY_HOLD
7,HSBC Bank Argentina S.A.,Actual CNV individual attachments #3121099 and #3163537,Exact individual filings identified; issuer body needed for entity-specific crosswalk.,MANUAL_RECOVERY_EXACT_PRESENTATIONS_CONFIRMED
8,Banco BMA / ex Banco Itau Argentina S.A.,Actual CNV individual attachments #3119515 and ordinary FY #3171909,V100 excludes #3177414 as special merger balance.,TARGET_CORRECTED_ATTACHMENT_RECOVERY
9,Banco de la Nacion Argentina,Separated 30/09/2023 interest opening or explicit 521007 presentation mapping,Resolve Sep 521007 without backward inference.,OPEN
10,Banco Santander Argentina SA,Explicit 30/09/2023 BCRA-vs-otherFI accumulated-flow split below separated pass-income total,Closing-stock counterparty cannot substitute for YTD flow split.,OPEN
11,Banco de Corrientes S.A.,Official FY2023 binary documentid=1193 then compatible Sep bridge,Exact endpoint identified; binary still not recovered.,HOLD_EXACT_BINARY_ENDPOINT_READY_FOR_MANUAL_RESCUE
12,Banco de Santiago del Estero S.A.,Official FY2023 issuer Annex Q/counterparty opening plus compatible Sep bridge,Raw 511108 alone cannot establish counterparty.,HOLD_ISSUER_CROSSWALK_NOT_RECOVERED
13,Banco CMF S.A.,Explicit same-year pass-result BCRA-vs-otherFI flow opening,Source bodies exact; closing stock cannot substitute for flow split.,HOLD_SOURCE_BODY_RECOVERED_FLOW_SPLIT_MISSING
14,Banco del Chubut S.A.,Official FY/9M 2023 Annex Q counterparty opening,Raw candidate exists but no issuer-specific split.,HOLD_ISSUER_CROSSWALK_NOT_RECOVERED
