claim,v59_status,v60_status,reason
A_Q_ANNUAL_ONLY_ASSUMPTION,SUPPORTED,REJECTED_FOR_PUBLISHED_INTERIM_STATEMENTS,multiple Sep-2023 interim Annex Qs
A_Q_QUARTERLY_FLOW_SCHEMA,N/D,STRONG_SUPPORT,Macro and Ciudad direct quarter + 9M
FULL_IEF_7_7PP_PASS_GAP_IS_BCRA,IMPLICITLY_STRONG,NOT_ESTABLISHED,pass income can be BCRA or other-FI
7_7PP_AS_STRICT_BCRA_FLOOR,7.7_PP_26.83_PERCENT,REVOKED,generic IEF pass bucket not proven all-BCRA
BCRA_PASS_CHANNEL,STRONG_SUPPORT,STRONG_SUPPORT_CHANNEL_NOT_FULL_BUCKET,"where A-Q separates BCRA, flow is direct"
OTHER_FI_PASS_CHANNEL,N/D,SUPPORTED_ENTITY_LEVEL,Macro and Ciudad show other-FI passes
HOUSEHOLD_LIKE_QUARTERLY_PRODUCT_FLOW,SCHEMA_IDENTIFIED,IDENTIFIED_ENTITY_LEVEL,mortgages+pledged+personal+cards
HOUSEHOLD_SYSTEM_Q4_POINT_ESTIMATE,N/D,N/D,coverage incomplete and product proxy
TREASURY_COUNTERPARTY_FROM_PUBLIC_SECURITIES,NOT_ESTABLISHED,NOT_ESTABLISHED,issuer mix unresolved
DIRECT_HOUSEHOLD_TO_BANK_TRANSFER,NOT_IDENTIFIED,NOT_IDENTIFIED,no system accounting identity
