script,pre_v133_result,post_v133_result,interpretation
qa_v97.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,V97 congela una ausencia luego resuelta.
qa_v98.py,PASS,PASS,Compatible
qa_v100.py,PASS,PASS,Compatible
qa_v101.py,PASS,PASS,Compatible
qa_v102.py,PASS,PASS,Compatible
qa_v103.py,PASS,PASS,Compatible
qa_v104.py,PASS,PASS,Compatible
qa_v105.py,PASS,PASS,Compatible
qa_v106.py,PASS,PASS,Compatible
qa_v107.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v108.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v109.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v110.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v111.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v112.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v113.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v114.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v115.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v116.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v117.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v118.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v119.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v120.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v121.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v122.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v123.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v124.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v125.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v126.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v127.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v128.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,Congela un checkpoint o conteo anterior.
qa_v129.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,V129 congela los conteos de catálogo y fuentes anteriores a las dos comunicaciones BCRA preservadas en V130.
qa_v130.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,V130 congela conteos previos al nuevo localizador AGN y no contiene la escalera probatoria V131.
qa_v131.py,EXPECTED_SUPERSEDED_ASSERTION,EXPECTED_SUPERSEDED_ASSERTION,V131 is superseded by seven new sources and V132 counts.
qa_v132.py,PASS,EXPECTED_SUPERSEDED_ASSERTION,V132 is superseded by archival-route sources and V133 counts.
qa_v133.py,N/A,PASS,"Parliamentary locators, COMDOC route, disclosure transitions and non-execution boundaries verified."
