row_id,query_name,proved_filter_or_field,target_input,requested_output,positive_result_use,zero_result_limit,status,source_id
NQ140_01,Formulario por Pda. Presupuestaria y Sigade,partida presupuestaria + SIGADE,7.2.8;83106000;ejercicio2008;SAF355,exportación completa y diccionario,identifica formulario y contexto SIGADE,no prueba inexistencia ni falta de pago,EXACT_NAMED_QUERY_PROVED_NOT_RUN,e0_dgsiaf_siche_special_queries_2022_q3
NQ140_02,Formulario por Pda. Presupuestaria y Sigade,Beneficiario,sin filtro primero; luego BNA/Banco Nación y valor que devuelva la fila,código;denominación;CUIT si obra,resuelve beneficiario registral,la leyenda de cuenta no garantiza que BNA sea beneficiario,EXACT_FILTER_PROVED_NOT_RUN,e0_dgsiaf_siche_special_queries_2022_q3
NQ140_03,Formulario por Pda. Presupuestaria y Sigade,Clasificador Económico,valor sin restringir; recuperar valor de salida,clasificador y descripción,clasifica naturaleza económica,no usar un valor supuesto para excluir filas,EXACT_FILTER_PROVED_NOT_RUN,e0_dgsiaf_siche_special_queries_2022_q3
NQ140_04,Formulario por Pda. Presupuestaria y Sigade,Observaciones de la orden de pago,comisión;Banco Nación;83106000;71597;152677;2876,texto íntegro de observaciones,"puede vincular propósito, medio o antecedente",campo vacío no equivale a operación inexistente,EXACT_OUTPUT_FIELD_PROVED_NOT_RUN,e0_dgsiaf_siche_special_queries_2022_q3
NQ140_05,Gastos por Beneficiarios,consulta especial,SAF355;ejercicio2008;BNA/Banco Nación;partida7.2.8,formulario;beneficiario;importe;estado;vínculos,control independiente por beneficiario,BNA puede no ser el beneficiario registral,NAMED_QUERY_PROVED_NOT_RUN,e0_dgsiaf_siche_special_queries_2022_q3
NQ140_06,Deuda Exigible hasta 2008,consulta especial,SAF355;71597;152677;2876;83106000,definición temporal;estado;saldo;fecha de corte,puede identificar deuda exigible al corte de la consulta,"ausencia no prueba pago, anulación o inexistencia",NAMED_QUERY_PROVED_SEMANTICS_OPEN_NOT_RUN,e0_dgsiaf_siche_special_queries_2022_q3
NQ140_07,Consulta detallada de asientos 2001 a 2012,Debe y Haber,ejercicio2008;importe32270.30;cuenta/descripcion,Debe;Haber;signo;fecha,identifica sentido contable,asiento contable no prueba débito bancario,NAMED_QUERY_FIELDS_PROVED_NOT_RUN,e0_dgsiaf_siche_special_queries_2022_q3
NQ140_08,Consulta detallada de asientos 2001 a 2012,descripción de cuenta contable,comisiones;Banco Nación;cuentas vinculadas,cuenta;código;descripción,permite construir contrapartida,descripción SIGADE y cuenta contable son dominios distintos,NAMED_QUERY_FIELDS_PROVED_NOT_RUN,e0_dgsiaf_siche_special_queries_2022_q3
NQ140_09,Consulta detallada de asientos 2001 a 2012,número de asiento anual + tipo,ejercicio2008;Normal;importe/fecha,número anual;tipo Inicio/Normal/Cierre,distingue movimiento operativo de apertura/cierre,sin diccionario no asignar un asiento al target,NAMED_QUERY_FIELDS_PROVED_NOT_RUN,e0_dgsiaf_siche_special_queries_2022_q3
NQ140_10,Paquete discriminante V140,cuatro consultas preexistentes,runbook V140,exportaciones separadas + parámetros + conteos,"resuelve tipo, beneficiario, contabilidad y posible deuda exigible","cero sólo es evaluable con metadatos, diccionario y cobertura",EXACT_QUERY_PACKAGE_PROVED_TARGET_ROWS_OPEN,e0_dgsiaf_siche_special_queries_2022_q3

