break_id,dimension,problem,rule,status,evidence
authorization_not_realization,phase,"Legal authorization or ceiling does not prove issuance delivery or payment.",Keep authorization in its own phase and never carry amounts forward automatically.,FROZEN,"Decree 214 art. 7; Decree 905 arts. 28-29; Law 25.796 arts. 2-4"
formula_not_total,aggregation,"Decree 905 defines entity-level balance formulas without a closed aggregate amount.",Report the formula and leave the aggregate open until issuer/accounting evidence supplies it.,FROZEN,"Decree 905 art. 29"
issuance_not_cash,phase,"Issued and placed debt is a liability stock rather than a cash disbursement.",Label stock and instrument; do not call it paid cash.,FROZEN,"CGN 2002 p.34; ONP 2003Q4 cuadro 37"
nominal_vs_updated,valuation,"Original nominal amount and updated ARS/USD values are different measures.",Preserve source currency date and valuation basis; never mix columns.,FROZEN,"CGN 2002 p.34; ONP 2003Q4 cuadro 37"
stock_not_flow,time,"End-year stocks combine issuance amortization redemption valuation and corrections.",Do not infer annual flows from stock deltas without a transaction bridge.,FROZEN,"E0_FISCAL_STOCK_FLOW_BRIDGE_V110.csv"
issuer_vs_holder,universe,"Treasury issuer stock and BCRA-reported bank holdings/receivables cover different universes.",Keep ONP/CGN issuer tables separate from BCRA beneficiary balance-sheet stocks.,FROZEN,"ONP 2003Q4 cuadro 37; BCRA BEF table IV.1"
receivable_not_received,phase,"Compensaciones a recibir are recognized claims rather than delivered assets.",Classify as receivable and not as payment.,FROZEN,"BCRA BEF table IV.1"
accounting_transfer_not_cash,accounting,"CGN transfers-granted rows are compatibility/reconciliation entries between budget and accounting records.",Use as accounting recognition and not as proof of cash movement.,FROZEN,"CGN 2002 p.126; CGN 2003 p.136"
mixed_boden_origins,purpose,"Broad BODEN totals include compensation coverage depositors quasi-currency redemption and 13-percent restitution.",Use the official purpose buckets and never label total BODEN as bank aid.,FROZEN,"ONP 2003Q4 cuadro 37"
coverage_not_free_transfer,mechanism,"Coverage can involve exchange or subscription and potential BCRA financing after applying peso bonds.",Separate compensation exchange subscription and BCRA advance legs.,FROZEN,"Decree 905 art. 29(e-g); BCRA 2003 pp.82-83"
bcra_advance_not_treasury_transfer,institution,"BCRA advances and BCRA obligations to the Treasury are financing balances.",Keep them out of Treasury compensation flows.,FROZEN,"BCRA 2003 pp.82-86"
amparo_deferral_not_compensation,mechanism,"Sixty-installment loss deferral smooths accounting recognition.",Exclude from fiscal transfer amounts.,FROZEN,"BCRA BEF p.24"
final_validation_pending,vintage,"The definitive compensation amount and assets remained pending at end-2003.",Do not publish a final through-2003 realized total.,FROZEN,"BCRA 2003 pp.82-83"
named_pagare_overlap,entity,"Named 2003 accounting entries may overlap pre-existing instrument stocks.",Do not add Galicia/Citibank notes to ONP stocks without instrument identifiers and dates.,FROZEN,"CGN 2003 p.136; ONP 2002/2003 stock tables"
compensation_not_net_gain,incidence,"A compensation asset can coexist with losses funding costs duration mismatch and FX mismatch.",Do not equate gross compensation with bank profit or final household-to-bank incidence.,FROZEN,"BCRA Congress 2002 pp.28-36; BCRA BEF pp.8-49"
workbook_scope_gap,source,"hist_bcra_baldethis.xls contains risk/result tables but no detailed fiscal compensation ledger.",Record the negative audit and do not fabricate a fiscal series from unrelated balance rows.,FROZEN,"Read-only workbook inspection V110"
