priority,episode,variable_family,target_artifact,preferred_source,status,why,next_action
P0,E0_2001_2003,shock,"Announcement norm publication implementation and market-onset sensitivity table","BCRA + InfoLeg + Ministerio de Economía",PRIMARY_MAP_BUILT_PARTIAL,"legal chronology is preserved but no single t0 is defensible","Freeze multiple t0 candidates and episode windows; do not collapse"
P0,E0_2001_2003,banks,"Normalize BCRA balance/result carriers and exact loss/recovery clocks",BCRA,PRIMARY_CARRIERS_FOUND,"system stress is documented but comparable monthly bridge is not built","Extract with currency universe entity and reporting-break metadata"
P0,E0_2001_2003,state_bcra,"Realized fiscal accounting for pesification compensation and public absorption",Tesoro+BCRA+AGN,LEGAL_MAP_BUILT_AMOUNT_OPEN,"mechanisms are known but authorization/emission/valuation/payment are not reconciled","Build mechanism ledger with gross realized amount and payer/recipient distinctions"
P0,E0_2001_2003,households,"Official wages employment poverty consumption and purchasing-power sources",INDEC,OPEN_SOCIAL_GAP,"household deposit/loan stocks exist but social recovery clocks do not","Inventory primary series vintages and method breaks"
P0,E0_2001_2003,risk,"Exact mora provisions write-offs capital and liquidity sequence",BCRA,PRIMARY_CARRIERS_FOUND_EXTRACTION_OPEN,"balance carrier exists but risk clocks are not frozen","Extract tables and validate against monthly/annual reports"
P0,E0_2001_2003,banks,"Issuer financial statements and audit reports for material banks",Issuers+CNV+AGN,OPEN_HETEROGENEITY_GAP,"system aggregates can hide gains/losses by institution","Prioritize material institutions and reconcile to BCRA aggregates"
P1,E0_2001_2003,state_bcra,"Independent public audits of compensation/resolution mechanisms",AGN,OPEN,"needed to reconcile legal design with realized flows","Search AGN catalog using the frozen mechanism list"
P1,E0_2001_2003,shock,"Program and diagnosis documents",IMF+World Bank+IDB,DISCOVERY_SECONDARY,"useful for external chronology but not a substitute for local primary decisions","Add only after local primary map and label secondary"
P1,E2_2014,credit,"Compatible realized all-in credit cost and stock/origination bridge",BCRA,OPEN,"current support is partial","Check preserved sources before downloading duplicates"
P1,E4_2018_2019,credit,"Compatible originations, rates and borrower-service bridge",BCRA,OPEN,"current causal credit channel is incomplete","Separate pre-existing mora trend from post-t0 credit dynamics"
P1,E5_2020_2021,risk,"Forbearance, classification and provision-rule timeline",BCRA,OPEN_SPECIAL_REGIME,"required before any comparison","Build special-regime metadata only"
P1,E6_2023_2026,banks,"Exact CNV attachment contract and six target issuer binaries",CNV,OPEN,"blocks Mariva/HSBC/BMA exact crosswalks","Observe path+verb+payload; never guess GetPublicValetKey route"
P1,E6_2023_2026,banks,"Banco Rioja compatible 9M opening and 158,789k mismatch explanation",Issuer+BCRA,OPEN_FALSIFIER,"global account mapping remains disproved","Seek documentary reconciliation; do not fit residual"
