source_id,entity,period,url,local_path,bytes,sha256,magic,pages,pdfinfo_ok,content_check,duplicate_catalog_hash_before_ingest,strict_use
hipotecario_eeff_9m2023_sep_pending,Banco Hipotecario S.A.,9M-2023,https://www.hipotecario.com.ar/media/BHSA_ESTADOS_FINANCIEROS_AL_30-09-2023.pdf,/research/ciclo_ajuste/inputs/issuer_retrieval/v106/binaries/hipotecario_9m_2023.pdf,2388738,ba05f02ae6edac2b3401eb2c0fb552e3538bbf53490abd854d9a21b4896386ad,%PDF-,150,YES,"Separated Note 19 page 123: repo income total 157,005,580k; Note 20 presentation revalidated",NO_MATCH,PROMOTION_INPUT
hipotecario_eeff_fy2023_aq_pending,Banco Hipotecario S.A.,FY-2023,https://www.hipotecario.com.ar/media/BHSA_-_ESTADOS_FINANCIEROS_AL_31-12-2023.pdf,/research/ciclo_ajuste/inputs/issuer_retrieval/v106/binaries/hipotecario_fy_2023.pdf,2796877,cd00551ab9bd15248877af6cd8e9d58b11d983da0b2b4ee5a32401c268b28afa,%PDF-,220,YES,"Separated Annex Q pages 208-209: BCRA income 405,189,892k; Other-FI income 1,052,960k; BCRA expense 0; Other-FI expense 526,688k",NO_MATCH,PROMOTION_INPUT
columbia_eeff_9m2023_sep_pending,Banco Columbia S.A.,9M-2023,https://secure.bancocolumbia.com.ar/web/Multimedios/Otros/10184.pdf?v=36,/research/ciclo_ajuste/inputs/issuer_retrieval/v106/binaries/columbia_9m_2023.pdf,2338004,d010c701ed2bdf680bdba1e55dbe4484f35ecf884654be5e374707227239772d,%PDF-,103,YES,"Separated Notes 22-23 page 71: repo income 2,070,947k; repo expense 512,498k",NO_MATCH,PROMOTION_INPUT
columbia_eeff_fy2023_aq_pending,Banco Columbia S.A.,FY-2023,https://secure.bancocolumbia.com.ar/web/Multimedios/Otros/10253.pdf?v=22,/research/ciclo_ajuste/inputs/issuer_retrieval/v106/binaries/columbia_fy_2023.pdf,2226477,f34b6aa88e733677e4b65dc616ffd0dcfeaacb8756a12024b5cdd91beb7c0911,%PDF-,159,YES,"Separated Annex Q page 107: BCRA income 8,366,812k; Other-FI income 0; BCRA expense 0; Other-FI expense 882,825k",NO_MATCH,PROMOTION_INPUT
bacs_eeff_9m2023_separated_pending_v101,BACS Banco de Credito y Securitizacion S.A.,9M-2023,https://bacs.com.ar/wp-content/uploads/2025/04/EEFF-BACS-30-09-2023-Completos-8.pdf,/research/ciclo_ajuste/inputs/issuer_retrieval/v106/binaries/bacs_9m_2023.pdf,5918068,60f0f9d8e2e969c4d83024e6f863e99d80dbdf10dee5903998521db3c8634a11,%PDF-,129,YES,"Separated Notes 18-19 page 106: BCRA income 23,876,889k; Other-FI income 386,346k; Other-FI expense 2,167k",NO_MATCH,PROMOTION_INPUT
bacs_eeff_fy2023_separated_pending_v101,BACS Banco de Credito y Securitizacion S.A.,FY-2023,https://bacs.com.ar/wp-content/uploads/2025/04/Estados-Financieros-BACS-31-12-2023-8.pdf,/research/ciclo_ajuste/inputs/issuer_retrieval/v106/binaries/bacs_fy_2023.pdf,6933409,f3486668ac8024d8cd5d20f1d77d969593c45b87c216efd88961580590f6b70e,%PDF-,173,YES,"Separated Notes 18-19 pages 139-140: BCRA income 63,177,601k; Other-FI income 610,427k; BCRA expense 0; Other-FI expense 14,063k",NO_MATCH,PROMOTION_INPUT
bmr_eeff_9m2023_separated_pending_v101,Banco Municipal de Rosario,9M-2023,https://www.bmros.com.ar/uploads/documents/1702642924151.pdf,/research/ciclo_ajuste/inputs/issuer_retrieval/v106/binaries/bmr_9m_2023.pdf,2350579,8276dc7f4d064a6b98ff4ec53ca4080aeda9dc60c12ee7e60f80fe6aece87a52,%PDF-,157,YES,"Separated Annex Q page 151: BCRA-only repo income 5,210,550k; no repo-expense leg",NO_MATCH,PROMOTION_INPUT
bmr_eeff_fy2023_separated_pending_v101,Banco Municipal de Rosario,FY-2023,https://www.bmros.com.ar/uploads/documents/1710333709333.pdf,/research/ciclo_ajuste/inputs/issuer_retrieval/v106/binaries/bmr_fy_2023.pdf,2770492,2edb74c4733ddfc3f1d0fb047cf9d57ea810723d9ba2bbfdce9f14e3f91dca98,%PDF-,259,YES,"Annual separated Annex Q page 250: BCRA-only repo income 11,420,465k; inherited period-header anomaly retained and controlled by annual Note 6/raw totals",NO_MATCH,PROMOTION_INPUT
btf_eeff_fy2023_annexq_pending_v101,Banco Provincia de Tierra del Fuego,FY-2023,https://www.btf.com.ar/wp-content/uploads/2024/08/BTF-Balance-y-Memoria-2023.pdf,/research/ciclo_ajuste/inputs/issuer_retrieval/v106/binaries/btf_fy_2023.pdf,1841774,ba6dd9ee160546cc33ec72644a4d89204e7b3939ac0540dc3f72016c50f68745,%PDF-,93,YES,"Annex Q page 85: BCRA repo income 14,938,203k; Other-FI income zero; both expense legs zero",NO_MATCH,PROMOTION_INPUT
voii_eeff_9m2023_annexq_pending_v102,Banco VOII S.A.,9M-2023,https://www.voii.com.ar/wp-content/uploads/2023/07/Banco-Voii-SA-ESF-2023-09.pdf,/research/ciclo_ajuste/inputs/issuer_retrieval/v106/binaries/voii_9m_2023.pdf,789409,046b80a84b6ec8650c3eb6853784b753beffa77c59eae5a34aa99b1c1bc9925e,%PDF-,73,YES,"Annex Q page 71: BCRA income/expense 0; Other-FI income 934,677k; Other-FI expense 86,752k",NO_MATCH,PROMOTION_INPUT
voii_eeff_fy2023_annexq_pending_v102,Banco VOII S.A.,FY-2023,https://www.voii.com.ar/wp-content/uploads/2023/07/Banco-Voii-SA-ESF-2023-12-Final.pdf,/research/ciclo_ajuste/inputs/issuer_retrieval/v106/binaries/voii_fy_2023.pdf,1925193,1d06bb61c635893e9eac7dadba8a3d00a22fd3bbdfd6d4c16ee005fd5b131eb9,%PDF-,126,YES,"Annex Q page 109: BCRA income/expense 0; Other-FI income 2,881,991k; Other-FI expense 132,980k",NO_MATCH,PROMOTION_INPUT
