event_id,event_date,stage,instrument_scope,agent_or_channel,reported_amount,unit,amount_basis,status,source_id,locator,additivity,caveat
E20051122_B2012,2005-11-22,HISTORICAL_TENDER,BODEN_2012,PUBLIC_TENDER,5032600;4000636.64,USD_VNO;USD_effective,OFFICIAL_EXECUTED_BUYBACK_REPORT,BUYBACK_REPORTED_EXECUTED_PARTICIPANTS_OPEN,e0_argentina_recompras_decreto_1735_04_report,PDF_pp4_5,SEPARATE_2005_EVENT,No ofrece participantes ni tenedores finales.
E20080811_BNA_MANDATE,2008-08-11,FIRST_STAGE_MANDATE,MIXED_BODEN_BONAR,BNA_GOVERNMENT_AGENT,N/D,N/D,MANDATE_ONLY,AUTHORIZED_AGENT_EXECUTION_DETAIL_OPEN,e0_argentina_recompra_primera_etapa_2008_08_11,PDF_p1,NON_ADDITIVE,Mandato no es blotter ni pago.
E20080822_FIRST_TWO_WEEKS,2008-08-11/2008-08-22,FIRST_STAGE_MARKET_PURCHASES,MIXED_B2012_B2013_BONARV_PRE8_B2008_GDPARS,TREASURY_MARKET_INTERVENTION_AFTER_BNA_MANDATE,380000000,USD_approx_effective,OFFICIAL_PROGRAM_AGGREGATE,EXECUTED_AGGREGATE_INSTRUMENT_SPLIT_OPEN,e0_argentina_recompra_segunda_semana_2008_08_22,PDF_p1,NON_ADDITIVE_PROGRAM_AGGREGATE,No permite aislar BODEN 2012 ni contrapartes.
E20080821_SECOND_STAGE,2008-08-21,SECOND_STAGE_ANNOUNCEMENT,PUBLIC_DEBT_SHORT_MEDIUM_MATURITIES,PUBLIC_TENDERS,N/D,N/D,ANNOUNCEMENT_ONLY,FOUR_CALL_AND_RESULT_PAIRS_IN_OFFICIAL_ARCHIVE,e0_argentina_recompra_segunda_etapa_2008_08_21;e0_argentina_finanzas_archive_recompras_voluntarias,PDF_p1;HTML_Recompras_voluntarias,NON_ADDITIVE,El archivo oficial cierra la serie publicada en cuatro pares llamado/resultado; no es una certificación de liquidación ni excluye piezas no archivadas.
E20080828_20081002_FOUR_TENDERS,2008-08-28/2008-10-02,SECOND_STAGE_PUBLIC_TENDERS,B2012_B2013_GDPARS_GDPUSD,MAE_PUBLIC_TENDERS,135606214.86,ARS_effective,SUM_OF_FOUR_OFFICIAL_RESULT_TOTALS,FOUR_ARCHIVED_ROUNDS_PARTICIPANTS_AND_ROUTE_MAPPED,e0_argentina_resultado_recompra_2008_08_28;e0_argentina_resultado_recompra_2008_09_04;e0_argentina_resultado_recompra_2008_09_11;e0_argentina_resultado_recompra_2008_10_02;e0_argentina_finanzas_archive_recompras_voluntarias;e0_argentina_llamado_recompra_2008_08_27;e0_argentina_llamado_recompra_2008_09_03;e0_argentina_llamado_recompra_2008_09_10;e0_argentina_llamado_recompra_2008_10_01,HTML_archive;call_and_result_PDFs,CONTROL_TOTAL_NOT_ADD_TO_CGN_AGGREGATE,"Los cuatro llamados/resultados quedan enlazados y numerados; adjudicación, cuenta prevista y fecha T+3 no confirman pago."
E2008_CGN_BUYBACK_AGGREGATE,2008,BUDGET_EXECUTION,UNSPECIFIED_BUYBACK_OPERATIONS,TREASURY,981360000,ARS,OFFICIAL_EXECUTED_BUDGET_AGGREGATE,EXECUTED_AGGREGATE_SPECIES_COUNTERPARTY_OPEN,e0_cgn_cuenta_inversion_2008_comentarios,HTML_short_term_securities_paragraph,NON_ADDITIVE_POSSIBLE_OVERLAP,Puede contener operaciones de ambas etapas y otras especies; no sumar a los resultados públicos.
E2009_STRIP_OFFICIAL,2009-06-10/2009-06-18,BODEN2012_COUPON15_STRIP_TENDER,BODEN_2012_COUPON_15,MAE_PUBLIC_TENDER,35;20;44367798.74;33691889.24;265707100;637468.08,offers_received;offers_accepted;USD_effective_offered;USD_effective_awarded;USD_underlying_VNO_awarded;USD_saving,OFFICIAL_PRIMARY_CALL_RESULT_AND_ANNEX,PRIMARY_RESULT_EXACT_SETTLEMENT_OPEN,e0_mecon_strip_boden2012_call_2009_06_10;e0_mecon_strip_boden2012_result_2009_06_12,call_PDF_pp1_2;result_PDF_pp1_3,SEPARATE_STRIP_EVENT_NON_ADDITIVE,"El efectivo del cupón no es VNO subyacente; 18/06 es fecha prevista, no pago confirmado."
E2009_STRIP_SECONDARY_RESULT,2009-06,BODEN2012_COUPON15_STRIP_TENDER,BODEN_2012_COUPON_15,MAE_PUBLIC_TENDER,35;20;33600000;12.7;1.86;637468,offers_received;offers_accepted;USD_source_reported;USD_coupon_price;percent_average_discount;USD_saving,CONTEMPORARY_INSTITUTIONAL_SECONDARY_REPORT,SECONDARY_QUANTITATIVE_CORROBORATED_BY_PRIMARY,sec_consejo_iec_298_strip_boden2012;e0_mecon_strip_boden2012_result_2009_06_12,PDF_p5,NON_ADDITIVE,La síntesis secundaria queda corroborada y refinada por el resultado primario; no prueba caja.
E20080827_20081001_FOUR_CALLS,2008-08-27/2008-10-01,SECOND_STAGE_PUBLIC_CALLS,B2012_B2013_GDPARS_GDPUSD,MAE_CAJA_0306_40000_BCRA,550000000,ARS_announced_ceiling,SUM_OF_FOUR_UP_TO_MAXIMA,FOUR_NUMBERED_CALLS_ROUTE_EXACT_SETTLEMENT_OPEN,e0_argentina_finanzas_archive_recompras_voluntarias;e0_argentina_llamado_recompra_2008_08_27;e0_argentina_llamado_recompra_2008_09_03;e0_argentina_llamado_recompra_2008_09_10;e0_argentina_llamado_recompra_2008_10_01,HTML_archive;four_call_PDFs_pp1_2,NON_ADDITIVE_CEILING_CONTROL,"ARS 550000000 es la suma de máximos, no gasto; las adjudicaciones equivalen a 24.65567543% de ese control."
E2008_BCRA_APPROX_PROGRAM_CONTROL,2008-08/2008-10,PROGRAM_AGGREGATE_CONTROL,PUBLIC_DEBT_BUYBACK_PROGRAM,TREASURY_PROGRAM_REPORTED_BY_BCRA,420000000,USD_approx,BCRA_MONTO_CERCANO,INDEPENDENT_APPROXIMATE_AGGREGATE_CONTROL,e0_bcra_inflation_report_q4_2008_buyback_control,PDF_p51_printed_p50,CONTROL_NOT_ADDITIVE,"No identifica especies, contrapartes, cortes ni liquidaciones y no debe sumarse a los componentes."
